>>>>> statistic <<<<<	NameOfTAS:	cds_rcd	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	33	0	33	5	225	41	20	14	72	14	15		
1. sequence analysis	round2	45	0	45	7	288	50	39	24	167	27	27		
1. sequence analysis	round3	49	0	49	10	288	51	39	24	227	33	27		
1. sequence analysis	round4	82	0	82	15	288	51	39	25	227	33	28		
1. sequence analysis	round5	103	0	103	16	288	51	39	25	227	34	28		
2. structure analysis	structure of round5	292	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_cds_rcd_round5_0001	---	---	293	46	---	---	---	---	---	---	---		
2. structure analysis	t_nt_cds_rcd_round5_0001	---	---	---	---	402	78	---	---	---	---	---		
2. structure analysis	t_pro_cds_rcd_round5_0001	---	---	---	---	---	---	---	---	252	39	---		
3. combined analysis	BlastRound5&Infernal	278	0	381	42	542	55	0	0	412	35	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	275	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	398	--	--	--	320	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	28	--	289	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	349	--	141	--	--	--	92	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Clostridioides_difficile	260	0	356	42	508	55	0	0	382	35	0	
	Clostridium_difficile	10	0	14	10	20	9	0	0	14	7	0	
	Peptoclostridium_difficile	8	0	11	7	14	7	0	0	16	7	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	Peptoclostridium_difficile_genome_assembly_CD630DERM_chromosome__1	8	
