>>>>> statistic <<<<<	NameOfTAS:	syme_symr	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	315	18	316	20	514	108	532	439	736	142	445		
1. sequence analysis	round2	501	18	502	51	1007	190	1507	1208	5259	1547	1565		
1. sequence analysis	round3	776	9	777	82	1030	208	1856	1547	6162	1804	2217		
1. sequence analysis	round4	1055	0	1057	125	1034	211	2055	1689	6987	2024	2614		
1. sequence analysis	round5	1063	6	1064	133	1034	212	2133	1777	9739	2771	3348		
2. structure analysis	structure of round5	1450	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_syme_symr_round5_0001	---	---	2036	497	---	---	---	---	---	---	---		
2. structure analysis	t_nt_syme_symr_round5_0001	---	---	---	---	1472	505	---	---	---	---	---		
2. structure analysis	t_pro_syme_symr_round5_0001	---	---	---	---	---	---	---	---	6296	1896	---		
3. combined analysis	BlastRound5&Infernal	1470	0	2499	339	2157	336	0	0	2930	567	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	1469	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	1	--	36	--	--	--	90	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	5	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	2496	--	2114	--	--	--	2839	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Blood_disease	1	0	1	1	0	0	0	0	2	1	0	
	Burkholderia_cenocepacia	8	0	8	7	0	0	0	0	16	14	0	
	Burkholderia_cepacia	5	0	5	2	0	0	0	0	10	4	0	
	Burkholderia_oklahomensis	3	0	3	1	0	0	0	0	6	2	0	
	Burkholderia_sp	5	0	5	4	0	0	0	0	10	8	0	
	Cedecea_lapagei	2	0	2	2	1	1	0	0	4	2	0	
	Cedecea_neteri	5	0	5	5	4	4	0	0	10	5	0	
	Citrobacter_braakii	2	0	2	2	2	2	0	0	4	2	0	
	Citrobacter_freundii	33	0	40	14	40	21	0	0	66	21	0	
	Citrobacter_koseri	1	0	2	1	2	1	0	0	2	1	0	
	Citrobacter_pasteurii	2	0	3	2	3	2	0	0	4	2	0	
	Citrobacter_portucalensis	1	0	1	1	1	1	0	0	2	1	0	
	Citrobacter_sp	7	0	10	7	10	7	0	0	13	7	0	
	Citrobacter_werkmanii	6	0	9	6	9	6	0	0	11	6	0	
	Citrobacter_youngae	2	0	3	2	3	2	0	0	4	2	0	
	Cupriavidus_sp	2	0	2	1	0	0	0	0	4	2	0	
	Dickeya_chrysanthemi	4	0	4	3	2	2	0	0	11	6	0	
