>>>>> statistic <<<<<	NameOfTAS:	yont_sr6	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	34	0	52	13	34	11	14	13	34	7	18		
1. sequence analysis	round2	64	0	64	17	56	22	21	20	63	14	30		
1. sequence analysis	round3	64	0	64	17	64	27	21	20	63	16	31		
1. sequence analysis	round4	64	0	64	18	64	27	21	20	63	16	31		
1. sequence analysis	round5	64	0	64	18	64	27	21	20	63	16	31		
2. structure analysis	structure of round5	65	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_yont_sr6_round5_0001	---	---	65	22	---	---	---	---	---	---	---		
2. structure analysis	t_nt_yont_sr6_round5_0001	---	---	---	---	76	32	---	---	---	---	---		
2. structure analysis	t_pro_yont_sr6_round5_0001	---	---	---	---	---	---	---	---	63	16	---		
3. combined analysis	BlastRound5&Infernal	64	0	128	26	128	27	0	0	126	16	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	64	0		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	1	--	87	--	--	--	85	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	2	--	87	--	--	--	85	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	115	--	41	--	--	--	41	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Bacillus_amyloliquefaciens	9	0	18	10	18	7	0	0	18	6	0	
	Bacillus_atrophaeus	2	0	4	1	4	1	0	0	4	1	0	
	Bacillus_sp	4	0	8	5	8	4	0	0	8	4	0	
	Bacillus_subtilis	31	0	62	10	62	11	0	0	60	6	0	
	Bacillus_vallismortis	1	0	2	1	2	1	0	0	2	1	0	
	Bacillus_velezensis	17	0	34	10	34	8	0	0	34	4	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
