2484it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	2.4e-25	4812033	4812140	107	0	0	0	0
101095bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4812516	4812620	105	1	35	35	4849628
101901bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4812516	4812623	108	1	108	108	4849628
1480it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	2.5e-27	4813482	4813589	107	0	0	0	0
2392iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	4.8e-18	4812465	4812398	67	0	0	0	0
101905bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4812033	4812139	107	1	107	108	4849628
3753it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	2.3e-22	4812033	4812137	104	0	0	0	0
101098bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4812033	4812137	105	1	35	35	4849628
3987it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	2.8e-22	4812516	4812620	104	0	0	0	0
148184bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4812463	4812398	66	10	70	70	4849628
2142it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	7.2e-27	4812516	4812623	107	0	0	0	0
1000iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	1.1e-18	4813431	4813364	67	0	0	0	0
1430iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	2.1e-18	4812948	4812881	67	0	0	0	0
101099bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4812999	4813103	105	1	35	35	4849628
101902bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4812999	4813106	108	1	108	108	4849628
4910it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	1.6e-21	4812999	4813103	104	0	0	0	0
1674it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	6.2e-27	4812999	4813106	107	0	0	0	0
150258bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4813428	4813364	65	10	70	70	4849628
101903bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4813482	4813589	108	1	108	108	4849628
101096bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4813482	4813586	105	1	35	35	4849628
3308it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	7.1e-23	4813482	4813586	104	0	0	0	0
1429iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	2.1e-18	4811982	4811915	67	0	0	0	0
150257bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4812946	4812881	66	10	70	70	4849628
150256bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4811980	4811915	66	10	70	70	4849628
101097bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4811067	4811171	105	1	35	35	4849628
101094bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4811550	4811654	105	1	35	35	4849628
101900bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4811550	4811657	108	1	108	108	4849628
3082iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	6.5e-10	2825457	2825390	67	0	0	0	0
3850it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	4.2e-05	2825505	2825612	107	0	0	0	0
1283it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	9e-24	2825505	2825609	104	0	0	0	0
114052bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	2825505	2825609	105	1	35	35	4849628
3923iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	2.5e-09	2825990	2825923	67	0	0	0	0
4904it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	0.00043	2826041	2826148	107	0	0	0	0
114050bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	2826041	2826145	105	1	35	35	4849628
3469iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	1e-09	2826526	2826459	67	0	0	0	0
1986it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	1.2e-23	2826576	2826680	104	0	0	0	0
2525it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	3.8e-23	2826041	2826145	104	0	0	0	0
114051bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	2826576	2826680	105	1	35	35	4849628
1531iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	2.3e-18	4811016	4810949	67	0	0	0	0
148957bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4811018	4810949	70	1	70	70	4849628
3049it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	5.4e-23	4811067	4811171	104	0	0	0	0
101904bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4811067	4811173	107	1	107	108	4849628
1913it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	6.9e-27	4811067	4811174	107	0	0	0	0
148183bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4811497	4811432	66	10	70	70	4849628
2391iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_ldr_rdl	not defined	infernal	4.8e-18	4811499	4811432	67	0	0	0	0
2141it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	7.2e-27	4811550	4811657	107	0	0	0	0
4724it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_nt_ldr_rdl	not defined	infernal	0.00041	2826576	2826683	107	0	0	0	0
3986it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_ldr_rdl	not defined	infernal	2.8e-22	4811550	4811654	104	0	0	0	0
100438bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1416668	1416772	105	1	35	35	5032769
102918bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	1416668	1416775	108	1	108	108	5032769
1001iat	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	-	NZ_CP032523.1	at_nt_ldr_rdl	not defined	infernal	1.1e-18	1416617	1416550	67	0	0	0	0
150252bat	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	-	NZ_CP032523.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	1416614	1416550	65	10	70	70	5032769
1149it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	not defined	infernal	2.1e-27	1414918	1415025	107	0	0	0	0
3707it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	not defined	infernal	1.9e-22	1414918	1415022	104	0	0	0	0
100435bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1414918	1415022	105	1	35	35	5032769
1987it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	not defined	infernal	1.2e-23	4353221	4353325	104	0	0	0	0
1481it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	not defined	infernal	2.5e-27	1416668	1416775	107	0	0	0	0
102914bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	1414918	1415025	108	1	108	108	5032769
3309it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	not defined	infernal	7.1e-23	1416668	1416772	104	0	0	0	0
4725it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	not defined	infernal	0.00041	4353221	4353328	107	0	0	0	0
107759bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4352150	4352254	105	1	35	35	5032769
1284it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_ldr_rdl	not defined	infernal	9e-24	4352150	4352254	104	0	0	0	0
3851it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_nt_ldr_rdl	not defined	infernal	4.2e-05	4352150	4352257	107	0	0	0	0
