690iat	Pectobacterium_parmentieri_WPP163_complete_genome	genome	-	NC_013421.1	at_nt_syme_symr	not defined	infernal	1.8e-16	1816606	1816530	76	0	0	0	0
1213it	Pectobacterium_parmentieri_WPP163_complete_genome	genome	+	NC_013421.1	t_nt_syme_symr	not defined	infernal	3.3e-13	1816601	1816782	181	0	0	0	0
497983bt	Pectobacterium_parmentieri_WPP163_complete_genome	genome	+	NC_013421.1	t_pro_syme_symr	1899bt_bac:type_I_addiction_module_toxin_SymE_family_[Kosakonia_radicincitans]_tasys:t_pro_syme_symr	tblastn	1.56e-23	1816601	1816753	51	1	51	77	5063892
1936iat	Pectobacterium_parmentieri_WPP163_complete_genome	genome	+	NC_013421.1	at_nt_syme_symr	not defined	infernal	0.0027	402468	402541	73	0	0	0	0
1449it	Pectobacterium_parmentieri_WPP163_complete_genome	genome	-	NC_013421.1	t_pro_syme_symr	not defined	infernal	1.9e-24	402494	402148	346	0	0	0	0
11196bat	Pectobacterium_parmentieri_WPP163_complete_genome	genome	-	NC_013421.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	1816606	1816530	77	1	77	77	5063892
557259bt	Pectobacterium_parmentieri_WPP163_complete_genome	genome	-	NC_013421.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	402518	402387	132	12	43	101	5063892
567293bt	Pectobacterium_parmentieri_WPP163_complete_genome	genome	-	NC_013421.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	402316	402146	171	16	70	70	5063892
585206bt	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4283578	4283393	186	43	100	100	5164411
693164bt	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4283768	4283649	120	14	42	102	5164411
1660iat	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	at_nt_syme_symr	not defined	infernal	0.00044	2684360	2684287	73	0	0	0	0
1452iat	Pectobacterium_parmentieri_complete_genome	genome	+	NC_017845.1	at_nt_syme_symr	not defined	infernal	4.2e-05	4283730	4283804	74	0	0	0	0
3042it	Pectobacterium_parmentieri_complete_genome	genome	+	NC_017845.1	t_pro_syme_symr	not defined	infernal	1.3e-16	2684353	2684614	261	0	0	0	0
1222it	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	not defined	infernal	3.3e-29	4283743	4283407	336	0	0	0	0
585213bt	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	416824	416690	135	10	40	100	5164411
1665iat	Pectobacterium_parmentieri_complete_genome	genome	+	NC_017845.1	at_nt_syme_symr	not defined	infernal	0.00052	416771	416844	73	0	0	0	0
1428it	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	not defined	infernal	5e-25	416797	416451	346	0	0	0	0
484939bt	Pectobacterium_parmentieri_complete_genome	genome	-	NC_017845.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	416619	416443	177	28	80	80	5164411
585218bt	Pectobacterium_parmentieri_complete_genome	genome	+	NC_017845.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2684349	2684645	297	10	79	100	5164411
483188bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4664502	4664170	333	4	76	76	5022017
1164it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	4.3e-35	4664457	4664169	288	0	0	0	0
2012iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.0079	4664431	4664505	74	0	0	0	0
483189bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4657764	4657432	333	4	76	76	5022017
1168it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	2.4e-34	4657719	4657436	283	0	0	0	0
1358it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_nt_syme_symr	not defined	infernal	0.001	4657698	4657424	274	0	0	0	0
2011iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.0079	4657693	4657767	74	0	0	0	0
1651iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.00044	2673147	2673074	73	0	0	0	0
2960it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	4.6e-17	2673140	2673417	277	0	0	0	0
550275bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2673124	2673423	300	8	94	124	5022017
1596iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.00024	425102	425175	73	0	0	0	0
1431it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	7.3e-25	425128	424782	346	0	0	0	0
567179bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	424950	424780	171	16	70	70	5022017
567167bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	177931	177614	318	16	70	70	5022017
1181it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	1.2e-33	177904	177611	293	0	0	0	0
1856iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.0017	177878	177951	73	0	0	0	0
567168bt	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	171299	170982	318	16	70	70	5022017
1180it	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	-	NZ_CP026977.1	t_pro_syme_symr	not defined	infernal	1.2e-33	171272	170979	293	0	0	0	0
1855iat	Pectobacterium_parmentieri_strain_IFB5408_chromosome_complete_genome	genome	+	NZ_CP026977.1	at_nt_syme_symr	not defined	infernal	0.0017	171246	171319	73	0	0	0	0
