>>>>> statistic <<<<<	NameOfTAS:	hok_sok_tadb	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	539	48	566	72	602	54	305	202	704	94	207		
1. sequence analysis	round2	892	48	895	163	1097	122	972	626	7563	781	666		
1. sequence analysis	round3	1051	48	1059	189	1407	170	1117	740	9902	1052	806		
1. sequence analysis	round4	1051	48	1059	189	1426	185	1160	774	9902	1052	844		
1. sequence analysis	round5	1051	48	1059	189	1457	193	1160	784	9929	1079	864		
2. structure analysis	structure of round5	7346	0	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_hok_sok_tadb_round5_0001	---	---	7357	1072	---	---	---	---	---	---	---		
2. structure analysis	t_nt_hok_sok_tadb_round5_0001	---	---	---	---	5434	718	---	---	---	---	---		
2. structure analysis	t_pro_hok_sok_tadb_round5_0001	---	---	---	---	---	---	---	---	11181	1258	---		
3. combined analysis	BlastRound5&Infernal	7082	33	8105	1013	3445	389	0	0	14158	878	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	7075	33		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	3860	--	4	--	--	--	5851	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	0	--	0	--	--	--	1	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	4225	--	3380	--	--	--	8240	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Aeromonas_salmonicida	9	0	9	3	18	3	0	0	18	3	0	
	Atlantibacter_hermannii	3	0	3	3	2	2	0	0	6	6	0	
	Buttiauxella_sp	2	33	2	2	2	1	0	0	3	3	0	
	Candidatus_Fukatsuia	2	0	2	2	2	2	0	0	4	1	0	
	Candidatus_Sodalis	3	0	3	3	2	2	0	0	6	3	0	
	Citrobacter_amalonaticus	2	0	2	2	0	0	0	0	4	2	0	
	Citrobacter_braakii	1	0	1	1	0	0	0	0	2	1	0	
	Citrobacter_farmeri	2	0	2	2	0	0	0	0	4	2	0	
	Citrobacter_freundii	37	0	43	23	8	4	0	0	74	19	0	
	Citrobacter_pasteurii	1	0	1	1	0	0	0	0	2	1	0	
	Citrobacter_rodentium	2	0	2	2	1	1	0	0	4	2	0	
	Citrobacter_sp	6	0	11	6	10	4	0	0	12	4	0	
	Citrobacter_werkmanii	1	0	1	1	0	0	0	0	2	1	0	
	Cronobacter_condimenti	2	0	2	2	0	0	0	0	4	3	0	
	Cronobacter_dublinensis	4	12	4	4	4	3	0	0	6	4	0	
	Cronobacter_malonaticus	10	0	16	7	14	4	0	0	20	8	0	
	Cronobacter_muytjensii	3	0	4	3	3	2	0	0	5	4	0	
	Cronobacter_sakazakii	33	0	50	23	40	13	0	0	66	28	0	
	Cronobacter_turicensis	4	0	7	4	6	3	0	0	8	4	0	
	Cronobacter_universalis	4	0	6	4	5	3	0	0	8	5	0	
