472bat	Citrobacter_freundii_isolate_Citrobacter_freundii_str_U2785_genome_assembly_plasmid_2	genome	-	NZ_LS992184.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	1.07e-108	128974	128748	227	1	225	225	185156
789bt	Citrobacter_freundii_isolate_Citrobacter_freundii_str_U2785_genome_assembly_plasmid_2	genome	-	NZ_LS992184.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	6.40e-27	128991	128836	52	1	52	52	185156
471bat	Citrobacter_sp_CRE_46_strain_AR_0157_plasmid_unnamed6_complete_sequence	genome	-	NZ_CP029734.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	1.07e-108	8150	7924	227	1	225	225	76953
944bt	Citrobacter_sp_CRE_46_strain_AR_0157_plasmid_unnamed6_complete_sequence	genome	-	NZ_CP029734.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	6.40e-27	8167	8012	52	1	52	52	76953
1157bt	Enterobacter_hormaechei_subsp_hoffmannii_strain_AR_0365_plasmid_unnamed2_complete_sequence	genome	+	NZ_CP027145.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	1.98e-23	82955	83110	52	1	52	52	101548
715bat	Enterobacter_hormaechei_subsp_hoffmannii_strain_AR_0365_plasmid_unnamed2_complete_sequence	genome	+	NZ_CP027145.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	5.44e-42	82974	83192	222	3	218	225	101548
1141bt	Enterobacter_sp_638_plasmid_pENTE01_complete_sequence	genome	+	NC_009425.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	1.43e-24	87429	87584	52	1	52	52	157749
604bat	Enterobacter_sp_638_plasmid_pENTE01_complete_sequence	genome	+	NC_009425.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	1.47e-62	87446	87668	224	1	220	225	157749
1140bt	Enterobacter_sp_638_plasmid_pENTE01_complete_sequence	genome	+	NC_009425.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	3.70e-25	98566	98721	52	1	52	52	157749
603bat	Enterobacter_sp_638_plasmid_pENTE01_complete_sequence	genome	+	NC_009425.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	3.16e-64	98583	98805	224	1	220	225	157749
619bat	Enterobacter_sp_R4_368_complete_genome	genome	-	NC_021500.1	at_nt_hok_sok_tadb_sr2	TADB|AT6324	blastn	6.94e-51	2677102	2676926	177	3	177	225	5039027
1173bt	Enterobacter_sp_R4_368_complete_genome	genome	-	NC_021500.1	t_pro_hok_sok_tadb_sr2	TADB|T6324	tblastn	7.65e-23	2677121	2676966	52	1	52	52	5039027
