8486it	Citrobacter_amalonaticus_Y19_complete_genome	genome	+	NZ_CP011132.1	t_pro_hok_sok_tadb_r2	not defined	infernal	8.7e-14	573516	573663	147	0	0	0	0
190066bt	Citrobacter_amalonaticus_Y19_complete_genome	genome	+	NZ_CP011132.1	t_pro_hok_sok_tadb_r2	1582bt_bac:Hok_Gef_family_protein_[Aeromonas_salmonicida]_tasys:t_pro_hok_sok_tadb_r2_genome:WP_0053	tblastn	5.81e-10	573516	573656	47	1	47	47	5584358
4275iat	Citrobacter_amalonaticus_Y19_complete_genome	genome	+	NZ_CP011132.1	at_nt_hok_sok_tadb_r2	not defined	infernal	7.9e-10	573532	573737	205	0	0	0	0
2183iat	Citrobacter_amalonaticus_Y19_complete_genome	genome	+	NZ_CP011132.1	at_nt_ibs_sib	not defined	infernal	3.1e-33	2401079	2401213	134	0	0	0	0
15573bat	Citrobacter_amalonaticus_Y19_complete_genome	genome	+	NZ_CP011132.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	2401079	2401213	135	1	135	135	5584358
4919it	Citrobacter_amalonaticus_Y19_complete_genome	genome	-	NZ_CP011132.1	t_nt_ibs_sib	not defined	infernal	0.002	2401172	2401113	59	0	0	0	0
2283iat	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	+	NZ_CP014015.2	at_nt_ibs_sib	not defined	infernal	4e-33	119627	119761	134	0	0	0	0
15557bat	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	+	NZ_CP014015.2	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	119627	119761	135	1	135	135	4904719
5217it	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	-	NZ_CP014015.2	t_nt_ibs_sib	not defined	infernal	0.0042	119720	119661	59	0	0	0	0
7922it	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	+	NZ_CP014015.2	t_pro_hok_sok_tadb_r2	not defined	infernal	1.3e-14	3315518	3315665	147	0	0	0	0
190064bt	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	+	NZ_CP014015.2	t_pro_hok_sok_tadb_r2	1582bt_bac:Hok_Gef_family_protein_[Aeromonas_salmonicida]_tasys:t_pro_hok_sok_tadb_r2_genome:WP_0053	tblastn	5.81e-10	3315518	3315658	47	1	47	47	4904719
4368iat	Citrobacter_amalonaticus_strain_FDAARGOS_122_complete_genome	genome	+	NZ_CP014015.2	at_nt_hok_sok_tadb_r2	not defined	infernal	2.7e-09	3315534	3315747	213	0	0	0	0
4894it	Citrobacter_amalonaticus_strain_FDAARGOS_165_chromosome_complete_genome	genome	+	NZ_CP014070.2	t_nt_ibs_sib	not defined	infernal	0.00075	2414175	2414234	59	0	0	0	0
2184iat	Citrobacter_amalonaticus_strain_FDAARGOS_165_chromosome_complete_genome	genome	-	NZ_CP014070.2	at_nt_ibs_sib	not defined	infernal	3.1e-33	2414268	2414134	134	0	0	0	0
15064bat	Citrobacter_amalonaticus_strain_FDAARGOS_165_chromosome_complete_genome	genome	-	NZ_CP014070.2	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	2414268	2414134	135	1	123	123	5030678
