10793bt	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1757213	1757154	60	1	60	60	4698633
1959it	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	not defined	infernal	2.5e-12	1757213	1757154	59	0	0	0	0
3511iat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	not defined	infernal	1.2e-32	1757117	1757255	138	0	0	0	0
13301bt	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1756837	1756779	59	1	59	59	4698633
102911bat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1757114	1757255	142	1	142	142	4698633
2167it	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	not defined	infernal	1.9e-10	1756837	1756779	58	0	0	0	0
1152it	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	not defined	infernal	1.9e-12	1756462	1756403	59	0	0	0	0
101371bat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1756739	1756879	141	1	142	142	4698633
10792bt	Shigella_flexneri_1a_strain_0228_complete_genome	genome	-	NZ_CP012735.1	t_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1756462	1756403	60	1	60	60	4698633
1336iat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	not defined	infernal	8.9e-34	1756366	1756504	138	0	0	0	0
101370bat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1756363	1756504	142	1	142	142	4698633
4959iat	Shigella_flexneri_1a_strain_0228_complete_genome	genome	+	NZ_CP012735.1	at_nt_ibs_sib	not defined	infernal	1.9e-30	1756742	1756879	137	0	0	0	0
10791bt	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	-	NZ_CP020086.1	t_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1231012	1230953	60	1	60	60	4623260
1960it	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	-	NZ_CP020086.1	t_nt_ibs_sib	not defined	infernal	2.5e-12	1231012	1230953	59	0	0	0	0
3512iat	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	+	NZ_CP020086.1	at_nt_ibs_sib	not defined	infernal	1.2e-32	1230916	1231054	138	0	0	0	0
102908bat	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	+	NZ_CP020086.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1230913	1231054	142	1	142	142	4623260
13298bt	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	-	NZ_CP020086.1	t_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1230636	1230578	59	1	59	59	4623260
2168it	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	-	NZ_CP020086.1	t_nt_ibs_sib	not defined	infernal	1.9e-10	1230636	1230578	58	0	0	0	0
4960iat	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	+	NZ_CP020086.1	at_nt_ibs_sib	not defined	infernal	1.9e-30	1230541	1230678	137	0	0	0	0
101369bat	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	+	NZ_CP020086.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1230538	1230678	141	1	142	142	4623260
1153it	Shigella_flexneri_1a_strain_0670_chromosome_complete_genome	genome	-	NZ_CP020086.1	t_nt_ibs_sib	not defined	infernal	1.9e-12	1230261	1230202	59	0	0	0	0
