11009bat	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2892749	2892874	126	1	126	126	4274782
1193bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1108664	1108972	309	1	302	302	4274782
1604bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1418488	1418789	302	1	309	309	4274782
1192bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1629301	1629593	293	1	302	302	4274782
7481bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1108748	1108900	153	1	39	48	4274782
10350bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1126848	1126979	132	1	44	44	4274782
7071bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1418574	1418723	150	1	50	50	4274782
7185bt	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1629387	1629533	147	1	51	51	4274782
1190bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2650117	2649816	302	1	302	302	4274782
1191bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2893047	2892739	309	1	302	302	4274782
1194bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	3383128	3382820	309	1	302	302	4274782
10131bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2650028	2649879	150	1	50	50	4274782
7268bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2892958	2892803	156	1	49	49	4274782
7269bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	3364949	3364812	138	1	49	49	4274782
7022bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	3383044	3382892	153	1	51	51	4274782
12bat	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2796628	2796753	126	1	126	126	4123727
10056bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1310043	1310344	302	1	309	309	4123727
10055bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1558970	1559262	293	1	309	309	4123727
212bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1310129	1310278	150	1	33	50	4123727
161bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1559056	1559202	147	1	48	48	4123727
10054bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2554418	2554117	302	1	309	309	4123727
10103bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2796926	2796618	309	1	300	300	4123727
112bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2554329	2554180	150	1	49	49	4123727
100bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2796837	2796682	156	1	49	49	4123727
10091bt	Clostridioides_difficile_ATCC_43255_contig00048_2_whole_genome_shotgun_sequence	chromosome	+	NZ_ABKJ02000048.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	3482	3795	314	1	309	309	4029
184bt	Clostridioides_difficile_ATCC_43255_contig00048_2_whole_genome_shotgun_sequence	chromosome	+	NZ_ABKJ02000048.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	3566	3697	132	1	34	42	4029
