122344bt	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	-	NC_020063.1	t_pro_ldr_rdl	unknown	tblastn	0	1964776	1964672	104	0	0	0	4762179
143926bat	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	+	NC_020063.1	at_nt_ldr_rdl	unknown	blastn	0	1964823	1964894	71	0	0	0	4762179
122343bt	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	-	NC_020063.1	t_pro_ldr_rdl	unknown	tblastn	0	1965865	1965761	104	0	0	0	4762179
143927bat	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	+	NC_020063.1	at_nt_ldr_rdl	unknown	blastn	0	1965912	1965983	71	0	0	0	4762179
122336bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_pro_ldr_rdl	unknown	tblastn	0	3641202	3641098	104	0	0	0	4598983
129295bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_nt_ldr_rdl	unknown	blastn	0	3641202	3641095	107	0	0	0	4598983
145026bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	at_nt_ldr_rdl	unknown	blastn	0	3641253	3641323	70	0	0	0	4598983
162936bat	Escherichia_albertii_KF1_complete_genome	genome	-	NZ_CP007025.1	at_nt_ldr_rdl	unknown	blastn	0	2568299	2568228	71	0	0	0	4701875
129283bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_nt_ldr_rdl	unknown	blastn	0	2568348	2568455	107	0	0	0	4701875
106755bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_pro_ldr_rdl	unknown	tblastn	0	2568348	2568452	104	0	0	0	4701875
129240bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_nt_ldr_rdl	unknown	blastn	0	3656770	3656663	107	0	0	0	4940006
198412bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_pro_ldr_rdl	unknown	tblastn	0	3656770	3656666	104	0	0	0	4940006
145015bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_ldr_rdl	unknown	blastn	0	3656819	3656889	70	0	0	0	4940006
129296bt	Escherichia_albertii_strain_2013C_4143_chromosome_complete_genome	genome	-	NZ_CP030787.2	t_nt_ldr_rdl	unknown	blastn	0	4395481	4395374	107	0	0	0	4659709
198420bt	Escherichia_albertii_strain_2013C_4143_chromosome_complete_genome	genome	-	NZ_CP030787.2	t_pro_ldr_rdl	unknown	tblastn	0	4395481	4395377	104	0	0	0	4659709
145792bat	Escherichia_albertii_strain_2013C_4143_chromosome_complete_genome	genome	+	NZ_CP030787.2	at_nt_ldr_rdl	unknown	blastn	0	4395530	4395600	70	0	0	0	4659709
129294bt	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_nt_ldr_rdl	unknown	blastn	0	2290690	2290583	107	0	0	0	4623903
107315bt	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_pro_ldr_rdl	unknown	tblastn	0	2290690	2290586	104	0	0	0	4623903
145024bat	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	+	NZ_CP034166.1	at_nt_ldr_rdl	unknown	blastn	0	2290739	2290809	70	0	0	0	4623903
147996bat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	at_nt_ldr_rdl	unknown	blastn	0	211065	210995	70	0	0	0	4570938
110120bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_nt_ldr_rdl	unknown	blastn	0	211114	211221	107	0	0	0	4570938
101137bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_ldr_rdl	unknown	tblastn	0	211114	211218	104	0	0	0	4570938
149301bat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	at_nt_ldr_rdl	unknown	blastn	0	211548	211478	70	0	0	0	4570938
110121bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_nt_ldr_rdl	unknown	blastn	0	211597	211704	107	0	0	0	4570938
101139bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_ldr_rdl	unknown	tblastn	0	211597	211701	104	0	0	0	4570938
102088bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_nt_ldr_rdl	unknown	blastn	0	3946699	3946592	107	0	0	0	4965553
199582bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_ldr_rdl	unknown	tblastn	0	3946699	3946595	104	0	0	0	4965553
145974bat	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	+	NC_011601.1	at_nt_ldr_rdl	unknown	blastn	0	3946748	3946818	70	0	0	0	4965553
199947bt	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_ldr_rdl	unknown	tblastn	0	4079650	4079546	104	0	0	0	5241977
