4725it	Citrobacter_freundii_complex_sp_CFNIH2_chromosome_complete_genome	genome	-	NZ_CP025757.1	t_pro_hok_sok_tadb	not defined	infernal	1.3e-19	2365996	2365848	148	0	0	0	0
462802bt	Citrobacter_freundii_complex_sp_CFNIH2_chromosome_complete_genome	genome	-	NZ_CP025757.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	2365996	2365847	150	1	50	50	5277996
5306iat	Citrobacter_freundii_complex_sp_CFNIH2_chromosome_complete_genome	genome	-	NZ_CP025757.1	at_nt_hok_sok_tadb	not defined	infernal	1e-05	2365980	2365763	217	0	0	0	0
2754iat	Citrobacter_freundii_complex_sp_CFNIH4_chromosome_complete_genome	genome	-	NZ_CP026231.1	at_nt_hok_sok_tadb	not defined	infernal	1.6e-10	3267112	3266903	209	0	0	0	0
6590it	Citrobacter_freundii_complex_sp_CFNIH4_chromosome_complete_genome	genome	-	NZ_CP026231.1	t_pro_hok_sok_tadb	not defined	infernal	2.5e-19	3267129	3266980	149	0	0	0	0
173772bt	Citrobacter_freundii_complex_sp_CFNIH4_chromosome_complete_genome	genome	-	NZ_CP026231.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3267131	3266979	153	1	50	50	5079781
1760iat	Citrobacter_freundii_complex_sp_CFNIH9_plasmid_pCFR_eb27_complete_sequence	genome	-	NZ_CP026242.1	at_nt_hok_sok_tadb	not defined	infernal	1.7e-35	75785	75572	213	0	0	0	0
8427it	Citrobacter_freundii_complex_sp_CFNIH9_plasmid_pCFR_eb27_complete_sequence	genome	-	NZ_CP026242.1	t_pro_hok_sok_tadb	not defined	infernal	3.9e-18	75799	75650	149	0	0	0	0
172493bt	Citrobacter_freundii_complex_sp_CFNIH9_plasmid_pCFR_eb27_complete_sequence	genome	-	NZ_CP026242.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	75804	75649	156	1	52	52	355789
2798iat	Citrobacter_freundii_complex_strain_ABFQG_complete_genome	genome	-	NZ_CP036435.1	at_nt_hok_sok_tadb	not defined	infernal	5.6e-10	4561377	4561169	208	0	0	0	0
