1368iat	Cedecea_neteri_strain_FDAARGOS_392_chromosome_complete_genome	genome	+	NZ_CP023525.1	at_nt_syme_symr	not defined	infernal	5.1e-06	849446	849522	76	0	0	0	0
1185it	Cedecea_neteri_strain_FDAARGOS_392_chromosome_complete_genome	genome	-	NZ_CP023525.1	t_nt_syme_symr	not defined	infernal	1.2e-28	849451	849135	316	0	0	0	0
3506it	Cedecea_neteri_strain_FDAARGOS_392_chromosome_complete_genome	genome	-	NZ_CP023525.1	t_pro_syme_symr	not defined	infernal	1.1e-13	849463	849212	251	0	0	0	0
699803bt	Cedecea_neteri_strain_FDAARGOS_392_chromosome_complete_genome	genome	-	NZ_CP023525.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	849505	849062	444	4	127	132	5214802
617631bt	Cedecea_neteri_strain_M006_complete_genome	genome	+	NZ_CP009458.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	110951	111337	387	2	84	126	4965436
3710it	Cedecea_neteri_strain_M006_complete_genome	genome	+	NZ_CP009458.1	t_pro_syme_symr	not defined	infernal	2.2e-12	110995	111237	242	0	0	0	0
1178it	Cedecea_neteri_strain_M006_complete_genome	genome	+	NZ_CP009458.1	t_nt_syme_symr	not defined	infernal	1.9e-31	111002	111318	316	0	0	0	0
1265iat	Cedecea_neteri_strain_M006_complete_genome	genome	-	NZ_CP009458.1	at_nt_syme_symr	not defined	infernal	1.4e-07	111007	110935	72	0	0	0	0
631536bt	Cedecea_neteri_strain_M006_complete_genome	genome	+	NZ_CP009458.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4218105	4218560	456	1	165	172	4965436
2026iat	Cedecea_neteri_strain_M006_complete_genome	genome	-	NZ_CP009458.1	at_nt_syme_symr	not defined	infernal	0.0097	4218161	4218089	72	0	0	0	0
5570it	Cedecea_neteri_strain_M006_complete_genome	genome	+	NZ_CP009458.1	t_pro_syme_symr	not defined	infernal	0.00023	4218312	4218540	228	0	0	0	0
551773bt	Cedecea_neteri_strain_ND14a_complete_genome	genome	+	NZ_CP009459.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	104484	104867	384	4	89	141	4659311
3897it	Cedecea_neteri_strain_ND14a_complete_genome	genome	+	NZ_CP009459.1	t_pro_syme_symr	not defined	infernal	3.3e-11	104511	104735	224	0	0	0	0
1177it	Cedecea_neteri_strain_ND14a_complete_genome	genome	+	NZ_CP009459.1	t_nt_syme_symr	not defined	infernal	7.7e-32	104532	104848	316	0	0	0	0
1340iat	Cedecea_neteri_strain_ND14a_complete_genome	genome	-	NZ_CP009459.1	at_nt_syme_symr	not defined	infernal	2.8e-06	104537	104464	73	0	0	0	0
1257iat	Cedecea_neteri_strain_SSMD04_complete_genome	genome	+	NZ_CP009451.1	at_nt_syme_symr	not defined	infernal	2.8e-08	3614347	3614419	72	0	0	0	0
1183it	Cedecea_neteri_strain_SSMD04_complete_genome	genome	-	NZ_CP009451.1	t_nt_syme_symr	not defined	infernal	1.6e-29	3614352	3614036	316	0	0	0	0
3650it	Cedecea_neteri_strain_SSMD04_complete_genome	genome	-	NZ_CP009451.1	t_pro_syme_symr	not defined	infernal	9.7e-13	3614365	3614114	251	0	0	0	0
829742bt	Cedecea_neteri_strain_SSMD04_complete_genome	genome	-	NZ_CP009451.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3614403	3613951	453	3	132	143	4876443
