420176bt	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3023686	3023838	153	1	49	51	5536539
7882it	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	t_pro_hok_sok_tadb	not defined	infernal	8.5e-19	3023688	3023834	146	0	0	0	0
2691iat	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	at_nt_hok_sok_tadb	not defined	infernal	1.1e-12	3023705	3023909	204	0	0	0	0
420177bt	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3024391	3024543	153	1	49	51	5536539
7883it	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	t_pro_hok_sok_tadb	not defined	infernal	8.5e-19	3024393	3024539	146	0	0	0	0
2680iat	Photorhabdus_laumondii_subsp_laumondii_strain_DJC_chromosome_complete_genome	genome	+	NZ_CP024900.1	at_nt_hok_sok_tadb	not defined	infernal	6.2e-13	3024410	3024634	224	0	0	0	0
420178bt	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3067612	3067764	153	1	49	51	5687677
7886it	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	t_pro_hok_sok_tadb	not defined	infernal	8.5e-19	3067614	3067760	146	0	0	0	0
2693iat	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	at_nt_hok_sok_tadb	not defined	infernal	1.1e-12	3067631	3067835	204	0	0	0	0
420179bt	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3068317	3068469	153	1	49	51	5687677
7887it	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	t_pro_hok_sok_tadb	not defined	infernal	8.5e-19	3068319	3068465	146	0	0	0	0
2682iat	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	+	NZ_CP024901.1	at_nt_hok_sok_tadb	not defined	infernal	6.2e-13	3068336	3068560	224	0	0	0	0
6039iat	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	-	NZ_CP024901.1	at_nt_hok_sok_tadb	not defined	infernal	0.00041	3416330	3416186	144	0	0	0	0
9752it	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	-	NZ_CP024901.1	t_pro_hok_sok_tadb	not defined	infernal	1.2e-13	3416394	3416251	143	0	0	0	0
131777bt	Photorhabdus_laumondii_subsp_laumondii_strain_TT01_chromosome_complete_genome	genome	-	NZ_CP024901.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3416397	3416254	144	1	48	50	5687677
