744it	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_nt_dinq_agrb	not defined	infernal	7.6e-34	3585602	3585476	126	0	0	0	0
47905bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3585604	3585476	129	1	127	127	4598983
1555iat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	at_nt_dinq_agrb	not defined	infernal	2.9e-16	3585635	3585718	83	0	0	0	0
12011bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3585635	3585718	84	1	84	84	4598983
1574iat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_dinq_agrb	not defined	infernal	9.7e-16	3839056	3838973	83	0	0	0	0
1272bat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3839056	3838973	84	1	84	84	4709095
41643bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3839087	3839215	129	1	129	129	4709095
741it	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_dinq_agrb	not defined	infernal	7.6e-34	3839089	3839215	126	0	0	0	0
10628bat	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	+	NZ_CP034166.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	2236570	2236654	85	1	85	85	4623903
236iat	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	+	NZ_CP034166.1	at_nt_dinq_agrb	not defined	infernal	3.7e-18	2236570	2236654	84	0	0	0	0
789it	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_nt_dinq_agrb	not defined	infernal	1.7e-33	2236537	2236411	126	0	0	0	0
47825bt	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	2236539	2236411	129	1	127	127	4623903
