>>>>> statistic <<<<<	NameOfTAS:	cjpt_cjra	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	3	3	4	2	3	1	19	17	61	23	30		
1. sequence analysis	round2	3	3	4	2	3	1	22	19	76	29	36		
1. sequence analysis	round3	3	3	4	2	3	1	22	19	65	28	37		
1. sequence analysis	round4	3	3	4	2	3	1	22	19	65	28	37		
1. sequence analysis	round5	3	3	4	2	3	1	22	19	65	28	37		
2. structure analysis	structure of round5	13	15	---	---	---	---	---	---	---	---	---	
2. structure analysis	at_nt_cjpt_cjra_round5_0001	---	---	19	9	---	---	---	---	---	---	---		
2. structure analysis	t_nt_cjpt_cjra_round5_0001	---	---	---	---	30	12	---	---	---	---	---		
2. structure analysis	t_pro_cjpt_cjra_round5_0001	---	---	---	---	---	---	---	---	179	82	---		
3. combined analysis	BlastRound5&Infernal	11	15	14	3	14	5	0	0	22	6	0		
4. promoter analysis (exact match)	cTAS seq of combined analysis	11	15		
4. promoter analysis (exact match)	prom_complete	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_tata_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_35_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_sd_start	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_tata_start	--	--	3	--	13	--	--	--	20	--	--		
4. promoter analysis (exact match)	prom_35_tata	--	--	0	--	0	--	--	--	0	--	--		
4. promoter analysis (exact match)	prom_start	--	--	8	--	1	--	--	--	2	--	--		

5. cTAS are found in: (query: cTAS seq of combined analysis)	Campylobacter_jejuni	4	3	7	2	7	2	0	0	8	3	0	
	Helicobacter_cinaedi	7	15	7	1	7	3	0	0	14	3	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
