2686iat	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	at_nt_hok_sok_tadb	not defined	infernal	8.1e-13	937754	937545	209	0	0	0	0
4435it	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	not defined	infernal	5.3e-20	937776	937628	148	0	0	0	0
167810bt	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	937777	937625	153	1	51	51	5071908
2737iat	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	at_nt_hok_sok_tadb	not defined	infernal	7.1e-11	4213150	4212938	212	0	0	0	0
4538it	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	not defined	infernal	8.2e-20	4213171	4213024	147	0	0	0	0
428464bt	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	4213173	4213020	154	27	41	41	5071908
3563iat	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	at_nt_hok_sok_tadb	not defined	infernal	1.1e-07	4218922	4218715	207	0	0	0	0
5864it	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	not defined	infernal	1.5e-19	4218939	4218792	147	0	0	0	0
428466bt	Serratia_marcescens_AS_1_DNA_complete_genome	genome	-	NZ_AP019009.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	4218941	4218788	154	27	41	41	5071908
1899iat	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	at_nt_hok_sok_tadb	not defined	infernal	2.4e-15	273914	273713	201	0	0	0	0
3273it	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	not defined	infernal	9.5e-21	273936	273788	148	0	0	0	0
167100bt	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	273937	273785	153	1	51	51	5225577
3188iat	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	at_nt_hok_sok_tadb	not defined	infernal	2e-08	3678351	3678136	215	0	0	0	0
4008it	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	not defined	infernal	1.9e-20	3678368	3678221	147	0	0	0	0
428444bt	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3678370	3678217	154	28	41	41	5225577
2816iat	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	at_nt_hok_sok_tadb	not defined	infernal	1.8e-09	3684118	3683913	205	0	0	0	0
7913it	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	not defined	infernal	9.7e-19	3684137	3683990	147	0	0	0	0
428446bt	Serratia_marcescens_SM39_DNA_complete_genome	genome	-	NZ_AP013063.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3684139	3683986	154	27	41	41	5225577
1869iat	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	at_nt_hok_sok_tadb	not defined	infernal	6.1e-16	961966	961748	218	0	0	0	0
3108it	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	t_pro_hok_sok_tadb	not defined	infernal	5.6e-21	961988	961840	148	0	0	0	0
167079bt	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	961989	961837	153	1	51	51	5123091
3189iat	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	at_nt_hok_sok_tadb	not defined	infernal	2e-08	4274905	4274690	215	0	0	0	0
4009it	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	t_pro_hok_sok_tadb	not defined	infernal	1.9e-20	4274922	4274775	147	0	0	0	0
428448bt	Serratia_marcescens_SMB2099_complete_genome	genome	-	NZ_HG738868.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	4274924	4274771	154	28	41	41	5123091
