1bt	MULTISPECIES_type_I_addiction_module_toxin_Fst_family_[Bacilli]	genome	+	WP_002405934.1	t_pro_fst_rna1	104bt_bac:Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence_tasys:t_pro_fst_rna1_genome:NZ_CP022486.1_genomeType:genome_blastType:tblastn_position:11460to11558_genomeLength:31392_1	blastp	2.69e-14	13	45	33	1	33	33	45
2bt	type_I_addiction_module_toxin_Fst_family_[Enterococcus_faecalis]	genome	+	WP_002360667.1	t_pro_fst_rna1	104bt_bac:Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence_tasys:t_pro_fst_rna1_genome:NZ_CP022486.1_genomeType:genome_blastType:tblastn_position:11460to11558_genomeLength:31392_1	blastp	3.26e-14	4	36	33	1	33	33	36
3bt	MULTISPECIES_type_I_addiction_module_toxin_Fst_family_[Enterococcus]	genome	+	WP_002386476.1	t_pro_fst_rna1	104bt_bac:Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence_tasys:t_pro_fst_rna1_genome:NZ_CP022486.1_genomeType:genome_blastType:tblastn_position:11460to11558_genomeLength:31392_1	blastp	1.53e-13	13	45	33	1	33	33	45
4bt	hypothetical_protein_[Enterococcus_faecalis]	genome	+	WP_107164701.1	t_pro_fst_rna1	104bt_bac:Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence_tasys:t_pro_fst_rna1_genome:NZ_CP022486.1_genomeType:genome_blastType:tblastn_position:11460to11558_genomeLength:31392_1	blastp	1.85e-13	4	36	33	1	33	33	36
5bt	MULTISPECIES_type_I_addiction_module_toxin_Fst_family_[Enterococcus]	genome	+	WP_002386476.1	t_pro_fst_rna1	116bt_bac:Enterococcus_faecalis_D32_complete_genome_tasys:t_pro_fst_rna1_genome:NC_018221.1_genomeType:genome_blastType:tblastn_position:1945916to1945818_genomeLength:2987450_1	blastp	2.29e-13	13	45	33	1	33	33	45
6bt	hypothetical_protein_[Enterococcus_faecalis]	genome	+	WP_107164701.1	t_pro_fst_rna1	116bt_bac:Enterococcus_faecalis_D32_complete_genome_tasys:t_pro_fst_rna1_genome:NC_018221.1_genomeType:genome_blastType:tblastn_position:1945916to1945818_genomeLength:2987450_1	blastp	2.38e-13	4	36	33	1	33	33	36
7bt	type_I_addiction_module_toxin_Fst_family_[Enterococcus_faecalis]	genome	+	WP_002360667.1	t_pro_fst_rna1	116bt_bac:Enterococcus_faecalis_D32_complete_genome_tasys:t_pro_fst_rna1_genome:NC_018221.1_genomeType:genome_blastType:tblastn_position:1945916to1945818_genomeLength:2987450_1	blastp	6.26e-13	4	36	33	1	33	33	36
8bt	MULTISPECIES_type_I_addiction_module_toxin_Fst_family_[Bacilli]	genome	+	WP_002405934.1	t_pro_fst_rna1	116bt_bac:Enterococcus_faecalis_D32_complete_genome_tasys:t_pro_fst_rna1_genome:NC_018221.1_genomeType:genome_blastType:tblastn_position:1945916to1945818_genomeLength:2987450_1	blastp	6.59e-13	13	45	33	1	33	33	45
9bt	MULTISPECIES_type_I_addiction_module_toxin_Fst_family_[Enterococcus]	genome	+	WP_002386476.1	t_pro_fst_rna1	107bt_bac:Enterococcus_faecalis_V583_plasmid_pTEF1_complete_sequence_tasys:t_pro_fst_rna1_genome:NC_004669.1_genomeType:genome_blastType:tblastn_position:63274to63372_genomeLength:66320_1	blastp	6.20e-14	13	45	33	1	33	33	45
10bt	hypothetical_protein_[Enterococcus_faecalis]	genome	+	WP_107164701.1	t_pro_fst_rna1	107bt_bac:Enterococcus_faecalis_V583_plasmid_pTEF1_complete_sequence_tasys:t_pro_fst_rna1_genome:NC_004669.1_genomeType:genome_blastType:tblastn_position:63274to63372_genomeLength:66320_1	blastp	7.03e-14	4	36	33	1	33	33	36
