4917it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_nt_ibs_sib	not defined	infernal	0.0019	155471	155530	59	0	0	0	0
15062bat	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	155564	155430	135	1	123	123	5244290
911iat	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	at_nt_ibs_sib	not defined	infernal	4.9e-34	155564	155430	134	0	0	0	0
587696bt	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2853160	2853570	411	1	86	138	5244290
3850it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_pro_syme_symr	not defined	infernal	1.5e-11	2853197	2853469	272	0	0	0	0
1098it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_nt_syme_symr	not defined	infernal	2.5e-71	2853211	2853554	343	0	0	0	0
903iat	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	at_nt_syme_symr	not defined	infernal	9.6e-16	2853216	2853140	76	0	0	0	0
1599it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	t_nt_tisb_istr_smax	not defined	infernal	2.6e-21	3577680	3577598	82	0	0	0	0
1252bt	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	t_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3577680	3577591	90	1	90	90	5244290
1600it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	t_pro_tisb_istr_smax	not defined	infernal	1.1e-13	3577680	3577594	86	0	0	0	0
957iat	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	at_nt_tisb_istr_smax	not defined	infernal	1.3e-20	3577933	3578072	139	0	0	0	0
4863iat	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	-	NZ_CP020448.2	at_nt_ldr_rdl	not defined	infernal	9.7e-08	3764255	3764188	67	0	0	0	0
1999it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_pro_ldr_rdl	not defined	infernal	1.9e-23	3764306	3764410	104	0	0	0	0
2510it	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_nt_ldr_rdl	not defined	infernal	1.6e-23	3764306	3764413	107	0	0	0	0
106732bt	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	3764306	3764410	105	1	35	35	5244290
129325bt	Citrobacter_braakii_strain_FDAARGOS_253_chromosome_complete_genome	genome	+	NZ_CP020448.2	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3764306	3764398	93	1	93	93	5244290
15539bat	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	932118	932252	135	1	135	135	4834774
1667iat	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	at_nt_ibs_sib	not defined	infernal	1.8e-33	932118	932252	134	0	0	0	0
4908it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_nt_ibs_sib	not defined	infernal	0.0013	932211	932152	59	0	0	0	0
2512it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_nt_ldr_rdl	not defined	infernal	4.8e-23	2499713	2499606	107	0	0	0	0
129222bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	2499713	2499621	93	1	93	93	4834774
692it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_pro_ldr_rdl	not defined	infernal	4.1e-24	2499713	2499609	104	0	0	0	0
106734bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	2499713	2499609	105	1	35	35	4834774
4840iat	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	at_nt_ldr_rdl	not defined	infernal	5e-08	2499764	2499831	67	0	0	0	0
1016iat	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	at_nt_tisb_istr_smax	not defined	infernal	6.5e-19	2666640	2666500	140	0	0	0	0
1592it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	t_pro_tisb_istr_smax	not defined	infernal	6.9e-14	2666894	2666980	86	0	0	0	0
16169bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	t_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	2666894	2666983	90	1	81	83	4834774
1440it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	t_nt_tisb_istr_smax	not defined	infernal	1.8e-21	2666894	2666976	82	0	0	0	0
1172iat	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	+	NZ_CP022049.2	at_nt_syme_symr	not defined	infernal	4.7e-13	3381840	3381916	76	0	0	0	0
1120it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_nt_syme_symr	not defined	infernal	6.5e-69	3381845	3381502	343	0	0	0	0
3890it	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_pro_syme_symr	not defined	infernal	2.8e-11	3381865	3381605	260	0	0	0	0
497652bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3381872	3381486	387	3	122	122	4834774
