1076iat	Klebsiella_michiganensis_E718_complete_sequence	genome	+	NC_018106.1	at_nt_syme_symr	not defined	infernal	2.9e-14	655535	655611	76	0	0	0	0
12157bat	Klebsiella_michiganensis_E718_complete_sequence	genome	+	NC_018106.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	655535	655611	77	1	77	77	6097032
1109it	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_nt_syme_symr	not defined	infernal	1.1e-70	655540	655227	313	0	0	0	0
3285it	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_pro_syme_symr	not defined	infernal	1.7e-14	655554	655262	292	0	0	0	0
394910bt	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	655576	655223	354	1	106	106	6097032
12287bat	Klebsiella_michiganensis_E718_complete_sequence	genome	+	NC_018106.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	711020	711083	64	1	44	64	6097032
1047iat	Klebsiella_michiganensis_E718_complete_sequence	genome	+	NC_018106.1	at_nt_syme_symr	not defined	infernal	6.4e-15	711020	711096	76	0	0	0	0
964it	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_nt_syme_symr	not defined	infernal	4.8e-101	711025	710712	313	0	0	0	0
1009358bt	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	711025	710712	314	1	314	314	6097032
3116it	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_pro_syme_symr	not defined	infernal	4.4e-16	711036	710767	269	0	0	0	0
804967bt	Klebsiella_michiganensis_E718_complete_sequence	genome	-	NC_018106.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	711061	710672	390	1	130	130	6097032
