238172bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	190112	190267	156	1	52	52	4570938
6606it	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	not defined	infernal	2.5e-19	190117	190265	148	0	0	0	0
6393iat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_hok_sok_tadb	not defined	infernal	0.00055	190138	190339	201	0	0	0	0
175420bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1020426	1020578	153	1	51	51	4570938
2559it	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	not defined	infernal	3e-21	1020428	1020577	149	0	0	0	0
3818iat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_hok_sok_tadb	not defined	infernal	2.2e-07	1020445	1020630	185	0	0	0	0
185209bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	2336247	2336396	150	2	50	50	4570938
8735it	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	t_pro_hok_sok_tadb	not defined	infernal	4.8e-17	2336250	2336395	145	0	0	0	0
2018iat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_hok_sok_tadb	not defined	infernal	6.8e-15	2336263	2336412	149	0	0	0	0
3902iat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	at_nt_hok_sok_tadb	not defined	infernal	2.7e-07	3214046	3213862	184	0	0	0	0
7665it	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	t_pro_hok_sok_tadb	not defined	infernal	7.5e-19	3214063	3213914	149	0	0	0	0
174110bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3214065	3213913	153	1	50	50	4570938
7533it	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	+	NC_011601.1	t_pro_hok_sok_tadb	not defined	infernal	6.8e-19	540251	540400	149	0	0	0	0
170931bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	+	NC_011601.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	540252	540401	150	1	47	47	4965553
4181iat	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	+	NC_011601.1	at_nt_hok_sok_tadb	not defined	infernal	3.6e-07	540268	540472	204	0	0	0	0
2532iat	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	at_nt_hok_sok_tadb	not defined	infernal	7.5e-15	1605444	1605295	149	0	0	0	0
277551bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1605448	1605311	138	1	33	33	4965553
9527it	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	not defined	infernal	3.3e-16	1605457	1605312	145	0	0	0	0
3057iat	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	at_nt_hok_sok_tadb	not defined	infernal	9.6e-09	3112794	3112579	215	0	0	0	0
237533bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3112810	3112661	150	1	50	50	4965553
3429it	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	not defined	infernal	1.3e-20	3112811	3112662	149	0	0	0	0
5649iat	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	at_nt_hok_sok_tadb	not defined	infernal	8e-05	3974463	3974287	176	0	0	0	0
6636it	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	not defined	infernal	2.5e-19	3974484	3974336	148	0	0	0	0
205332bt	Escherichia_coli_0127_H6_E2348_69_complete_genome_strain_E2348_69	genome	-	NC_011601.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3974489	3974334	156	1	52	52	4965553
6266it	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	2.1e-19	685955	686104	149	0	0	0	0
169987bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	685956	686105	150	1	47	47	5241977
3376iat	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	4.6e-08	685972	686176	204	0	0	0	0
6559it	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	2.4e-19	686457	686606	149	0	0	0	0
169986bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	686458	686607	150	1	47	47	5241977
3441iat	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	8.7e-08	686474	686678	204	0	0	0	0
202647bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1411502	1411654	153	1	51	51	5241977
2384it	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	2.3e-21	1411504	1411653	149	0	0	0	0
7145iat	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	0.0052	1411530	1411731	201	0	0	0	0
202648bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1547259	1547411	153	1	51	51	5241977
1873it	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	9.7e-22	1547261	1547410	149	0	0	0	0
7199iat	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	0.0074	1547287	1547494	207	0	0	0	0
2008iat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	6.8e-15	1616723	1616574	149	0	0	0	0
9316it	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	8.1e-17	1616736	1616591	145	0	0	0	0
220251bt	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1616736	1616590	147	1	49	49	5241977
6962iat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	0.0048	1797437	1797236	201	0	0	0	0
1163it	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	9.5e-22	1797463	1797314	149	0	0	0	0
202650bt	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1797465	1797313	153	1	51	51	5241977
3382iat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	4.7e-08	3147543	3147340	203	0	0	0	0
174860bt	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3147559	3147410	150	1	50	50	5241977
3927it	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	1.8e-20	3147560	3147411	149	0	0	0	0
5635iat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_hok_sok_tadb	not defined	infernal	8e-05	4101760	4101584	176	0	0	0	0
6596it	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	not defined	infernal	2.5e-19	4101781	4101633	148	0	0	0	0
205282bt	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	4101786	4101631	156	1	52	52	5241977
1148iat	Escherichia_coli_042_plasmid_pAA_complete_sequence	genome	-	NC_017627.1	at_nt_hok_sok_tadb	not defined	infernal	1.5e-64	86805	86578	227	0	0	0	0
320330bat	Escherichia_coli_042_plasmid_pAA_complete_sequence	genome	-	NC_017627.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	86805	86578	228	3	227	227	113346
9386it	Escherichia_coli_042_plasmid_pAA_complete_sequence	genome	-	NC_017627.1	t_pro_hok_sok_tadb	not defined	infernal	8.7e-17	86818	86673	145	0	0	0	0
239087bt	Escherichia_coli_042_plasmid_pAA_complete_sequence	genome	-	NC_017627.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	86824	86666	159	1	53	53	113346
175196bt	Escherichia_coli_1303_complete_genome	genome	+	NZ_CP009166.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	607661	607813	153	1	51	51	4948797
7662it	Escherichia_coli_1303_complete_genome	genome	+	NZ_CP009166.1	t_pro_hok_sok_tadb	not defined	infernal	7.5e-19	607663	607812	149	0	0	0	0
3899iat	Escherichia_coli_1303_complete_genome	genome	+	NZ_CP009166.1	at_nt_hok_sok_tadb	not defined	infernal	2.7e-07	607680	607864	184	0	0	0	0
2009iat	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	at_nt_hok_sok_tadb	not defined	infernal	6.8e-15	1632527	1632378	149	0	0	0	0
8729it	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	not defined	infernal	4.8e-17	1632540	1632395	145	0	0	0	0
219936bt	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1632540	1632394	147	1	49	49	4948797
6963iat	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	at_nt_hok_sok_tadb	not defined	infernal	0.0048	1806624	1806423	201	0	0	0	0
1165it	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	not defined	infernal	9.5e-22	1806650	1806501	149	0	0	0	0
202886bt	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1806652	1806500	153	1	51	51	4948797
3816iat	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	at_nt_hok_sok_tadb	not defined	infernal	2.2e-07	3052070	3051885	185	0	0	0	0
2557it	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	not defined	infernal	3e-21	3052087	3051938	149	0	0	0	0
173894bt	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3052089	3051937	153	1	50	50	4948797
6390iat	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	at_nt_hok_sok_tadb	not defined	infernal	0.00055	3913729	3913528	201	0	0	0	0
6597it	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	not defined	infernal	2.5e-19	3913750	3913602	148	0	0	0	0
206358bt	Escherichia_coli_1303_complete_genome	genome	-	NZ_CP009166.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3913755	3913600	156	1	52	52	4948797
285794bt	Escherichia_coli_1303_plasmid_p1303_109_complete_sequence	genome	+	NZ_CP009167.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	65640	65810	171	1	57	57	108501
3314it	Escherichia_coli_1303_plasmid_p1303_109_complete_sequence	genome	+	NZ_CP009167.1	t_pro_hok_sok_tadb	not defined	infernal	1.2e-20	65662	65809	147	0	0	0	0
320035bat	Escherichia_coli_1303_plasmid_p1303_109_complete_sequence	genome	+	NZ_CP009167.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	65673	65898	226	2	227	227	108501
905iat	Escherichia_coli_1303_plasmid_p1303_109_complete_sequence	genome	+	NZ_CP009167.1	at_nt_hok_sok_tadb	not defined	infernal	1.1e-67	65674	65898	224	0	0	0	0
