151bt	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	+	NC_017190.1	t_pro_bsrg_sr4	unknown	tblastn	0	2273615	2273728	113	0	0	0	3995227
5805bt	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	+	NC_017190.1	t_nt_bsrg_sr4	unknown	blastn	0	2273615	2273731	116	0	0	0	3995227
1451bat	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	-	NC_017190.1	at_nt_bsrg_sr4	unknown	blastn	0	2273909	2273726	183	0	0	0	3995227
5807bt	Bacillus_sp_MD_5_chromosome_complete_genome	genome	+	NZ_CP021911.1	t_nt_bsrg_sr4	unknown	blastn	0	1931532	1931648	116	0	0	0	4161448
131bt	Bacillus_sp_MD_5_chromosome_complete_genome	genome	+	NZ_CP021911.1	t_pro_bsrg_sr4	unknown	tblastn	0	1931532	1931645	113	0	0	0	4161448
2303bat	Bacillus_sp_MD_5_chromosome_complete_genome	genome	-	NZ_CP021911.1	at_nt_bsrg_sr4	unknown	blastn	0	1931825	1931643	182	0	0	0	4161448
1579bat	Bacillus_subtilis_strain_MZK05_chromosome_complete_genome	genome	+	NZ_CP032315.1	at_nt_bsrg_sr4	unknown	blastn	0	1793364	1793546	182	0	0	0	4145727
2997bt	Bacillus_subtilis_strain_MZK05_chromosome_complete_genome	genome	-	NZ_CP032315.1	t_nt_bsrg_sr4	unknown	blastn	0	1793657	1793541	116	0	0	0	4145727
132bt	Bacillus_subtilis_strain_MZK05_chromosome_complete_genome	genome	-	NZ_CP032315.1	t_pro_bsrg_sr4	unknown	tblastn	0	1793657	1793544	113	0	0	0	4145727
5810bt	Bacillus_subtilis_subsp_inaquosorum_strain_DE111_complete_genome	genome	+	NZ_CP013984.1	t_nt_bsrg_sr4	unknown	blastn	0	2008302	2008418	116	0	0	0	4143890
107bt	Bacillus_subtilis_subsp_inaquosorum_strain_DE111_complete_genome	genome	+	NZ_CP013984.1	t_pro_bsrg_sr4	unknown	tblastn	0	2008302	2008415	113	0	0	0	4143890
1024bat	Bacillus_subtilis_subsp_inaquosorum_strain_DE111_complete_genome	genome	-	NZ_CP013984.1	at_nt_bsrg_sr4	unknown	blastn	0	2008597	2008413	184	0	0	0	4143890
