11350bat	Staphylococcus_argenteus_MSHR1132_complete_genome_sequence	genome	+	NC_016941.1	at_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	1974322	1974462	141	1	73	133	2762785
1074bt	Staphylococcus_argenteus_MSHR1132_complete_genome_sequence	genome	-	NC_016941.1	t_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	1974588	1974454	135	1	135	135	2762785
1055bt	Staphylococcus_argenteus_MSHR1132_complete_genome_sequence	genome	-	NC_016941.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	1974588	1974457	132	1	44	44	2762785
19401bat	Staphylococcus_argenteus_strain_BN75_genome	chromosome	+	NZ_CP015758.1	at_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	1989513	1989653	141	1	141	141	2754198
17824bt	Staphylococcus_argenteus_strain_BN75_genome	chromosome	-	NZ_CP015758.1	t_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	1989779	1989645	135	1	135	135	2754198
15868bt	Staphylococcus_argenteus_strain_BN75_genome	chromosome	-	NZ_CP015758.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	1989779	1989648	132	1	44	44	2754198
10884bat	Staphylococcus_aureus_04_02981_complete_genome	genome	+	NC_017340.1	at_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2043899	2044039	141	1	141	141	2821452
1073bt	Staphylococcus_aureus_04_02981_complete_genome	genome	-	NC_017340.1	t_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2044165	2044031	135	1	135	135	2821452
1002bt	Staphylococcus_aureus_04_02981_complete_genome	genome	-	NC_017340.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	2044165	2044034	132	1	44	44	2821452
11349bat	Staphylococcus_aureus_CA_347_complete_genome	genome	+	NC_021554.1	at_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2086611	2086751	141	1	73	133	2850503
1072bt	Staphylococcus_aureus_CA_347_complete_genome	genome	-	NC_021554.1	t_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2086877	2086743	135	1	135	135	2850503
1263bt	Staphylococcus_aureus_CA_347_complete_genome	genome	-	NC_021554.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	2086877	2086746	132	1	44	44	2850503
11237bat	Staphylococcus_aureus_DNA_complete_genome_strain_FDA209P	genome	+	NZ_AP014942.1	at_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2002495	2002635	141	1	73	133	2775733
1063bt	Staphylococcus_aureus_DNA_complete_genome_strain_FDA209P	genome	-	NZ_AP014942.1	t_nt_sprg_sprf_sr75	NaN - rows are merged	blastn	NaN - rows are merged	2002761	2002627	135	1	135	135	2775733
1129bt	Staphylococcus_aureus_DNA_complete_genome_strain_FDA209P	genome	-	NZ_AP014942.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	2002761	2002630	132	1	44	44	2775733
