1iat	Escherichia_coli_strain_00_3279_plasmid_unnamed3_complete_sequence	chromosome	-	NZ_CP024296.1	at_nt_srnb_srnc	not defined	infernal	5e-19	59771	59712	59	0	0	0	0
2iat	Escherichia_coli_strain_2016C_3936C1_plasmid_unnamed5_sequence	chromosome	-	NZ_CP018775.2	at_nt_srnb_srnc	not defined	infernal	5e-19	118136	118077	59	0	0	0	0
3iat	Escherichia_coli_strain_BR02_DEC_chromosome	chromosome	+	NZ_CP035320.1	at_nt_srnb_srnc	not defined	infernal	5e-19	14774	14833	59	0	0	0	0
4iat	Escherichia_coli_strain_BR03_DEC_chromosome	chromosome	-	NZ_CP035321.1	at_nt_srnb_srnc	not defined	infernal	5e-19	517288	517229	59	0	0	0	0
5iat	Escherichia_coli_strain_BR07_DEC_chromosome	chromosome	-	NZ_CP035322.1	at_nt_srnb_srnc	not defined	infernal	5e-19	5019579	5019520	59	0	0	0	0
6iat	Escherichia_coli_strain_BR12_DEC_chromosome	chromosome	-	NZ_CP035325.1	at_nt_srnb_srnc	not defined	infernal	5e-19	4792708	4792649	59	0	0	0	0
7iat	Escherichia_coli_strain_BR32_DEC_chromosome	chromosome	+	NZ_CP035350.1	at_nt_srnb_srnc	not defined	infernal	5e-19	19685	19744	59	0	0	0	0
8iat	Escherichia_coli_strain_FDAARGOS_434_plasmid_unnamed1_complete_sequence	chromosome	+	NZ_CP023871.1	at_nt_srnb_srnc	not defined	infernal	5e-19	115629	115688	59	0	0	0	0
9iat	Escherichia_coli_strain_H17_plasmid_pH17_5_complete_sequence	chromosome	+	NZ_CP021198.1	at_nt_srnb_srnc	not defined	infernal	5e-19	125110	125169	59	0	0	0	0
10iat	Escherichia_coli_strain_H8Ecoli_plasmid_p3_H8	chromosome	-	NZ_CP029214.1	at_nt_srnb_srnc	not defined	infernal	5e-19	64924	64865	59	0	0	0	0
11iat	Klebsiella_pneumoniae_strain_FDAARGOS_440_plasmid_unnamed1_complete_sequence	chromosome	-	NZ_CP023923.1	at_nt_srnb_srnc	not defined	infernal	5e-19	79979	79920	59	0	0	0	0
12iat	Escherichia_coli_strain_CH611_eco_plasmid_pGZ3_NDM5_complete_sequence	chromosome	+	NZ_CP017981.1	at_nt_srnb_srnc	not defined	infernal	6e-19	79789	79848	59	0	0	0	0
13iat	Escherichia_coli_strain_L103_2_plasmid_p103_2_4	chromosome	-	NZ_CP034846.1	at_nt_srnb_srnc	not defined	infernal	6e-19	73585	73526	59	0	0	0	0
14iat	Klebsiella_pneumoniae_strain_FDAARGOS_443_plasmid_unnamed2_complete_sequence	chromosome	+	NZ_CP023938.1	at_nt_srnb_srnc	not defined	infernal	6e-19	74124	74183	59	0	0	0	0
15iat	Klebsiella_pneumoniae_strain_L388_plasmid_pKPC_L388	chromosome	-	NZ_CP029225.1	at_nt_srnb_srnc	not defined	infernal	6e-19	144814	144755	59	0	0	0	0
16iat	Klebsiella_pneumoniae_strain_L491_plasmid_pKPC_L491	chromosome	-	NZ_CP029230.1	at_nt_srnb_srnc	not defined	infernal	6e-19	245170	245111	59	0	0	0	0
17iat	Escherichia_coli_strain_89_3506_isolate_89_3506_plasmid_unnamed1	chromosome	-	NZ_CP027521.1	at_nt_srnb_srnc	not defined	infernal	1.6e-18	54839	54780	59	0	0	0	0
18iat	Escherichia_coli_strain_00_3279_plasmid_unnamed2_complete_sequence	chromosome	+	NZ_CP024295.1	at_nt_srnb_srnc	not defined	infernal	3.2e-18	84205	84264	59	0	0	0	0
19iat	Escherichia_coli_strain_2014C_3716_plasmid_unnamed2	chromosome	+	NZ_CP027337.1	at_nt_srnb_srnc	not defined	infernal	3.6e-18	41108	41167	59	0	0	0	0
20iat	Escherichia_coli_strain_2014C_3741_plasmid_unnamed1	chromosome	-	NZ_CP027329.1	at_nt_srnb_srnc	not defined	infernal	3.6e-18	25577	25518	59	0	0	0	0
21iat	Escherichia_coli_isolate_Co6114_plasmid_pC06114_1_complete_sequence	chromosome	+	NZ_CP016035.1	at_nt_srnb_srnc	not defined	infernal	5.3e-18	8141	8200	59	0	0	0	0
22iat	Escherichia_coli_strain_BR43_DEC_chromosome	chromosome	-	NZ_CP035377.1	at_nt_srnb_srnc	not defined	infernal	5.3e-18	5050979	5050920	59	0	0	0	0
23iat	Escherichia_albertii_strain_2014C_4356_plasmid_unnamed4_complete_sequence	genome	+	NZ_CP024286.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	42579	42638	59	0	0	0	0
24iat	Escherichia_coli_APEC_IMT5155_plasmid_p1ColV5155_complete_sequence	genome	+	NZ_CP005931.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	34914	34973	59	0	0	0	0
25iat	Escherichia_coli_APEC_O1_plasmid_pAPEC_O1_ColBM_complete_sequence	genome	-	NC_009837.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	53159	53100	59	0	0	0	0
26iat	Escherichia_coli_strain_APEC_O2_211_plasmid_pAPEC_O2_211A_ColV_complete_sequence	genome	+	NZ_CP030791.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	111735	111794	59	0	0	0	0
27iat	Escherichia_coli_ECC_1470_plasmid_pECC_1470_100_complete_sequence	genome	-	NZ_CP010345.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	99193	99134	59	0	0	0	0
28iat	Escherichia_coli_JJ1887_plasmid_pJJ1887_5_complete_sequence	genome	+	NZ_CP014320.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	1042	1101	59	0	0	0	0
29iat	Escherichia_coli_O25_H16_strain_F5505_C1_plasmid_unnamed1_complete_sequence	genome	+	NZ_CP024258.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	2991	3050	59	0	0	0	0
30iat	Escherichia_coli_O25_NM_strain_2014EL_1343_2_plasmid_unnamed1	genome	-	NZ_CP024229.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	8151	8092	59	0	0	0	0
31iat	Escherichia_coli_O83_H1_str_NRG_857C_plasmid_pO83_CORR_complete_sequence	genome	+	NC_017659.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	79737	79796	59	0	0	0	0
32iat	Escherichia_coli_PCN033_plasmid_p3PCN033_complete_sequence	genome	+	NZ_CP006635.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	19609	19668	59	0	0	0	0
33iat	Escherichia_coli_strain_1223_plasmid_p147_complete_sequence	genome	+	NZ_CP023384.1	at_nt_srnb_srnc	not defined	infernal	3.3e-18	71586	71645	59	0	0	0	0
