286149bt	Erwinia_amylovora_ATCC_49946_chromosomal_sequence	genome	+	NC_013971.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	581136	581306	171	1	57	57	3805874
8026it	Erwinia_amylovora_ATCC_49946_chromosomal_sequence	genome	+	NC_013971.1	t_pro_hok_sok_tadb	not defined	infernal	1.4e-18	581156	581305	149	0	0	0	0
1661iat	Erwinia_amylovora_ATCC_49946_chromosomal_sequence	genome	+	NC_013971.1	at_nt_hok_sok_tadb	not defined	infernal	6.3e-52	581170	581395	225	0	0	0	0
207420bat	Erwinia_amylovora_ATCC_49946_chromosomal_sequence	genome	+	NC_013971.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	581172	581387	216	5	220	223	3805874
207419bat	Erwinia_amylovora_CFBP1430_complete_genome	genome	-	NC_013961.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	3190210	3189995	216	5	220	223	3805573
1662iat	Erwinia_amylovora_CFBP1430_complete_genome	genome	-	NC_013961.1	at_nt_hok_sok_tadb	not defined	infernal	6.3e-52	3190212	3189987	225	0	0	0	0
8027it	Erwinia_amylovora_CFBP1430_complete_genome	genome	-	NC_013961.1	t_pro_hok_sok_tadb	not defined	infernal	1.4e-18	3190226	3190077	149	0	0	0	0
176404bt	Erwinia_amylovora_CFBP1430_complete_genome	genome	-	NC_013961.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3190246	3190076	171	1	52	52	3805573
314924bat	Erwinia_amylovora_LA635_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVS010000007.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	372932	372717	216	5	220	228	636794
78iat	Erwinia_amylovora_LA635_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVS010000007.1	at_nt_hok_sok_tadb	not defined	infernal	9.3e-53	372934	372709	225	0	0	0	0
707it	Erwinia_amylovora_LA635_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVS010000007.1	t_pro_hok_sok_tadb	not defined	infernal	2.1e-19	372948	372799	149	0	0	0	0
189016bt	Erwinia_amylovora_LA635_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVS010000007.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	372974	372798	177	1	52	52	636794
314923bat	Erwinia_amylovora_LA636_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVT010000007.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	372932	372717	216	5	220	228	636794
79iat	Erwinia_amylovora_LA636_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVT010000007.1	at_nt_hok_sok_tadb	not defined	infernal	9.3e-53	372934	372709	225	0	0	0	0
708it	Erwinia_amylovora_LA636_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVT010000007.1	t_pro_hok_sok_tadb	not defined	infernal	2.1e-19	372948	372799	149	0	0	0	0
189015bt	Erwinia_amylovora_LA636_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVT010000007.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	372974	372798	177	1	52	52	636794
314922bat	Erwinia_amylovora_LA637_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVU010000007.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	372914	372699	216	5	220	228	636776
80iat	Erwinia_amylovora_LA637_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVU010000007.1	at_nt_hok_sok_tadb	not defined	infernal	9.3e-53	372916	372691	225	0	0	0	0
709it	Erwinia_amylovora_LA637_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVU010000007.1	t_pro_hok_sok_tadb	not defined	infernal	2.1e-19	372930	372781	149	0	0	0	0
189014bt	Erwinia_amylovora_LA637_chromosome_VII_whole_genome_shotgun_sequence	chromosome	-	NZ_CBVU010000007.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	372956	372780	177	1	52	52	636776
286150bt	Erwinia_amylovora_strain_E_2_chromosome_complete_genome	genome	+	NZ_CP024970.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	581158	581328	171	1	57	57	3806898
8028it	Erwinia_amylovora_strain_E_2_chromosome_complete_genome	genome	+	NZ_CP024970.1	t_pro_hok_sok_tadb	not defined	infernal	1.4e-18	581178	581327	149	0	0	0	0
1663iat	Erwinia_amylovora_strain_E_2_chromosome_complete_genome	genome	+	NZ_CP024970.1	at_nt_hok_sok_tadb	not defined	infernal	6.3e-52	581192	581417	225	0	0	0	0
207418bat	Erwinia_amylovora_strain_E_2_chromosome_complete_genome	genome	+	NZ_CP024970.1	at_nt_hok_sok_tadb	NaN - rows are merged	blastn	NaN - rows are merged	581194	581409	216	5	220	223	3806898
