175253bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1301039	1301191	153	1	51	51	4849628
7582it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	not defined	infernal	6.8e-19	1301041	1301190	149	0	0	0	0
4401iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_hok_sok_tadb	not defined	infernal	6.4e-07	1301058	1301242	184	0	0	0	0
175252bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1302891	1303043	153	1	51	51	4849628
6474it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	not defined	infernal	2.2e-19	1302893	1303042	149	0	0	0	0
4403iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_hok_sok_tadb	not defined	infernal	6.4e-07	1302910	1303114	204	0	0	0	0
185400bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	2570751	2570900	150	2	50	50	4849628
8699it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	not defined	infernal	3.2e-17	2570754	2570899	145	0	0	0	0
1915iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_hok_sok_tadb	not defined	infernal	3.8e-15	2570767	2570916	149	0	0	0	0
3509iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	at_nt_hok_sok_tadb	not defined	infernal	9.9e-08	3815868	3815684	184	0	0	0	0
2625it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	t_pro_hok_sok_tadb	not defined	infernal	3e-21	3815885	3815736	149	0	0	0	0
173950bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	-	NZ_CP022672.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	3815887	3815735	153	1	50	50	4849628
205243bt	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	4789295	4789450	156	1	52	52	4849628
7215it	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	t_pro_hok_sok_tadb	not defined	infernal	4.6e-19	4789300	4789447	147	0	0	0	0
5962iat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_hok_sok_tadb	not defined	infernal	0.00028	4789321	4789522	201	0	0	0	0
3037iat	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	-	NZ_CP032523.1	at_nt_hok_sok_tadb	not defined	infernal	8.8e-09	394117	393914	203	0	0	0	0
2626it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	-	NZ_CP032523.1	t_pro_hok_sok_tadb	not defined	infernal	3e-21	394134	393985	149	0	0	0	0
173873bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	-	NZ_CP032523.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	394136	393984	153	1	50	50	5032769
205241bt	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_hok_sok_tadb	NaN - rows are merged	tblastn	NaN - rows are merged	1391197	1391352	156	1	52	52	5032769
7216it	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	t_pro_hok_sok_tadb	not defined	infernal	4.6e-19	1391202	1391349	147	0	0	0	0
5963iat	Shigella_sonnei_strain_AR_0030_chromosome_complete_genome	genome	+	NZ_CP032523.1	at_nt_hok_sok_tadb	not defined	infernal	0.00028	1391223	1391424	201	0	0	0	0
