10659bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2135127	2135207	81	1	81	81	4598983
19869bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2134889	2134800	90	1	90	90	4598983
10657bat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2208647	2208727	81	1	81	81	4657167
19867bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2208409	2208320	90	1	90	90	4657167
10655bat	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	+	NZ_AP014855.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2074474	2074554	81	1	81	81	4560575
19865bt	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	-	NZ_AP014855.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2074236	2074147	90	1	90	90	4560575
19875bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4082260	4082349	90	1	90	90	4701875
11411bat	Escherichia_albertii_KF1_complete_genome	genome	-	NZ_CP007025.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4082021	4081941	81	1	81	81	4701875
19874bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4684801	4684890	90	1	90	90	4719735
11410bat	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	-	NZ_CP030778.2	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4684562	4684482	81	1	81	81	4719735
10662bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2105817	2105897	81	1	81	81	4940006
19873bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2105579	2105490	90	1	90	90	4940006
10651bat	Escherichia_albertii_strain_1551_2_chromosome_complete_genome	genome	+	NZ_CP025317.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2181354	2181434	81	1	81	81	4730877
19872bt	Escherichia_albertii_strain_1551_2_chromosome_complete_genome	genome	-	NZ_CP025317.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2181115	2181026	90	1	90	90	4730877
10661bat	Escherichia_albertii_strain_2012EL_1823B_chromosome_complete_genome	genome	+	NZ_CP030783.2	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2367449	2367529	81	1	81	81	4809821
19871bt	Escherichia_albertii_strain_2012EL_1823B_chromosome_complete_genome	genome	-	NZ_CP030783.2	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2367211	2367122	90	1	90	90	4809821
10853bat	Escherichia_albertii_strain_2013C_4143_chromosome_complete_genome	genome	+	NZ_CP030787.2	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2893803	2893883	81	1	81	81	4659709
10660bat	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	+	NZ_CP034166.1	at_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	770423	770503	81	1	81	81	4623903
19876bt	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	770185	770096	90	1	90	90	4623903
19870bt	Escherichia_albertii_strain_2014C_4356_chromosome_complete_genome	genome	+	NZ_CP024282.1	t_nt_zoro_orzo_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3213087	3213176	90	1	90	90	4852165
