4527iat	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	+	NC_005126.1	at_nt_hok_sok_ena	not defined	infernal	8.2e-07	3067466	3067526	60	0	0	0	0
953702bt	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	+	NC_005126.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3067591	3067767	177	1	56	58	5688987
4306it	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	+	NC_005126.1	t_pro_hok_sok_ena	not defined	infernal	1.6e-22	3067600	3067759	159	0	0	0	0
2362it	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	+	NC_005126.1	t_nt_hok_sok_ena	not defined	infernal	2.3e-10	3067612	3067770	158	0	0	0	0
6661it	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	-	NC_005126.1	t_pro_hok_sok_ena	not defined	infernal	3.7e-18	3416421	3416261	160	0	0	0	0
1005290bt	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	-	NC_005126.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3416428	3416261	168	1	57	57	5688987
5654iat	Photorhabdus_luminescens_subsp_laumondii_TTO1_complete_genome	genome	-	NC_005126.1	at_nt_hok_sok_ena	not defined	infernal	0.0064	3416551	3416495	56	0	0	0	0
4525iat	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	+	NZ_CP015281.1	at_nt_hok_sok_ena	not defined	infernal	8.2e-07	3067465	3067525	60	0	0	0	0
953700bt	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	+	NZ_CP015281.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3067590	3067766	177	1	56	58	5688984
4302it	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	+	NZ_CP015281.1	t_pro_hok_sok_ena	not defined	infernal	1.6e-22	3067599	3067758	159	0	0	0	0
2358it	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	+	NZ_CP015281.1	t_nt_hok_sok_ena	not defined	infernal	2.3e-10	3067611	3067769	158	0	0	0	0
6680it	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	-	NZ_CP015281.1	t_pro_hok_sok_ena	not defined	infernal	3.8e-18	3416420	3416260	160	0	0	0	0
535906bt	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	-	NZ_CP015281.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3416427	3416260	168	1	49	49	5688984
5652iat	Photorhabdus_luminescens_subsp_laumondii_strain_DSPV002N_chromosome_complete_genome	genome	-	NZ_CP015281.1	at_nt_hok_sok_ena	not defined	infernal	0.0064	3416550	3416494	56	0	0	0	0
