1048898bt	Salmonella_enterica_strain_201001922_chromosome	chromosome	+	NZ_CP028357.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3142009	3142344	336	4	110	119	4858671
287it	Salmonella_enterica_strain_201001922_chromosome	chromosome	+	NZ_CP028357.1	t_pro_syme_symr	not defined	infernal	3.8e-18	3142012	3142239	227	0	0	0	0
476167bt	Salmonella_enterica_strain_201001922_chromosome	chromosome	+	NZ_CP028357.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3142027	3142334	308	1	209	322	4858671
51it	Salmonella_enterica_strain_201001922_chromosome	chromosome	+	NZ_CP028357.1	t_nt_syme_symr	not defined	infernal	3.4e-99	3142027	3142340	313	0	0	0	0
61iat	Salmonella_enterica_strain_201001922_chromosome	chromosome	-	NZ_CP028357.1	at_nt_syme_symr	not defined	infernal	4.1e-13	3142032	3141955	77	0	0	0	0
815332bat	Salmonella_enterica_strain_201001922_chromosome	chromosome	-	NZ_CP028357.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3142032	3141968	65	1	64	64	4858671
523832bt	Salmonella_enterica_strain_ATCC_8387_chromosome_complete_genome	genome	+	NZ_CP034232.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4016422	4016787	366	1	121	125	4759051
1850it	Salmonella_enterica_strain_ATCC_8387_chromosome_complete_genome	genome	+	NZ_CP034232.1	t_pro_syme_symr	not defined	infernal	5.3e-21	4016442	4016670	228	0	0	0	0
940it	Salmonella_enterica_strain_ATCC_8387_chromosome_complete_genome	genome	+	NZ_CP034232.1	t_nt_syme_symr	not defined	infernal	7.6e-102	4016458	4016771	313	0	0	0	0
1010291bt	Salmonella_enterica_strain_ATCC_8387_chromosome_complete_genome	genome	+	NZ_CP034232.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4016458	4016765	308	1	243	314	4759051
12366bat	Salmonella_enterica_strain_ATCC_8387_chromosome_complete_genome	genome	-	NZ_CP034232.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4016463	4016400	64	24	64	64	4759051
