805149bt	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	+	NZ_CP022273.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2458324	2458701	378	1	121	130	5215381
1009707bt	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	+	NZ_CP022273.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2458360	2458681	322	1	301	314	5215381
12371bat	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	-	NZ_CP022273.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2458365	2458302	64	24	64	64	5215381
1064bat	Citrobacter_freundii_strain_FDAARGOS_550_chromosome_complete_genome	genome	+	NZ_CP033742.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3238469	3238532	64	1	64	64	4969137
1015513bt	Citrobacter_freundii_strain_FDAARGOS_550_chromosome_complete_genome	genome	-	NZ_CP033742.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3238474	3238153	322	1	322	328	4969137
700277bt	Citrobacter_freundii_strain_FDAARGOS_550_chromosome_complete_genome	genome	-	NZ_CP033742.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3238525	3238133	393	23	121	132	4969137
101bat	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	+	NZ_CP024672.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4833490	4833554	65	1	65	65	4899014
734991bt	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	-	NZ_CP024672.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4833495	4833174	322	1	322	322	4899014
488227bt	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	-	NZ_CP024672.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4833513	4833157	357	8	99	99	4899014
1020bat	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	+	NZ_LR134118.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	650649	650712	64	1	64	64	4960737
734992bt	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	-	NZ_LR134118.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	650654	650333	322	1	322	322	4960737
488132bt	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	-	NZ_LR134118.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	650705	650316	390	12	99	99	4960737
546698bt	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	+	NZ_CP035276.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4415016	4415423	408	4	95	147	5124258
1009633bt	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	+	NZ_CP035276.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4415085	4415406	322	1	308	314	5124258
12260bat	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	-	NZ_CP035276.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4415090	4415027	64	1	64	64	5124258
1063bat	Citrobacter_freundii_strain_UMH15_chromosome_complete_genome	genome	+	NZ_CP024679.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	5243553	5243616	64	1	64	64	5343952
1015512bt	Citrobacter_freundii_strain_UMH15_chromosome_complete_genome	genome	-	NZ_CP024679.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	5243558	5243237	322	1	322	328	5343952
700281bt	Citrobacter_freundii_strain_UMH15_chromosome_complete_genome	genome	-	NZ_CP024679.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	5243609	5243217	393	23	121	132	5343952
14234bat	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	+	NZ_CP024677.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	5128723	5128799	77	1	56	64	5195086
734964bt	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	-	NZ_CP024677.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	5128728	5128407	322	37	235	235	5195086
487780bt	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	-	NZ_CP024677.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	5128764	5128390	375	8	99	99	5195086
805154bt	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	+	NZ_CP033780.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	570641	571015	375	1	118	130	4581001
1001324bt	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	+	NZ_CP033780.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	570677	570998	322	1	308	320	4581001
109bat	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	-	NZ_CP033780.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	570682	570619	64	1	65	65	4581001
12320bat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4589220	4589283	64	1	64	64	4654874
734994bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4589225	4588904	322	1	322	322	4654874
805143bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4589294	4588857	438	1	130	130	4654874
490126bt	Citrobacter_sp_CRE_46_strain_AR_0157_chromosome_complete_genome	genome	+	NZ_CP029727.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	109454	109828	375	2	124	124	5262516
