10928bat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4598048	4598124	77	1	77	77	4657167
223iat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_syme_symr	not defined	infernal	1.5e-18	4598048	4598124	76	0	0	0	0
1001371bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4598053	4597716	338	1	338	338	4657167
115it	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_nt_syme_symr	not defined	infernal	2.6e-124	4598053	4597731	322	0	0	0	0
1764it	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_pro_syme_symr	not defined	infernal	2.1e-21	4598076	4597795	281	0	0	0	0
733012bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4598092	4597700	393	1	131	131	4657167
732998bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	1592725	1593117	393	1	131	131	4701875
1624it	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_pro_syme_symr	not defined	infernal	3e-22	1592741	1593021	280	0	0	0	0
113it	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_nt_syme_symr	not defined	infernal	1.8e-124	1592764	1593086	322	0	0	0	0
1000908bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	1592764	1593101	338	1	318	320	4701875
10930bat	Escherichia_albertii_KF1_complete_genome	genome	-	NZ_CP007025.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	1592769	1592693	77	1	77	77	4701875
221iat	Escherichia_albertii_KF1_complete_genome	genome	-	NZ_CP007025.1	at_nt_syme_symr	not defined	infernal	1.5e-18	1592769	1592693	76	0	0	0	0
733013bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2236580	2236972	393	1	131	131	4719735
1777it	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_pro_syme_symr	not defined	infernal	3.1e-21	2236596	2236874	278	0	0	0	0
1001146bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2236619	2236956	338	1	318	320	4719735
177it	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_nt_syme_symr	not defined	infernal	6.9e-123	2236619	2236941	322	0	0	0	0
10929bat	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	-	NZ_CP030778.2	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2236624	2236548	77	1	77	77	4719735
222iat	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	-	NZ_CP030778.2	at_nt_syme_symr	not defined	infernal	1.5e-18	2236624	2236548	76	0	0	0	0
706697bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	2929841	2930224	384	1	116	121	4709095
1901it	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_pro_syme_symr	not defined	infernal	8.7e-21	2929864	2930142	278	0	0	0	0
1001089bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2929886	2930227	342	1	318	320	4709095
345it	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_syme_symr	not defined	infernal	7e-121	2929886	2930208	322	0	0	0	0
349iat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_syme_symr	not defined	infernal	3.6e-18	2929891	2929815	76	0	0	0	0
10182bat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	2929891	2929815	77	1	77	77	4709095
382iat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_syme_symr	not defined	infernal	5.4e-18	4613713	4613789	76	0	0	0	0
10263bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4613713	4613789	77	1	77	77	4940006
159it	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_nt_syme_symr	not defined	infernal	1.9e-123	4613718	4613396	322	0	0	0	0
1004648bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4613718	4613377	342	1	342	342	4940006
1767it	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_pro_syme_symr	not defined	infernal	2.4e-21	4613731	4613461	270	0	0	0	0
