1452bat	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	+	NC_017190.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2219145	2219236	92	1	87	90	3995227
1001bt	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	-	NC_017190.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	2219198	2219100	99	1	33	59	3995227
133bt	Bacillus_amyloliquefaciens_TA208_complete_genome	genome	+	NC_017188.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	1238693	1238869	177	1	177	177	3937511
1094bt	Bacillus_amyloliquefaciens_TA208_complete_genome	genome	+	NC_017188.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	1238693	1238803	111	1	35	58	3937511
1841bat	Bacillus_amyloliquefaciens_TA208_complete_genome	genome	-	NC_017188.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	1238752	1238653	100	1	100	100	3937511
132bt	Bacillus_amyloliquefaciens_XH7_complete_genome	genome	+	NC_017191.1	t_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	1240270	1240446	177	1	177	177	3939203
1095bt	Bacillus_amyloliquefaciens_XH7_complete_genome	genome	+	NC_017191.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	1240270	1240380	111	1	35	58	3939203
1840bat	Bacillus_amyloliquefaciens_XH7_complete_genome	genome	-	NC_017191.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	1240329	1240230	100	1	100	100	3939203
1016bt	Bacillus_amyloliquefaciens_Y2_complete_genome	genome	+	NC_017912.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	1916284	1916382	99	1	33	59	4238624
1877bat	Bacillus_amyloliquefaciens_Y2_complete_genome	genome	-	NC_017912.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	1916337	1916246	92	1	73	75	4238624
1011bt	Bacillus_amyloliquefaciens_strain_FS1092_chromosome_complete_genome	genome	+	NZ_CP038028.1	t_pro_yont_sr6	NaN - rows are merged	tblastn	NaN - rows are merged	3832453	3832551	99	1	33	59	4240930
1882bat	Bacillus_amyloliquefaciens_strain_FS1092_chromosome_complete_genome	genome	-	NZ_CP038028.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	3832506	3832415	92	1	73	75	4240930
100bat	Bacillus_amyloliquefaciens_strain_YP6_chromosome_complete_genome	genome	+	NZ_CP032146.1	at_nt_yont_sr6	NaN - rows are merged	blastn	NaN - rows are merged	2199289	2199380	92	6	93	101	4009619
