273744bt	Klebsiella_variicola_At_22_complete_genome	genome	+	NC_013850.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	189710	189862	153	2	47	47	5458505
4907it	Klebsiella_variicola_At_22_complete_genome	genome	+	NC_013850.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.4e-19	189712	189857	145	0	0	0	0
4460iat	Klebsiella_variicola_At_22_complete_genome	genome	+	NC_013850.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1e-08	189728	189934	206	0	0	0	0
273334bt	Klebsiella_variicola_strain_03_311_0071_genome_assembly_chromosome_1	genome	+	NZ_LR130544.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	193413	193565	153	2	47	47	5425242
4923it	Klebsiella_variicola_strain_03_311_0071_genome_assembly_chromosome_1	genome	+	NZ_LR130544.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.6e-19	193415	193560	145	0	0	0	0
4782iat	Klebsiella_variicola_strain_03_311_0071_genome_assembly_chromosome_1	genome	+	NZ_LR130544.1	at_nt_hok_sok_tadb_r2	not defined	infernal	3e-08	193431	193637	206	0	0	0	0
273745bt	Klebsiella_variicola_strain_04153260899A_genome_assembly_chromosome_1	genome	+	NZ_LR130543.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	186759	186911	153	2	47	47	5368944
4908it	Klebsiella_variicola_strain_04153260899A_genome_assembly_chromosome_1	genome	+	NZ_LR130543.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.4e-19	186761	186906	145	0	0	0	0
4461iat	Klebsiella_variicola_strain_04153260899A_genome_assembly_chromosome_1	genome	+	NZ_LR130543.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1e-08	186777	186983	206	0	0	0	0
273742bt	Klebsiella_variicola_strain_13450_chromosome_complete_genome	genome	+	NZ_CP030173.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	225284	225436	153	2	47	47	5511705
4909it	Klebsiella_variicola_strain_13450_chromosome_complete_genome	genome	+	NZ_CP030173.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.4e-19	225286	225431	145	0	0	0	0
4462iat	Klebsiella_variicola_strain_13450_chromosome_complete_genome	genome	+	NZ_CP030173.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1e-08	225302	225508	206	0	0	0	0
273740bt	Klebsiella_variicola_strain_15WZ_82_chromosome_complete_genome	genome	+	NZ_CP032354.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	630155	630307	153	2	47	47	5549034
4910it	Klebsiella_variicola_strain_15WZ_82_chromosome_complete_genome	genome	+	NZ_CP032354.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.4e-19	630157	630302	145	0	0	0	0
4463iat	Klebsiella_variicola_strain_15WZ_82_chromosome_complete_genome	genome	+	NZ_CP032354.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1e-08	630173	630379	206	0	0	0	0
166773bt	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_Vir_complete_sequence	genome	+	NZ_CP032356.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	39846	40001	156	1	52	52	282290
3800it	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_Vir_complete_sequence	genome	+	NZ_CP032356.1	t_pro_hok_sok_tadb_r2	not defined	infernal	6.7e-21	39850	39998	148	0	0	0	0
1664iat	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_Vir_complete_sequence	genome	+	NZ_CP032356.1	at_nt_hok_sok_tadb_r2	not defined	infernal	6.2e-57	39865	40084	219	0	0	0	0
33142bat	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_Vir_complete_sequence	genome	+	NZ_CP032356.1	at_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	39866	40081	216	2	219	219	282290
1333iat	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_res_complete_sequence	genome	-	NZ_CP032357.1	at_nt_hok_sok_tadb_r2	not defined	infernal	2.7e-66	158010	157788	222	0	0	0	0
3421it	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_res_complete_sequence	genome	-	NZ_CP032357.1	t_pro_hok_sok_tadb_r2	not defined	infernal	7.3e-22	158024	157878	146	0	0	0	0
170286bt	Klebsiella_variicola_strain_15WZ_82_plasmid_p15WZ_82_res_complete_sequence	genome	-	NZ_CP032357.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	158029	157877	153	1	51	51	185478
4955it	Klebsiella_variicola_strain_342_complete_genome	genome	+	NC_011283.1	t_pro_hok_sok_tadb_r2	not defined	infernal	2.1e-19	192977	193122	145	0	0	0	0
208986bt	Klebsiella_variicola_strain_342_complete_genome	genome	+	NC_011283.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	192978	193127	150	1	44	48	5641239
4557iat	Klebsiella_variicola_strain_342_complete_genome	genome	+	NC_011283.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.9e-08	192993	193199	206	0	0	0	0
209911bt	Klebsiella_variicola_strain_342_plasmid_pKP187_complete_sequence	genome	+	NC_011282.1	t_pro_hok_sok_tadb_r2	1496bt_bac:Hok_Gef_family_protein_[Klebsiella_variicola]_tasys:t_pro_hok_sok_tadb_r2_genome:WP_01254	tblastn	1.80e-26	43476	43631	52	1	52	52	187922
9889it	Klebsiella_variicola_strain_342_plasmid_pKP187_complete_sequence	genome	+	NC_011282.1	t_pro_hok_sok_tadb_r2	not defined	infernal	8.5e-10	43480	43606	126	0	0	0	0
2018iat	Klebsiella_variicola_strain_342_plasmid_pKP187_complete_sequence	genome	+	NC_011282.1	at_nt_hok_sok_tadb_r2	not defined	infernal	2e-15	43495	43629	134	0	0	0	0
273471bt	Klebsiella_variicola_strain_AJ055_genome_assembly_chromosome_1	genome	+	NZ_LR130539.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	220090	220242	153	2	47	47	5503304
4924it	Klebsiella_variicola_strain_AJ055_genome_assembly_chromosome_1	genome	+	NZ_LR130539.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.6e-19	220092	220237	145	0	0	0	0
4783iat	Klebsiella_variicola_strain_AJ055_genome_assembly_chromosome_1	genome	+	NZ_LR130539.1	at_nt_hok_sok_tadb_r2	not defined	infernal	3e-08	220108	220314	206	0	0	0	0
1352iat	Klebsiella_variicola_strain_AJ055_genome_assembly_plasmid_2	genome	-	NZ_LR130540.1	at_nt_hok_sok_tadb_r2	not defined	infernal	6.3e-66	145981	145759	222	0	0	0	0
3630it	Klebsiella_variicola_strain_AJ055_genome_assembly_plasmid_2	genome	-	NZ_LR130540.1	t_pro_hok_sok_tadb_r2	not defined	infernal	9.1e-22	145995	145849	146	0	0	0	0
170308bt	Klebsiella_variicola_strain_AJ055_genome_assembly_plasmid_2	genome	-	NZ_LR130540.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	146000	145848	153	1	51	51	165705
273332bt	Klebsiella_variicola_strain_AJ292_genome_assembly_chromosome_1	genome	+	NZ_LR130538.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	185554	185706	153	2	47	47	5445132
4925it	Klebsiella_variicola_strain_AJ292_genome_assembly_chromosome_1	genome	+	NZ_LR130538.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.6e-19	185556	185701	145	0	0	0	0
4784iat	Klebsiella_variicola_strain_AJ292_genome_assembly_chromosome_1	genome	+	NZ_LR130538.1	at_nt_hok_sok_tadb_r2	not defined	infernal	3e-08	185572	185778	206	0	0	0	0
273741bt	Klebsiella_variicola_strain_DSM_15968_complete_genome	genome	+	NZ_CP010523.2	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	201547	201699	153	2	47	47	5521203
4948it	Klebsiella_variicola_strain_DSM_15968_complete_genome	genome	+	NZ_CP010523.2	t_pro_hok_sok_tadb_r2	not defined	infernal	1.9e-19	201549	201694	145	0	0	0	0
4913iat	Klebsiella_variicola_strain_DSM_15968_complete_genome	genome	+	NZ_CP010523.2	at_nt_hok_sok_tadb_r2	not defined	infernal	4.8e-08	201565	201771	206	0	0	0	0
273743bt	Klebsiella_variicola_strain_DX120E_complete_genome	genome	+	NZ_CP009274.2	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	197711	197863	153	2	47	47	5501013
4911it	Klebsiella_variicola_strain_DX120E_complete_genome	genome	+	NZ_CP009274.2	t_pro_hok_sok_tadb_r2	not defined	infernal	1.4e-19	197713	197858	145	0	0	0	0
4464iat	Klebsiella_variicola_strain_DX120E_complete_genome	genome	+	NZ_CP009274.2	at_nt_hok_sok_tadb_r2	not defined	infernal	1e-08	197729	197935	206	0	0	0	0
159744bt	Klebsiella_variicola_strain_DX120E_plasmid_pKV1_complete_sequence	genome	+	NZ_CP009275.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	80092	80247	156	1	52	52	162706
3245it	Klebsiella_variicola_strain_DX120E_plasmid_pKV1_complete_sequence	genome	+	NZ_CP009275.1	t_pro_hok_sok_tadb_r2	not defined	infernal	3.1e-22	80096	80244	148	0	0	0	0
1607iat	Klebsiella_variicola_strain_DX120E_plasmid_pKV1_complete_sequence	genome	+	NZ_CP009275.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.7e-62	80111	80329	218	0	0	0	0
33156bat	Klebsiella_variicola_strain_DX120E_plasmid_pKV1_complete_sequence	genome	+	NZ_CP009275.1	at_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	80113	80326	214	3	219	219	162706
273333bt	Klebsiella_variicola_strain_E57_7_chromosome_complete_genome	genome	+	NZ_CP016344.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	192040	192192	153	2	47	47	5439582
4926it	Klebsiella_variicola_strain_E57_7_chromosome_complete_genome	genome	+	NZ_CP016344.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.6e-19	192042	192187	145	0	0	0	0
4785iat	Klebsiella_variicola_strain_E57_7_chromosome_complete_genome	genome	+	NZ_CP016344.1	at_nt_hok_sok_tadb_r2	not defined	infernal	3e-08	192058	192264	206	0	0	0	0
4786iat	Klebsiella_variicola_strain_GJ1_chromosome_complete_genome	genome	-	NZ_CP017284.1	at_nt_hok_sok_tadb_r2	not defined	infernal	3e-08	5347199	5346993	206	0	0	0	0
4927it	Klebsiella_variicola_strain_GJ1_chromosome_complete_genome	genome	-	NZ_CP017284.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.6e-19	5347215	5347070	145	0	0	0	0
213467bt	Klebsiella_variicola_strain_GJ1_chromosome_complete_genome	genome	-	NZ_CP017284.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	5347217	5347065	153	1	50	50	5600718
170348bt	Klebsiella_variicola_strain_GJ1_plasmid_pKPGJ_1b_complete_sequence	genome	+	NZ_CP017281.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	32704	32856	153	1	51	51	92219
3678it	Klebsiella_variicola_strain_GJ1_plasmid_pKPGJ_1b_complete_sequence	genome	+	NZ_CP017281.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.7e-21	32709	32855	146	0	0	0	0
