12bt	Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence	genome	+	NZ_CP022486.1	t_nt_fst_rna1	TADB|T6359	blastn	7.30e-42	11460	11561	102	1	102	102	31392
38bt	Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence	genome	+	NZ_CP022486.1	t_pro_fst_rna1	TADB|T6359	tblastn	1.49e-10	11460	11558	33	1	33	33	31392
25bat	Enterococcus_faecalis_ARO1_DG_plasmid_pARO1_3_complete_sequence	genome	-	NZ_CP022486.1	at_nt_fst_rna1	TADB|AT6359	blastn	1.25e-34	11692	11601	92	12	103	103	31392
24bat	Enterococcus_faecalis_ATCC_29212_plasmid_2_complete_sequence	genome	+	NZ_CP008814.1	at_nt_fst_rna1	TADB|AT6359	blastn	1.25e-34	10410	10501	92	12	103	103	41610
11bt	Enterococcus_faecalis_ATCC_29212_plasmid_2_complete_sequence	genome	-	NZ_CP008814.1	t_nt_fst_rna1	TADB|T6359	blastn	7.30e-42	10642	10541	102	1	102	102	41610
37bt	Enterococcus_faecalis_ATCC_29212_plasmid_2_complete_sequence	genome	-	NZ_CP008814.1	t_pro_fst_rna1	TADB|T6359	tblastn	1.49e-10	10642	10544	33	1	33	33	41610
27bat	Enterococcus_faecalis_D32_complete_genome	genome	+	NC_018221.1	at_nt_fst_rna1	TADB|AT6359	blastn	1.26e-29	1945684	1945775	92	12	103	103	2987450
10bt	Enterococcus_faecalis_D32_complete_genome	genome	-	NC_018221.1	t_nt_fst_rna1	TADB|T6359	blastn	7.30e-42	1945916	1945815	102	1	102	102	2987450
39bt	Enterococcus_faecalis_D32_complete_genome	genome	-	NC_018221.1	t_pro_fst_rna1	TADB|T6359	tblastn	1.69e-10	1945916	1945818	33	1	33	33	2987450
1bt	Enterococcus_faecalis_V583_plasmid_pTEF1_complete_sequence	genome	+	NC_004669.1	t_nt_fst_rna1	TADB|T6359	blastn	3.37e-45	63274	63375	102	1	102	102	66320
30bt	Enterococcus_faecalis_V583_plasmid_pTEF1_complete_sequence	genome	+	NC_004669.1	t_pro_fst_rna1	TADB|T6359	tblastn	6.48e-11	63274	63372	33	1	33	33	66320
16bat	Enterococcus_faecalis_V583_plasmid_pTEF1_complete_sequence	genome	-	NC_004669.1	at_nt_fst_rna1	TADB|AT6359	blastn	9.51e-46	63517	63415	103	1	103	103	66320
7bt	Enterococcus_faecalis_plasmid_pKUB3006_1_KUB3006_DNA_complete_genome	genome	+	NZ_AP018539.1	t_nt_fst_rna1	TADB|T6359	blastn	7.30e-42	3288	3389	102	1	102	102	106370
34bt	Enterococcus_faecalis_plasmid_pKUB3006_1_KUB3006_DNA_complete_genome	genome	+	NZ_AP018539.1	t_pro_fst_rna1	TADB|T6359	tblastn	1.49e-10	3288	3386	33	1	33	33	106370
21bat	Enterococcus_faecalis_plasmid_pKUB3006_1_KUB3006_DNA_complete_genome	genome	-	NZ_AP018539.1	at_nt_fst_rna1	TADB|AT6359	blastn	1.25e-34	3520	3429	92	12	103	103	106370
6bt	Enterococcus_faecalis_plasmid_pKUB3007_1_KUB3007_DNA_complete_genome	genome	+	NZ_AP018544.1	t_nt_fst_rna1	TADB|T6359	blastn	7.30e-42	3288	3389	102	1	102	102	106370
33bt	Enterococcus_faecalis_plasmid_pKUB3007_1_KUB3007_DNA_complete_genome	genome	+	NZ_AP018544.1	t_pro_fst_rna1	TADB|T6359	tblastn	1.49e-10	3288	3386	33	1	33	33	106370
20bat	Enterococcus_faecalis_plasmid_pKUB3007_1_KUB3007_DNA_complete_genome	genome	-	NZ_AP018544.1	at_nt_fst_rna1	TADB|AT6359	blastn	1.25e-34	3520	3429	92	12	103	103	106370
18bat	Enterococcus_faecalis_strain_CLB21560_plasmid_pA_complete_sequence	genome	+	NZ_CP019513.1	at_nt_fst_rna1	TADB|AT6359	blastn	9.51e-46	25247	25349	103	1	103	103	66602
3bt	Enterococcus_faecalis_strain_CLB21560_plasmid_pA_complete_sequence	genome	-	NZ_CP019513.1	t_nt_fst_rna1	TADB|T6359	blastn	3.37e-45	25490	25389	102	1	102	102	66602
29bt	Enterococcus_faecalis_strain_CLB21560_plasmid_pA_complete_sequence	genome	-	NZ_CP019513.1	t_pro_fst_rna1	TADB|T6359	tblastn	6.48e-11	25490	25392	33	1	33	33	66602
