1080iat	Klebsiella_oxytoca_DNA_complete_genome_strain_JKo3	genome	+	NZ_AP014951.1	at_nt_syme_symr	not defined	infernal	2.9e-14	629955	630031	76	0	0	0	0
12153bat	Klebsiella_oxytoca_DNA_complete_genome_strain_JKo3	genome	+	NZ_AP014951.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	629955	630031	77	1	77	77	5944658
375186bt	Klebsiella_oxytoca_DNA_complete_genome_strain_JKo3	genome	-	NZ_AP014951.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	629960	629643	318	1	106	107	5944658
1129it	Klebsiella_oxytoca_DNA_complete_genome_strain_JKo3	genome	-	NZ_AP014951.1	t_nt_syme_symr	not defined	infernal	7.5e-65	629960	629647	313	0	0	0	0
3524it	Klebsiella_oxytoca_DNA_complete_genome_strain_JKo3	genome	-	NZ_AP014951.1	t_pro_syme_symr	not defined	infernal	1.5e-13	629975	629696	279	0	0	0	0
657iat	Klebsiella_oxytoca_KONIH1_complete_genome	genome	+	NZ_CP008788.1	at_nt_syme_symr	not defined	infernal	5.1e-17	687575	687651	76	0	0	0	0
10294bat	Klebsiella_oxytoca_KONIH1_complete_genome	genome	+	NZ_CP008788.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	687575	687651	77	1	77	77	6152190
1091it	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_nt_syme_symr	not defined	infernal	3.4e-72	687580	687267	313	0	0	0	0
3274it	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_pro_syme_symr	not defined	infernal	1.3e-14	687600	687317	283	0	0	0	0
394894bt	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	687649	687263	387	1	106	106	6152190
1152iat	Klebsiella_oxytoca_KONIH1_complete_genome	genome	+	NZ_CP008788.1	at_nt_syme_symr	not defined	infernal	1.7e-13	742929	743005	76	0	0	0	0
12258bat	Klebsiella_oxytoca_KONIH1_complete_genome	genome	+	NZ_CP008788.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	742929	742992	64	1	64	64	6152190
912it	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_nt_syme_symr	not defined	infernal	1.5e-102	742934	742621	313	0	0	0	0
1009361bt	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	742934	742621	314	1	314	314	6152190
2992it	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_pro_syme_symr	not defined	infernal	7.2e-17	742945	742676	269	0	0	0	0
551593bt	Klebsiella_oxytoca_KONIH1_complete_genome	genome	-	NZ_CP008788.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	743003	742566	438	4	126	141	6152190
3258it	Klebsiella_oxytoca_strain_AR380_chromosome_complete_genome	genome	+	NZ_CP029128.1	t_pro_syme_symr	not defined	infernal	8.4e-15	2401160	2401461	301	0	0	0	0
