1bat	Escherichia_coli_UMNF18_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_AGTD01000001.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	4397533	4397394	140	1	140	140	5239207
2bat	Escherichia_coli_UMN026_complete_genome	chromosome	-	NC_011751.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	4336477	4336338	140	1	140	140	5202090
3bat	Escherichia_coli_TW10598_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM007915.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	4103239	4103100	140	1	140	140	4870513
4bat	Escherichia_coli_str_K_12_substr_W3110_substrain_ZK126_genome	chromosome	+	NZ_CP017979.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	3678102	3678241	140	1	140	140	4541211
5bat	Escherichia_coli_str_K_12_substr_MG1655_strain_K_12_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_AKVX01000001.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	3850686	3850547	140	1	140	140	4638970
6bat	Escherichia_coli_str_K_12_substr_MG1655star_strain_K_12_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000960.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	3851258	3851119	140	1	140	140	4639637
7bat	Escherichia_coli_strain_RTdelA_B_UU3_chromosome	chromosome	-	NZ_CP023749.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	3855629	3855490	140	1	140	140	4644006
8bat	Escherichia_coli_strain_RS76_genome	chromosome	+	NZ_CP013048.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	372510	372649	140	1	140	140	4689408
9bat	Escherichia_coli_strain_L53_chromosome_complete_genome	chromosome	+	NZ_CP034734.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	28030	28169	140	1	140	140	4547041
10bat	Escherichia_coli_strain_L41_1_chromosome_complete_genome	chromosome	+	NZ_CP034727.1	at_nt_tisb_istr_smax	TADB|AT6350	blastn	5.80e-67	28029	28168	140	1	140	140	4549802
