1781iat	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	+	NZ_CP034225.1	at_nt_hok_sok_tadb_r2	not defined	infernal	8.4e-45	308244	308468	224	0	0	0	0
4740it	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	+	NZ_CP034225.1	t_pro_hok_sok_tadb_r2	not defined	infernal	5.2e-20	308241	308379	138	0	0	0	0
1204it	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	-	NZ_CP034225.1	t_nt_hok_sok_tadb_r2	not defined	infernal	3e-17	308201	308056	145	0	0	0	0
184153bt	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	+	NZ_CP034225.1	t_pro_hok_sok_tadb_r2	756bt_bac:Kosakonia_cowanii_strain_Esp_Z_genome_tasys:t_pro_hok_sok_tadb_r2_genome:NZ_CP022690.1_gen	tblastn	2.61e-25	308228	308380	51	1	51	51	4789478
688235bt	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	-	NZ_CP034225.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4147790	4147416	375	1	110	110	4789478
3135it	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	-	NZ_CP034225.1	t_pro_syme_symr	not defined	infernal	8.8e-16	4147776	4147526	250	0	0	0	0
880it	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	-	NZ_CP034225.1	t_nt_syme_symr	not defined	infernal	1.2e-108	4147754	4147432	322	0	0	0	0
13039bat	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	+	NZ_CP034225.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4147749	4147825	77	1	77	77	4789478
203iat	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	+	NZ_CP034225.1	at_nt_syme_symr	not defined	infernal	9.3e-19	4147749	4147825	76	0	0	0	0
1000276bt	Kosakonia_sp_CCTCC_M2018092_chromosome_complete_genome	genome	-	NZ_CP034225.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4147754	4147417	338	1	338	338	4789478
