67937bt	Buttiauxella_sp_3AFRM03_plasmid_pBTX_57_complete_sequence	genome	+	NZ_CP033075.1	t_pro_dinq_agrb_evalue_maxS	62984bt_bac:hypothetical_protein_[Erwinia_tasmaniensis]_tasys:t_pro_dinq_agrb_evalue_maxS_genome:WP_	tblastn	2.19e-04	6515	6595	27	11	37	37	57691
67938bt	Buttiauxella_sp_3AFRM03_plasmid_pBTX_57_complete_sequence	genome	+	NZ_CP033075.1	t_pro_dinq_agrb_evalue_maxS	62984bt_bac:hypothetical_protein_[Erwinia_tasmaniensis]_tasys:t_pro_dinq_agrb_evalue_maxS_genome:WP_	tblastn	2.19e-04	51781	51861	27	11	37	37	57691
14707bt	Citrobacter_braakii_strain_FDAARGOS_290_chromosome_complete_genome	genome	-	NZ_CP022049.2	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2477780	2477667	114	21	113	126	4834774
14706bt	Citrobacter_freundii_complex_sp_CFNIH4_chromosome_complete_genome	genome	-	NZ_CP026231.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4128013	4127900	114	21	113	126	5079781
15275bt	Citrobacter_freundii_complex_strain_ABFQG_complete_genome	genome	-	NZ_CP036435.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	471365	471252	114	21	113	126	4883650
17519bt	Citrobacter_freundii_isolate_Citrobacter_freundii_str_U2785_genome_assembly_chromosome_1	genome	+	NZ_LS992183.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	283543	283656	114	1	108	115	5009078
14717bt	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	+	NZ_CP022273.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3416832	3416924	93	21	71	126	5215381
14716bt	Citrobacter_freundii_strain_705SK3_chromosome_complete_genome	genome	+	NZ_CP022151.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	241141	241233	93	21	71	126	5242839
14148bt	Citrobacter_freundii_strain_AR_0116_chromosome_complete_genome	genome	-	NZ_CP032184.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4616355	4616263	93	30	112	125	5121015
15278bt	Citrobacter_freundii_strain_CAV1321_complete_genome	genome	-	NZ_CP011612.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2930931	2930818	114	21	113	126	4976908
17517bt	Citrobacter_freundii_strain_CAV1741_complete_genome	genome	+	NZ_CP011657.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3126624	3126737	114	1	108	115	5029496
17516bt	Citrobacter_freundii_strain_CAV1857_chromosome_complete_genome	genome	+	NZ_CP037734.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	219669	219782	114	1	108	115	4947788
14705bt	Citrobacter_freundii_strain_FDAARGOS_549_chromosome_complete_genome	genome	-	NZ_CP033744.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2419500	2419387	114	21	113	126	4974986
14147bt	Citrobacter_freundii_strain_FDAARGOS_550_chromosome_complete_genome	genome	-	NZ_CP033742.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2276275	2276183	93	30	112	125	4969137
14704bt	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	-	NZ_CP024672.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3950531	3950418	114	21	113	126	4899014
17493bt	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	+	NZ_LR134118.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	226365	226478	114	1	108	115	4960737
17492bt	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	+	NZ_CP035276.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	263749	263862	114	1	108	115	5124258
14713bt	Citrobacter_freundii_strain_SL151_chromosome_complete_genome	genome	+	NZ_CP016952.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	1276365	1276457	93	21	71	126	5096586
14701bt	Citrobacter_freundii_strain_UMH14_chromosome_complete_genome	genome	-	NZ_CP024680.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3839096	3838983	114	21	113	126	4859315
14145bt	Citrobacter_freundii_strain_UMH15_chromosome_complete_genome	genome	-	NZ_CP024679.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	4139298	4139206	93	30	112	125	5343952
14700bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3672185	3672072	114	21	113	126	4654874
14699bt	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	-	NZ_CP014030.2	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	32706	32593	114	21	113	126	4727498
17513bt	Citrobacter_youngae_strain_NCTC13709_genome_assembly_chromosome_1	genome	+	NZ_LR134485.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	217545	217658	114	1	108	115	4867355
107bt	Damage_inducible_protein_[Citrobacter_freundii]	genome	+	WP_134216459.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	27	27	5	31	31	27
105bt	Damage_inducible_protein_[Escherichia_albertii]	genome	+	WP_077871133.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	27	27	5	31	31	27
142bt	Damage_inducible_protein_[Escherichia_coli]	genome	+	WP_072148465.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	22	22	6	27	27	22
103bt	Damage_inducible_protein_[Pantoea_stewartii]	genome	+	WP_080577543.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	27	27	5	31	31	27
170bt	Damage_inducible_protein_[Serratia_fonticola]	genome	+	WP_080673312.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	35	35	1	35	35	35
19585bt	Damage_inducible_protein_[Yersinia_pestis]	chromosome	+	WP_082245943.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	blastp	NaN - rows are merged	1	27	27	15	41	41	27
20124bt	Dickeya_sp_NCPPB_3274_DXX3274_contig57_whole_genome_shotgun_sequence	chromosome	+	NZ_AOOH01000057.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	12858	12984	127	3	129	129	92563
4785bt	Dickeya_sp_NCPPB_3274_DXX3274_contig57_whole_genome_shotgun_sequence	chromosome	+	NZ_AOOH01000057.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	12859	12981	123	1	18	41	92563
67941bt	Enterobacter_cloacae_ECNIH3_plasmid_pENT_d4a_complete_sequence	genome	+	NZ_CP008900.1	t_pro_dinq_agrb_evalue_maxS	62984bt_bac:hypothetical_protein_[Erwinia_tasmaniensis]_tasys:t_pro_dinq_agrb_evalue_maxS_genome:WP_	tblastn	0.007	127	216	30	11	37	37	60388
67936bt	Erwinia_tasmaniensis_strain_ET1_99_complete_plasmid_pET49	genome	+	NC_010697.1	t_pro_dinq_agrb_evalue_maxS	62984bt_bac:hypothetical_protein_[Erwinia_tasmaniensis]_tasys:t_pro_dinq_agrb_evalue_maxS_genome:WP_	tblastn	5.41e-16	37550	37660	37	1	37	37	48751
10208bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3585635	3585718	84	1	84	84	4598983
51683bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3585604	3585476	129	1	127	127	4598983
67541bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3585604	3585479	126	1	27	27	4598983
23039bat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3607291	3607322	32	1	30	84	4657167
10146bat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3607490	3607574	85	1	85	85	4657167
51682bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3607260	3607132	129	1	127	127	4657167
66931bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3607260	3607135	126	1	42	42	4657167
21751bat	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	+	NZ_AP014855.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3520316	3520347	32	1	30	84	4560575
10206bat	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	+	NZ_AP014855.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3520515	3520598	84	1	84	84	4560575
51680bt	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	-	NZ_AP014855.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3520285	3520157	129	1	127	127	4560575
67542bt	Escherichia_albertii_DNA_complete_genome_strain_NIAH_Bird_3	genome	-	NZ_AP014855.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3520285	3520160	126	1	27	27	4560575
10092bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2613125	2613253	129	1	129	129	4701875
66059bt	Escherichia_albertii_KF1_complete_genome	genome	+	NZ_CP007025.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	2613125	2613250	126	1	19	42	4701875
22106bat	Escherichia_albertii_KF1_complete_genome	genome	-	NZ_CP007025.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	2612895	2612811	85	15	85	85	4701875
10439bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3139424	3139552	129	1	129	129	4719735
66078bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3139424	3139510	87	1	19	42	4719735
22105bat	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	-	NZ_CP030778.2	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3139194	3139110	85	15	85	85	4719735
10091bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3839087	3839215	129	1	129	129	4709095
66068bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3839087	3839212	126	1	19	42	4709095
1251bat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3839056	3838973	84	1	84	84	4709095
23040bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3602443	3602474	32	1	30	84	4940006
10148bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3602642	3602726	85	1	85	85	4940006
51685bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_nt_dinq_agrb_evalue_maxS	NaN - rows are merged	blastn	NaN - rows are merged	3602412	3602284	129	1	127	127	4940006
66690bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	t_pro_dinq_agrb_evalue_maxS	NaN - rows are merged	tblastn	NaN - rows are merged	3602412	3602287	126	1	42	42	4940006
