1128bat	Escherichia_coli_O6_H16_strain_2011EL_1370_2_chromosome_complete_genome	genome	-	NZ_CP022912.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	1322261	1322186	76	2	77	77	4785142
489bt	Escherichia_coli_O6_H16_strain_2011EL_1370_2_chromosome_complete_genome	genome	+	NZ_CP022912.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	1322337	1322417	81	1	81	81	4785142
1127bat	Escherichia_coli_O6_H16_strain_2014EL_1346_6_chromosome_complete_genome	genome	-	NZ_CP024232.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	3369460	3369385	76	2	77	77	4872840
488bt	Escherichia_coli_O6_H16_strain_2014EL_1346_6_chromosome_complete_genome	genome	+	NZ_CP024232.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	3369536	3369616	81	1	81	81	4872840
486bt	Escherichia_coli_O6_H16_strain_M9682_C1_chromosome_complete_genome	genome	-	NZ_CP024275.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	2850187	2850107	81	1	81	81	4778550
1126bat	Escherichia_coli_O6_H16_strain_M9682_C1_chromosome_complete_genome	genome	+	NZ_CP024275.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	2850263	2850338	76	2	77	77	4778550
508bt	Escherichia_coli_TW10598_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM007915.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.74e-34	2829212	2829132	81	1	81	81	4870513
620bat	Escherichia_coli_TW10598_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM007915.1	at_nt_shob_ohsc	TADB|AT6358	blastn	9.68e-32	2829288	2829363	76	2	77	77	4870513
1125bat	Escherichia_coli_strain_99_3165_chromosome_complete_genome	genome	-	NZ_CP029981.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	1548554	1548479	76	2	77	77	4703465
347bt	Escherichia_coli_strain_99_3165_chromosome_complete_genome	genome	+	NZ_CP029981.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	1548630	1548710	81	1	81	81	4703465
1124bat	Escherichia_coli_strain_F5656C1_chromosome_complete_genome	genome	-	NZ_CP024260.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	4245365	4245290	76	2	77	77	4733683
228bt	Escherichia_coli_strain_F5656C1_chromosome_complete_genome	genome	+	NZ_CP024260.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	4245441	4245521	81	1	81	81	4733683
1123bat	Escherichia_coli_strain_FMU073332_complete_genome	genome	-	NZ_CP017844.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	2515242	2515167	76	2	77	77	4718719
221bt	Escherichia_coli_strain_FMU073332_complete_genome	genome	+	NZ_CP017844.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	2515318	2515398	81	1	81	81	4718719
1122bat	Escherichia_coli_strain_FORC_031_complete_genome	genome	-	NZ_CP013190.1	at_nt_shob_ohsc	TADB|AT6358	blastn	6.26e-31	1248879	1248804	76	2	77	77	4830073
218bt	Escherichia_coli_strain_FORC_031_complete_genome	genome	+	NZ_CP013190.1	t_nt_shob_ohsc	TADB|T6358	blastn	1.13e-33	1248955	1249035	81	1	81	81	4830073
