126bat	Clostridioides_difficile_630_complete_genome	genome	+	NZ_CP010905.2	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2892749	2892874	126	1	126	126	4274782
88bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2892958	2892806	153	1	51	52	4274782
1191bt	Clostridioides_difficile_630_complete_genome	genome	-	NZ_CP010905.2	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2893047	2892739	309	1	302	302	4274782
12bat	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000604.1	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2796628	2796753	126	1	126	126	4123727
2421bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2796837	2796685	153	1	48	48	4123727
6744bt	Clostridioides_difficile_ATCC_43255_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000604.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2796926	2796618	309	1	309	309	4123727
1035bt	Clostridioides_difficile_QCD_23m63_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000660.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1235768	1236078	311	1	302	302	3914166
8926bt	Clostridioides_difficile_QCD_23m63_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000660.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	1235858	1235989	132	1	43	51	3914166
19bat	Clostridioides_difficile_QCD_23m63_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000660.1	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	1236068	1235942	127	1	120	120	3914166
11bat	Clostridioides_difficile_QCD_63q42_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000637.1	at_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2725650	2725775	126	1	126	126	4129288
2426bt	Clostridioides_difficile_QCD_63q42_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000637.1	t_pro_cds_rcd	NaN - rows are merged	tblastn	NaN - rows are merged	2725859	2725707	153	1	48	48	4129288
6740bt	Clostridioides_difficile_QCD_63q42_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000637.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	2725948	2725640	309	1	309	309	4129288
1744bt	Clostridioides_difficile_QCD_76w55_contig00059_2_whole_genome_shotgun_sequence	chromosome	+	NZ_ABHE02000059.1	t_nt_cds_rcd	NaN - rows are merged	blastn	NaN - rows are merged	5239	5376	138	177	306	306	17653
8bat	Clostridioides_difficile_QCD_76w55_contig00059_2_whole_genome_shotgun_sequence	chromosome	-	NZ_ABHE02000059.1	at_nt_cds_rcd	19bat_bac:Clostridioides_difficile_QCD_23m63_chromosome_whole_genome_shotgun_sequence_tasys:at_nt_cd	blastn	4.22e-23	5366	5239	128	1	121	127	17653
