1009707bt	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	+	NZ_CP022273.1	t_nt_syme_symr	unknown	blastn	0	2458360	2458710	350	0	0	0	5215381
12371bat	Citrobacter_freundii_strain_18_1_chromosome_complete_genome	genome	-	NZ_CP022273.1	at_nt_syme_symr	unknown	blastn	0	2458365	2458289	76	0	0	0	5215381
101bat	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	+	NZ_CP024672.1	at_nt_syme_symr	unknown	blastn	0	4833490	4833567	77	0	0	0	4899014
734991bt	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	-	NZ_CP024672.1	t_nt_syme_symr	unknown	blastn	0	4833495	4833145	350	0	0	0	4899014
488227bt	Citrobacter_freundii_strain_HM38_chromosome_complete_genome	genome	-	NZ_CP024672.1	t_pro_syme_symr	unknown	tblastn	0	4834050	4832758	1292	0	0	0	4899014
1020bat	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	+	NZ_LR134118.1	at_nt_syme_symr	unknown	blastn	0	650649	650725	76	0	0	0	4960737
734992bt	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	-	NZ_LR134118.1	t_nt_syme_symr	unknown	blastn	0	650654	650304	350	0	0	0	4960737
488132bt	Citrobacter_freundii_strain_NCTC9750_genome_assembly_chromosome_1	genome	-	NZ_LR134118.1	t_pro_syme_symr	unknown	tblastn	0	651106	649917	1189	0	0	0	4960737
546698bt	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	+	NZ_CP035276.1	t_pro_syme_symr	unknown	tblastn	0	4414661	4415822	1161	0	0	0	5124258
1009633bt	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	+	NZ_CP035276.1	t_nt_syme_symr	unknown	blastn	0	4415085	4415435	350	0	0	0	5124258
12260bat	Citrobacter_freundii_strain_R17_chromosome_complete_genome	genome	-	NZ_CP035276.1	at_nt_syme_symr	unknown	blastn	0	4415090	4415014	76	0	0	0	5124258
14234bat	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	+	NZ_CP024677.1	at_nt_syme_symr	unknown	blastn	0	5128723	5128799	76	0	0	0	5195086
734964bt	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	-	NZ_CP024677.1	t_nt_syme_symr	unknown	blastn	0	5128728	5128378	350	0	0	0	5195086
487780bt	Citrobacter_freundii_strain_UMH16_chromosome_complete_genome	genome	-	NZ_CP024677.1	t_pro_syme_symr	unknown	tblastn	0	5129237	5127991	1246	0	0	0	5195086
805154bt	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	+	NZ_CP033780.1	t_pro_syme_symr	unknown	tblastn	0	570168	571414	1246	0	0	0	4581001
1001324bt	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	+	NZ_CP033780.1	t_nt_syme_symr	unknown	blastn	0	570677	571027	350	0	0	0	4581001
109bat	Citrobacter_koseri_strain_FDAARGOS_530_chromosome_complete_genome	genome	-	NZ_CP033780.1	at_nt_syme_symr	unknown	blastn	0	570682	570606	76	0	0	0	4581001
12320bat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_syme_symr	unknown	blastn	0	4589220	4589296	76	0	0	0	4654874
734994bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_syme_symr	unknown	blastn	0	4589225	4588875	350	0	0	0	4654874
805143bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	unknown	tblastn	0	4589649	4588517	1132	0	0	0	4654874
12668bat	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	+	NZ_CP014030.2	at_nt_syme_symr	unknown	blastn	0	956068	956143	75	0	0	0	4727498
966507bt	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	-	NZ_CP014030.2	t_nt_syme_symr	unknown	blastn	0	956073	955723	350	0	0	0	4727498
524335bt	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	-	NZ_CP014030.2	t_pro_syme_symr	unknown	tblastn	0	956601	955336	1265	0	0	0	4727498
14775bat	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	+	NZ_CP037864.1	at_nt_syme_symr	unknown	blastn	0	679176	679252	76	0	0	0	5211009
966501bt	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	-	NZ_CP037864.1	t_nt_syme_symr	unknown	blastn	0	679181	678831	350	0	0	0	5211009
524333bt	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	-	NZ_CP037864.1	t_pro_syme_symr	unknown	tblastn	0	679700	678444	1256	0	0	0	5211009
523805bt	Citrobacter_werkmanii_strain_BF_6_chromosome_complete_genome	genome	+	NZ_CP019986.1	t_pro_syme_symr	unknown	tblastn	0	3112086	3113407	1321	0	0	0	4929789
1015494bt	Citrobacter_werkmanii_strain_BF_6_chromosome_complete_genome	genome	+	NZ_CP019986.1	t_nt_syme_symr	unknown	blastn	0	3112605	3112955	350	0	0	0	4929789
12258bat	Citrobacter_werkmanii_strain_BF_6_chromosome_complete_genome	genome	-	NZ_CP019986.1	at_nt_syme_symr	unknown	blastn	0	3112610	3112534	76	0	0	0	4929789
490007bt	Citrobacter_werkmanii_strain_FDAARGOS_364_chromosome_complete_genome	genome	+	NZ_CP023504.1	t_pro_syme_symr	unknown	tblastn	0	3775373	3776619	1246	0	0	0	4885099
1009602bt	Citrobacter_werkmanii_strain_FDAARGOS_364_chromosome_complete_genome	genome	+	NZ_CP023504.1	t_nt_syme_symr	unknown	blastn	0	3775882	3776232	350	0	0	0	4885099
12367bat	Citrobacter_werkmanii_strain_FDAARGOS_364_chromosome_complete_genome	genome	-	NZ_CP023504.1	at_nt_syme_symr	unknown	blastn	0	3775887	3775811	76	0	0	0	4885099
372bat	Citrobacter_werkmanii_strain_UMH18_chromosome_complete_genome	genome	+	NZ_CP024675.1	at_nt_syme_symr	unknown	blastn	0	4996312	4996388	76	0	0	0	5062051
966502bt	Citrobacter_werkmanii_strain_UMH18_chromosome_complete_genome	genome	-	NZ_CP024675.1	t_nt_syme_symr	unknown	blastn	0	4996317	4995967	350	0	0	0	5062051
524332bt	Citrobacter_werkmanii_strain_UMH18_chromosome_complete_genome	genome	-	NZ_CP024675.1	t_pro_syme_symr	unknown	tblastn	0	4996741	4995580	1161	0	0	0	5062051
546704bt	Citrobacter_youngae_strain_L6_chromosome_complete_genome	genome	+	NZ_CP021963.1	t_pro_syme_symr	unknown	tblastn	0	4264311	4265469	1158	0	0	0	4945156
1009697bt	Citrobacter_youngae_strain_L6_chromosome_complete_genome	genome	+	NZ_CP021963.1	t_nt_syme_symr	unknown	blastn	0	4264732	4265082	350	0	0	0	4945156
1036bat	Citrobacter_youngae_strain_L6_chromosome_complete_genome	genome	-	NZ_CP021963.1	at_nt_syme_symr	unknown	blastn	0	4264737	4264661	76	0	0	0	4945156
546714bt	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	+	NC_020063.1	t_pro_syme_symr	unknown	tblastn	0	4113583	4114654	1071	0	0	0	4762179
1001273bt	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	+	NC_020063.1	t_nt_syme_symr	unknown	blastn	0	4114007	4114348	341	0	0	0	4762179
10596bat	Enterobacteriaceae_bacterium_strain_FGI_57_complete_genome	genome	-	NC_020063.1	at_nt_syme_symr	unknown	blastn	0	4114012	4113936	76	0	0	0	4762179
10928bat	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	+	NZ_AP014857.1	at_nt_syme_symr	unknown	blastn	0	4598048	4598124	76	0	0	0	4657167
1001371bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_nt_syme_symr	unknown	blastn	0	4598053	4597712	341	0	0	0	4657167
733012bt	Escherichia_albertii_DNA_complete_genome_strain_EC06_170	genome	-	NZ_AP014857.1	t_pro_syme_symr	unknown	tblastn	0	4598556	4597378	1178	0	0	0	4657167
706697bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_pro_syme_symr	unknown	tblastn	0	2929395	2930610	1215	0	0	0	4709095
1001089bt	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	+	NZ_CP034162.1	t_nt_syme_symr	unknown	blastn	0	2929886	2930227	341	0	0	0	4709095
10182bat	Escherichia_albertii_strain_06_3542_chromosome_complete_genome	genome	-	NZ_CP034162.1	at_nt_syme_symr	unknown	blastn	0	2929891	2929815	76	0	0	0	4709095
10263bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	at_nt_syme_symr	unknown	blastn	0	4613713	4613789	76	0	0	0	4940006
