6903it	Klebsiella_sp_FDAARGOS_511_chromosome_complete_genome	genome	+	NZ_CP033824.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	1.1e-17	3154873	3155019	146	0	0	0	0
140587bt	Klebsiella_sp_FDAARGOS_511_chromosome_complete_genome	genome	+	NZ_CP033824.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	3154874	3155023	150	1	47	48	6089457
5910iat	Klebsiella_sp_FDAARGOS_511_chromosome_complete_genome	genome	+	NZ_CP033824.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	3.3e-06	3154889	3155093	204	0	0	0	0
4979iat	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	9.8e-08	4977191	4976974	217	0	0	0	0
100271bt	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	t_pro_hok_sok_tadb_sr2	1528bt_bac:Hok_Gef_family_protein_[Aeromonas_salmonicida]_tasys:t_pro_hok_sok_tadb_sr2_genome:WP_005	tblastn	8.04e-08	4977207	4977067	47	1	47	47	6174401
7936it	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	1.5e-14	4977207	4977061	146	0	0	0	0
5998iat	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	7.2e-06	5921038	5920832	206	0	0	0	0
5023it	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	4.5e-19	5921052	5920912	140	0	0	0	0
123043bt	Klebsiella_sp_LTGPAF_6F_chromosome_complete_genome	genome	-	NZ_CP017450.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	5921054	5920905	150	1	49	50	6174401
32879bat	Klebsiella_sp_LTGPAF_6F_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP017451.1	at_nt_hok_sok_tadb_sr2	NaN - rows are merged	blastn	NaN - rows are merged	118764	118549	216	3	213	213	526446
1703iat	Klebsiella_sp_LTGPAF_6F_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP017451.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	1.2e-56	118765	118546	219	0	0	0	0
3799it	Klebsiella_sp_LTGPAF_6F_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP017451.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	6.7e-21	118780	118632	148	0	0	0	0
119459bt	Klebsiella_sp_LTGPAF_6F_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP017451.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	118784	118629	156	1	39	39	526446
4917iat	Klebsiella_sp_LY_chromosome_complete_genome	genome	-	NZ_CP022444.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	6.1e-08	2270589	2270383	206	0	0	0	0
4768it	Klebsiella_sp_LY_chromosome_complete_genome	genome	-	NZ_CP022444.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	5.7e-20	2270605	2270460	145	0	0	0	0
123522bt	Klebsiella_sp_LY_chromosome_complete_genome	genome	-	NZ_CP022444.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	2270607	2270455	153	1	50	50	5158003
32769bat	Klebsiella_sp_LY_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP022442.1	at_nt_hok_sok_tadb_sr2	NaN - rows are merged	blastn	NaN - rows are merged	61418	61204	215	4	213	213	95324
1583iat	Klebsiella_sp_LY_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP022442.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	4.4e-64	61420	61201	219	0	0	0	0
3622it	Klebsiella_sp_LY_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP022442.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	8.9e-22	61435	61287	148	0	0	0	0
119656bt	Klebsiella_sp_LY_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP022442.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	61439	61284	156	1	39	39	95324
130628bt	Klebsiella_sp_LY_plasmid_unnamed3_complete_sequence	genome	+	NZ_CP022441.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	266809	266961	153	1	51	52	316557
3687it	Klebsiella_sp_LY_plasmid_unnamed3_complete_sequence	genome	+	NZ_CP022441.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	2e-21	266814	266960	146	0	0	0	0
1596iat	Klebsiella_sp_LY_plasmid_unnamed3_complete_sequence	genome	+	NZ_CP022441.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	2.3e-63	266828	267050	222	0	0	0	0
10742bat	Klebsiella_sp_LY_plasmid_unnamed3_complete_sequence	genome	+	NZ_CP022441.1	at_nt_hok_sok_tadb_sr2	NaN - rows are merged	blastn	NaN - rows are merged	266828	267051	224	1	221	228	316557
5017iat	Klebsiella_sp_M5al_chromosome_complete_genome	genome	-	NZ_CP020657.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	2.2e-07	5599481	5599278	203	0	0	0	0
4777it	Klebsiella_sp_M5al_chromosome_complete_genome	genome	-	NZ_CP020657.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	6.1e-20	5599497	5599351	146	0	0	0	0
123066bt	Klebsiella_sp_M5al_chromosome_complete_genome	genome	-	NZ_CP020657.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	5599499	5599347	153	1	50	50	5800138
183806bt	Klebsiella_sp_P1CD1_chromosome_complete_genome	genome	+	NZ_CP033631.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	246318	246470	153	2	47	47	5633647
4906it	Klebsiella_sp_P1CD1_chromosome_complete_genome	genome	+	NZ_CP033631.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	1.4e-19	246320	246465	145	0	0	0	0
4459iat	Klebsiella_sp_P1CD1_chromosome_complete_genome	genome	+	NZ_CP033631.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	1e-08	246336	246542	206	0	0	0	0
183323bt	Klebsiella_sp_PO552_chromosome_complete_genome	genome	+	NZ_CP037441.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	213707	213859	153	2	47	47	5422688
4921it	Klebsiella_sp_PO552_chromosome_complete_genome	genome	+	NZ_CP037441.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	1.5e-19	213709	213854	145	0	0	0	0
4277iat	Klebsiella_sp_PO552_chromosome_complete_genome	genome	+	NZ_CP037441.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	8.3e-10	213725	213931	206	0	0	0	0
4937it	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	1.8e-19	249007	249153	146	0	0	0	0
118984bt	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	t_pro_hok_sok_tadb_sr2	NaN - rows are merged	tblastn	NaN - rows are merged	249008	249157	150	1	47	48	6183608
4378iat	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	3.5e-09	249023	249223	200	0	0	0	0
7874it	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	t_pro_hok_sok_tadb_sr2	not defined	infernal	8.6e-15	1251487	1251634	147	0	0	0	0
100400bt	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	t_pro_hok_sok_tadb_sr2	1528bt_bac:Hok_Gef_family_protein_[Aeromonas_salmonicida]_tasys:t_pro_hok_sok_tadb_sr2_genome:WP_005	tblastn	5.93e-08	1251487	1251627	47	1	47	47	6183608
2853iat	Klebsiella_sp_WCHKl090001_chromosome_complete_genome	genome	+	NZ_CP036175.1	at_nt_hok_sok_tadb_sr2	not defined	infernal	1.7e-12	1251503	1251717	214	0	0	0	0
