11195bat	Pantoea_ananatis_AJ13355_DNA_complete_genome	genome	+	NC_017531.2	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4411830	4411906	77	1	77	77	4555535
651iat	Pantoea_ananatis_AJ13355_DNA_complete_genome	genome	+	NC_017531.2	at_nt_syme_symr	not defined	infernal	4.4e-17	4411830	4411906	76	0	0	0	0
369785bt	Pantoea_ananatis_AJ13355_DNA_complete_genome	genome	-	NC_017531.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4411835	4411521	315	1	105	105	4555535
1198it	Pantoea_ananatis_AJ13355_DNA_complete_genome	genome	-	NC_017531.2	t_nt_syme_symr	not defined	infernal	5.4e-22	4411835	4411513	322	0	0	0	0
4649it	Pantoea_ananatis_AJ13355_DNA_complete_genome	genome	-	NC_017531.2	t_pro_syme_symr	not defined	infernal	1.5e-08	4411857	4411626	231	0	0	0	0
11194bat	Pantoea_ananatis_LMG_20103_complete_genome	genome	+	NC_013956.2	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	614889	614965	77	1	77	77	4703373
652iat	Pantoea_ananatis_LMG_20103_complete_genome	genome	+	NC_013956.2	at_nt_syme_symr	not defined	infernal	4.4e-17	614889	614965	76	0	0	0	0
1208it	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_nt_syme_symr	not defined	infernal	3.3e-18	614894	614572	322	0	0	0	0
369787bt	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	614894	614580	315	1	105	105	4703373
4917it	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_pro_syme_symr	not defined	infernal	6e-07	614916	614674	242	0	0	0	0
1711iat	Pantoea_ananatis_LMG_20103_complete_genome	genome	+	NC_013956.2	at_nt_syme_symr	not defined	infernal	0.0008	1062354	1062427	73	0	0	0	0
1182it	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_nt_syme_symr	not defined	infernal	1.4e-29	1062359	1062037	322	0	0	0	0
3318it	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_pro_syme_symr	not defined	infernal	3.2e-14	1062369	1062103	266	0	0	0	0
699812bt	Pantoea_ananatis_LMG_20103_complete_genome	genome	-	NC_013956.2	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	1062395	1061952	444	1	129	132	4703373
4650it	Pantoea_ananatis_LMG_5342_main_chromosome_complete_genome	genome	+	NC_016816.1	t_pro_syme_symr	not defined	infernal	1.5e-08	3967604	3967835	231	0	0	0	0
1199it	Pantoea_ananatis_LMG_5342_main_chromosome_complete_genome	genome	+	NC_016816.1	t_nt_syme_symr	not defined	infernal	5.4e-22	3967626	3967948	322	0	0	0	0
369786bt	Pantoea_ananatis_LMG_5342_main_chromosome_complete_genome	genome	+	NC_016816.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3967626	3967940	315	1	105	105	4605545
653iat	Pantoea_ananatis_LMG_5342_main_chromosome_complete_genome	genome	-	NC_016816.1	at_nt_syme_symr	not defined	infernal	4.4e-17	3967631	3967555	76	0	0	0	0
11193bat	Pantoea_ananatis_LMG_5342_main_chromosome_complete_genome	genome	-	NC_016816.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3967631	3967555	77	1	77	77	4605545
4966it	Pantoea_ananatis_PA13_complete_genome	genome	+	NC_017554.1	t_pro_syme_symr	not defined	infernal	1e-06	3960719	3960946	227	0	0	0	0
1193it	Pantoea_ananatis_PA13_complete_genome	genome	+	NC_017554.1	t_nt_syme_symr	not defined	infernal	2.2e-24	3960737	3961059	322	0	0	0	0
369780bt	Pantoea_ananatis_PA13_complete_genome	genome	+	NC_017554.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	3960737	3961051	315	1	105	105	4586378
655iat	Pantoea_ananatis_PA13_complete_genome	genome	-	NC_017554.1	at_nt_syme_symr	not defined	infernal	5.1e-17	3960742	3960666	76	0	0	0	0
13647bat	Pantoea_ananatis_PA13_complete_genome	genome	-	NC_017554.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	3960742	3960666	77	1	77	77	4586378
42iat	Pantoea_ananatis_strain_97_1_genome	chromosome	+	NZ_CP020943.1	at_nt_syme_symr	not defined	infernal	7.5e-18	1290986	1291062	76	0	0	0	0
816401bat	Pantoea_ananatis_strain_97_1_genome	chromosome	+	NZ_CP020943.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	1290986	1291062	77	1	77	77	4571392
66it	Pantoea_ananatis_strain_97_1_genome	chromosome	-	NZ_CP020943.1	t_nt_syme_symr	not defined	infernal	3.3e-25	1290991	1290669	322	0	0	0	0
544it	Pantoea_ananatis_strain_97_1_genome	chromosome	-	NZ_CP020943.1	t_pro_syme_symr	not defined	infernal	1.5e-07	1291009	1290782	227	0	0	0	0
1053760bt	Pantoea_ananatis_strain_97_1_genome	chromosome	-	NZ_CP020943.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	1291027	1290632	396	1	137	141	4571392
