1bt	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	+	NZ_LN649259.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2291604	2291717	38	1	38	38	4251652
2bt	Bacillus_sp_BS34A_genome_assembly_chromosome_I	genome	+	NZ_LN680001.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2291606	2291719	38	1	38	38	4233615
3bt	Bacillus_subtilis_KCTC_1028_complete_genome	genome	+	NZ_CP011115.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273600	2273713	38	1	38	38	4215633
4bt	Bacillus_subtilis_subsp_subtilis_str_168_complete_genome	genome	+	NZ_CP010052.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273607	2273720	38	1	38	38	4215619
5bt	Bacillus_subtilis_subsp_subtilis_6051_HGW_complete_genome	genome	+	NC_020507.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273593	2273706	38	1	38	38	4215610
6bt	Bacillus_subtilis_strain_NCIB_3610_chromosome_complete_genome	genome	+	NZ_CP020102.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273626	2273739	38	1	38	38	4215607
7bt	Bacillus_subtilis_strain_PS832_complete_genome	genome	+	NZ_CP010053.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273354	2273467	38	1	38	38	4215367
8bt	Bacillus_subtilis_subsp_subtilis_strain_168G_complete_genome	genome	+	NZ_CP016852.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2272990	2273103	38	1	38	38	4214812
9bt	Bacillus_subtilis_strain_WB800N_chromosome_complete_genome	genome	+	NZ_CP032310.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2273223	2273336	38	1	38	38	4214174
10bt	Bacillus_subtilis_subsp_subtilis_strain_KCTC_3135_complete_genome	genome	-	NZ_CP015375.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2338613	2338500	38	1	38	38	4211343
11bt	Bacillus_subtilis_strain_SZMC_6179J_complete_genome	genome	+	NZ_CP015004.1	t_pro_bsrg_sr4	168bt_bac:Bacillus_amyloliquefaciens_LL3_complete_genome_tasys:t_pro_bsrg_sr4_genome:NC_017190.1_genomeType:genome_blastType:tblastn_position:2273615to2273728_genomeLength:3995227_1	tblastn	1.23e-14	2253209	2253322	38	1	38	38	4195195
