875bt	Escherichia_albertii_strain_05_3106_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP030779.2	t_nt_srnb_srnc	TADB|T6369	blastn	1.17e-66	39377	39228	150	1	150	150	56603
103bt	Escherichia_albertii_strain_05_3106_plasmid_unnamed1_complete_sequence	genome	-	NZ_CP030779.2	t_pro_srnb_srnc	TADB|T6369	tblastn	1.03e-23	39377	39231	49	1	49	49	56603
655bat	Escherichia_albertii_strain_05_3106_plasmid_unnamed1_complete_sequence	genome	+	NZ_CP030779.2	at_nt_srnb_srnc	TADB|AT6369	blastn	7.23e-19	39426	39482	57	6	62	62	56603
185bt	Escherichia_albertii_strain_05_3106_plasmid_unnamed2_complete_sequence	genome	-	NZ_CP030780.2	t_pro_srnb_srnc	TADB|T6369	tblastn	2.55e-23	16621	16475	49	1	49	49	80632
945bt	Escherichia_albertii_strain_05_3106_plasmid_unnamed2_complete_sequence	genome	-	NZ_CP030780.2	t_nt_srnb_srnc	TADB|T6369	blastn	5.46e-60	16621	16472	150	1	150	150	80632
567bat	Escherichia_albertii_strain_05_3106_plasmid_unnamed2_complete_sequence	genome	+	NZ_CP030780.2	at_nt_srnb_srnc	TADB|AT6369	blastn	1.55e-20	16670	16726	57	6	62	62	80632
654bat	Escherichia_albertii_strain_07_3866_plasmid_unnamed_complete_sequence	genome	-	NZ_CP030782.1	at_nt_srnb_srnc	TADB|AT6369	blastn	7.23e-19	8661	8602	61	2	62	62	104269
843bt	Escherichia_albertii_strain_07_3866_plasmid_unnamed_complete_sequence	genome	+	NZ_CP030782.1	t_nt_srnb_srnc	TADB|T6369	blastn	2.50e-68	8706	8855	150	1	150	150	104269
136bt	Escherichia_albertii_strain_07_3866_plasmid_unnamed_complete_sequence	genome	+	NZ_CP030782.1	t_pro_srnb_srnc	TADB|T6369	tblastn	1.19e-23	8706	8852	49	1	49	49	104269
653bat	Escherichia_albertii_strain_2014C_4015_plasmid_p2014C_4015_3_complete_sequence	genome	-	NZ_CP034167.1	at_nt_srnb_srnc	TADB|AT6369	blastn	7.23e-19	63473	63417	57	6	62	62	136645
943bt	Escherichia_albertii_strain_2014C_4015_plasmid_p2014C_4015_3_complete_sequence	genome	+	NZ_CP034167.1	t_nt_srnb_srnc	TADB|T6369	blastn	5.46e-60	63521	63670	150	1	150	150	136645
221bt	Escherichia_albertii_strain_2014C_4015_plasmid_p2014C_4015_3_complete_sequence	genome	+	NZ_CP034167.1	t_pro_srnb_srnc	TADB|T6369	tblastn	7.39e-22	63521	63667	49	1	49	49	136645
842bt	Escherichia_albertii_strain_2014C_4356_plasmid_unnamed4_complete_sequence	genome	-	NZ_CP024286.1	t_nt_srnb_srnc	TADB|T6369	blastn	2.50e-68	42533	42384	150	1	150	150	113727
100bt	Escherichia_albertii_strain_2014C_4356_plasmid_unnamed4_complete_sequence	genome	-	NZ_CP024286.1	t_pro_srnb_srnc	TADB|T6369	tblastn	7.93e-24	42533	42387	49	1	49	49	113727
550bat	Escherichia_albertii_strain_2014C_4356_plasmid_unnamed4_complete_sequence	genome	+	NZ_CP024286.1	at_nt_srnb_srnc	TADB|AT6369	blastn	1.20e-21	42577	42638	62	1	62	62	113727
652bat	Escherichia_albertii_strain_ChinaSP140150_plasmid_pEA_1_complete_sequence	genome	-	NZ_CP025677.1	at_nt_srnb_srnc	TADB|AT6369	blastn	7.23e-19	21688	21629	61	2	62	62	129356
927bt	Escherichia_albertii_strain_ChinaSP140150_plasmid_pEA_1_complete_sequence	genome	+	NZ_CP025677.1	t_nt_srnb_srnc	TADB|T6369	blastn	5.42e-65	21733	21882	150	1	150	150	129356
124bt	Escherichia_albertii_strain_ChinaSP140150_plasmid_pEA_1_complete_sequence	genome	+	NZ_CP025677.1	t_pro_srnb_srnc	TADB|T6369	tblastn	1.19e-23	21733	21879	49	1	49	49	129356
