11it	Bacillus_subtilis_KCTC_1028_complete_genome	genome	+	NZ_CP011115.1	t_pro_bsrg_sr4	not defined	infernal	2e-24	2273600	2273713	113	0	0	0	0
112bt	Bacillus_subtilis_KCTC_1028_complete_genome	genome	+	NZ_CP011115.1	t_pro_bsrg_sr4	NaN - rows are merged	tblastn	NaN - rows are merged	2273600	2273713	114	1	36	36	4215633
6194bt	Bacillus_subtilis_KCTC_1028_complete_genome	genome	+	NZ_CP011115.1	t_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2273600	2273716	117	1	117	117	4215633
11it	Bacillus_subtilis_KCTC_1028_complete_genome	genome	+	NZ_CP011115.1	t_nt_bsrg_sr4	not defined	infernal	4.6e-26	2273600	2273716	116	0	0	0	0
165iat	Bacillus_subtilis_KCTC_1028_complete_genome	genome	-	NZ_CP011115.1	at_nt_bsrg_sr4	not defined	infernal	3.5e-28	2273864	2273711	153	0	0	0	0
1653bat	Bacillus_subtilis_KCTC_1028_complete_genome	genome	-	NZ_CP011115.1	at_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2273890	2273711	180	1	176	176	4215633
12it	Bacillus_subtilis_QB928_complete_genome	genome	+	NC_018520.1	t_pro_bsrg_sr4	not defined	infernal	2e-24	2253087	2253200	113	0	0	0	0
12it	Bacillus_subtilis_QB928_complete_genome	genome	+	NC_018520.1	t_nt_bsrg_sr4	not defined	infernal	4.6e-26	2253087	2253203	116	0	0	0	0
6193bt	Bacillus_subtilis_QB928_complete_genome	genome	+	NC_018520.1	t_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2253087	2253203	117	1	117	117	4146839
124bt	Bacillus_subtilis_QB928_complete_genome	genome	+	NC_018520.1	t_pro_bsrg_sr4	NaN - rows are merged	tblastn	NaN - rows are merged	2253087	2253200	114	1	36	36	4146839
166iat	Bacillus_subtilis_QB928_complete_genome	genome	-	NC_018520.1	at_nt_bsrg_sr4	not defined	infernal	3.5e-28	2253351	2253198	153	0	0	0	0
1652bat	Bacillus_subtilis_QB928_complete_genome	genome	-	NC_018520.1	at_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2253377	2253198	180	1	176	176	4146839
14it	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	+	NZ_LN649259.1	t_nt_bsrg_sr4	not defined	infernal	4.6e-26	2291604	2291720	116	0	0	0	0
14it	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	+	NZ_LN649259.1	t_pro_bsrg_sr4	not defined	infernal	2e-24	2291604	2291717	113	0	0	0	0
6191bt	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	+	NZ_LN649259.1	t_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2291604	2291720	117	1	117	117	4251652
110bt	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	+	NZ_LN649259.1	t_pro_bsrg_sr4	NaN - rows are merged	tblastn	NaN - rows are merged	2291604	2291717	114	1	36	36	4251652
167iat	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	-	NZ_LN649259.1	at_nt_bsrg_sr4	not defined	infernal	3.5e-28	2291868	2291715	153	0	0	0	0
1651bat	Bacillus_subtilis_genome_assembly_BS49Ch_chromosome__I	genome	-	NZ_LN649259.1	at_nt_bsrg_sr4	NaN - rows are merged	blastn	NaN - rows are merged	2291894	2291715	180	1	176	176	4251652
