10892it	Serratia_sp_1D1416_chromosome_complete_genome	genome	-	NZ_CP032738.1	t_pro_hok_sok_ena	not defined	infernal	3.3e-06	5392140	5392025	115	0	0	0	0
538014bt	Serratia_sp_1D1416_chromosome_complete_genome	genome	-	NZ_CP032738.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	5392134	5391991	144	1	46	50	5552047
4963iat	Serratia_sp_1D1416_chromosome_complete_genome	genome	-	NZ_CP032738.1	at_nt_hok_sok_ena	not defined	infernal	5.5e-05	5392268	5392207	61	0	0	0	0
538038bt	Serratia_sp_3ACOL1_chromosome_complete_genome	genome	-	NZ_CP033055.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	2566242	2566102	141	1	46	50	5876609
11194it	Serratia_sp_3ACOL1_chromosome_complete_genome	genome	-	NZ_CP033055.1	t_pro_hok_sok_ena	not defined	infernal	0.003	2566249	2566127	122	0	0	0	0
5650iat	Serratia_sp_3ACOL1_chromosome_complete_genome	genome	-	NZ_CP033055.1	at_nt_hok_sok_ena	not defined	infernal	0.0053	2566380	2566319	61	0	0	0	0
886997bt	Serratia_sp_AS12_complete_genome	genome	-	NC_015566.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3694415	3694260	156	1	51	51	5443009
10081it	Serratia_sp_AS12_complete_genome	genome	-	NC_015566.1	t_pro_hok_sok_ena	not defined	infernal	1.6e-11	3694421	3694265	156	0	0	0	0
5664iat	Serratia_sp_AS12_complete_genome	genome	-	NC_015566.1	at_nt_hok_sok_ena	not defined	infernal	0.0068	3694548	3694487	61	0	0	0	0
5665iat	Serratia_sp_AS13_complete_genome	genome	-	NC_017573.1	at_nt_hok_sok_ena	not defined	infernal	0.0068	3694117	3694056	61	0	0	0	0
10082it	Serratia_sp_AS13_complete_genome	genome	-	NC_017573.1	t_pro_hok_sok_ena	not defined	infernal	1.6e-11	3693990	3693834	156	0	0	0	0
886999bt	Serratia_sp_AS13_complete_genome	genome	-	NC_017573.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	3693984	3693829	156	1	51	51	5442549
886984bt	Serratia_sp_FDAARGOS_506_chromosome_complete_genome	genome	-	NZ_CP033831.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	4768125	4767970	156	1	51	51	4818792
10241it	Serratia_sp_FDAARGOS_506_chromosome_complete_genome	genome	-	NZ_CP033831.1	t_pro_hok_sok_ena	not defined	infernal	1.2e-10	4768131	4767976	155	0	0	0	0
4964iat	Serratia_sp_FDAARGOS_506_chromosome_complete_genome	genome	-	NZ_CP033831.1	at_nt_hok_sok_ena	not defined	infernal	5.5e-05	4768259	4768198	61	0	0	0	0
4965iat	Serratia_sp_FS14_complete_genome	genome	+	NZ_CP005927.1	at_nt_hok_sok_ena	not defined	infernal	5.5e-05	2588129	2588190	61	0	0	0	0
10305it	Serratia_sp_FS14_complete_genome	genome	+	NZ_CP005927.1	t_pro_hok_sok_ena	not defined	infernal	4.9e-10	2588257	2588410	153	0	0	0	0
891302bt	Serratia_sp_FS14_complete_genome	genome	+	NZ_CP005927.1	t_pro_hok_sok_ena	NaN - rows are merged	tblastn	NaN - rows are merged	2588263	2588418	156	1	52	52	5249875
