10438bat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_tisb_istr_smax	unknown	blastn	0	31249	31388	139	0	0	0	4570938
17247bat	Escherichia_coli_IAI39_chromosome_complete_genome	genome	-	NC_011750.1	at_nt_tisb_istr_smax	unknown	blastn	0	4452198	4452059	139	0	0	0	5132068
10603bat	Escherichia_coli_strain_2013C_4991_chromosome_complete_genome	genome	+	NZ_CP027355.1	at_nt_tisb_istr_smax	unknown	blastn	0	3785742	3785881	139	0	0	0	5367251
11090bat	Escherichia_coli_strain_M160133_chromosome_complete_genome	genome	+	NZ_CP022164.1	at_nt_tisb_istr_smax	unknown	blastn	0	30435	30574	139	0	0	0	4957100
10187bat	Escherichia_coli_O157_H16_strain_Santai_complete_genome	genome	-	NZ_CP007592.1	at_nt_tisb_istr_smax	unknown	blastn	0	4416377	4416238	139	0	0	0	5104557
17256bat	Escherichia_coli_strain_S50_complete_genome	genome	-	NZ_CP010238.1	at_nt_tisb_istr_smax	unknown	blastn	0	1909313	1909174	139	0	0	0	4797106
10471bat	Escherichia_coli_O157_H7_strain_TR01_chromosome_complete_genome	genome	-	NZ_CP033605.1	at_nt_tisb_istr_smax	unknown	blastn	0	4744484	4744345	139	0	0	0	5569804
10178bat	Escherichia_coli_strain_14EC033_chromosome_complete_genome	genome	+	NZ_CP024147.1	at_nt_tisb_istr_smax	unknown	blastn	0	26813	26952	139	0	0	0	4639454
10189bat	Shigella_flexneri_strain_FDAARGOS_74_chromosome_complete_genome	genome	+	NZ_CP026098.1	at_nt_tisb_istr_smax	unknown	blastn	0	388719	388858	139	0	0	0	4576448
17254bat	Shigella_boydii_strain_ATCC_49812_chromosome_complete_genome	genome	-	NZ_CP026836.1	at_nt_tisb_istr_smax	unknown	blastn	0	3692600	3692461	139	0	0	0	5106737
10504bat	Escherichia_coli_strain_NCTC11023_genome_assembly_chromosome_1	genome	+	NZ_LS483297.1	at_nt_tisb_istr_smax	unknown	blastn	0	30473	30612	139	0	0	0	4705041
11104bat	Escherichia_coli_strain_2012C_4221_chromosome_complete_genome	genome	+	NZ_CP027437.1	at_nt_tisb_istr_smax	unknown	blastn	0	3092559	3092698	139	0	0	0	5012557
12957bat	Escherichia_coli_O145_H28_str_RM12581_complete_genome	genome	-	NZ_CP007136.1	at_nt_tisb_istr_smax	unknown	blastn	0	4624965	4624826	139	0	0	0	5585611
17430bat	Escherichia_coli_PCN033_complete_genome	genome	-	NZ_CP006632.1	at_nt_tisb_istr_smax	unknown	blastn	0	4088099	4087960	139	0	0	0	4987957
10028bat	Escherichia_coli_strain_2016C_3936C1_chromosome_complete_genome	chromosome	+	NZ_CP018770.2	at_nt_tisb_istr_smax	unknown	blastn	0	4865210	4865349	139	0	0	0	5060620
11096bat	Shigella_sonnei_strain_866_chromosome_complete_genome	genome	+	NZ_CP022672.1	at_nt_tisb_istr_smax	unknown	blastn	0	4651250	4651389	139	0	0	0	4849628
