26726bt	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	-	NZ_CP034166.1	t_nt_dinq_agrb	63bt_bac:Escherichia_coli_strain_2016C_3936C1_chromosome_complete_genome_tasys:t_nt_dinq_agrb_genome	blastn	2.09e-58	2236539	2236411	129	1	129	129	4623903
3920bat	Escherichia_albertii_strain_2014C_4015_chromosome_complete_genome	genome	+	NZ_CP034166.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	2236570	2236654	85	1	84	84	4623903
10552bat	Escherichia_coli_BW25113_complete_genome	genome	+	NZ_CP037857.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3641085	3641168	84	1	84	84	4624857
1359bt	Escherichia_coli_BW25113_complete_genome	genome	-	NZ_CP009273.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	3641193	3641065	129	1	129	129	4631469
110bt	Escherichia_coli_ED1a_chromosome_complete_genome	chromosome	-	NC_011745.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	4079527	4079399	129	1	129	129	5209548
1087bat	Escherichia_coli_ED1a_chromosome_complete_genome	chromosome	+	NC_011745.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	4079558	4079642	85	1	84	84	5209548
1429bat	Escherichia_coli_strain_BR14_DEC_chromosome	chromosome	-	NZ_CP035330.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	789594	789510	85	1	84	84	5110451
166bt	Escherichia_coli_strain_BR14_DEC_chromosome	chromosome	+	NZ_CP035330.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	789625	789753	129	1	129	129	5110451
1428bat	Escherichia_coli_strain_BR43_DEC_chromosome	chromosome	-	NZ_CP035377.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	590240	590156	85	1	84	84	5122458
129bt	Escherichia_coli_strain_BR43_DEC_chromosome	chromosome	+	NZ_CP035377.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	590271	590399	129	1	129	129	5122458
128bt	Escherichia_coli_strain_C4435_chromosome	chromosome	-	NZ_CP027851.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	2540378	2540250	129	1	129	129	5199428
1083bat	Escherichia_coli_strain_C4435_chromosome	chromosome	+	NZ_CP027851.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	2540409	2540493	85	1	84	84	5199428
11332bat	Escherichia_coli_strain_CFSAN018748_chromosome_complete_genome	genome	-	NZ_CP028192.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	719178	719095	84	1	84	84	5071057
26556bt	Escherichia_coli_strain_CFSAN018748_chromosome_complete_genome	genome	+	NZ_CP028192.1	t_nt_dinq_agrb	63bt_bac:Escherichia_coli_strain_2016C_3936C1_chromosome_complete_genome_tasys:t_nt_dinq_agrb_genome	blastn	2.09e-58	719209	719337	129	1	129	129	5071057
13165bat	Escherichia_coli_strain_FORC_082_chromosome_complete_genome	genome	-	NZ_CP026641.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	254716	254633	84	15	85	85	4728307
1212bt	Escherichia_coli_strain_FORC_082_chromosome_complete_genome	genome	+	NZ_CP026641.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	254747	254875	129	1	129	129	4728307
1426bat	Escherichia_coli_strain_Mt1B1_chromosome	chromosome	-	NZ_CP028714.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	1030652	1030568	85	1	84	84	5115630
155bt	Escherichia_coli_strain_Mt1B1_chromosome	chromosome	+	NZ_CP028714.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	1030683	1030811	129	1	129	129	5115630
5460bat	Escherichia_coli_strain_NCTC9085_genome_assembly_chromosome_1	genome	-	NZ_LR134078.1	at_nt_dinq_agrb	641bat_bac:Escherichia_coli_DNA_complete_genome_strain_MRY15_117_tasys:at_nt_dinq_agrb_genome:NZ_AP0	blastn	1.58e-27	255027	254943	85	1	85	85	4969367
1449bt	Escherichia_coli_strain_NCTC9085_genome_assembly_chromosome_1	genome	+	NZ_LR134078.1	t_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	255058	255186	129	1	129	129	4969367
1425bat	Escherichia_coli_strain_NCTC_13441_genome_assembly_chromosome_1	chromosome	-	NZ_LT632320.1	at_nt_dinq_agrb	NaN - rows are merged	blastn	NaN - rows are merged	222729	222645	85	1	84	84	5174631
