32052bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	t_nt_ibs_sib	unknown	blastn	0	3167724	3167783	59	0	0	0	4598983
11313bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	at_nt_ibs_sib	unknown	blastn	0	3167823	3167682	141	0	0	0	4598983
32051bt	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	+	NZ_AP014856.1	t_nt_ibs_sib	unknown	blastn	0	3168099	3168158	59	0	0	0	4598983
16959bat	Escherichia_albertii_DNA_complete_genome_strain_CB9786	genome	-	NZ_AP014856.1	at_nt_ibs_sib	unknown	blastn	0	3168198	3168057	141	0	0	0	4598983
1574bat	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	+	NZ_CP030778.2	at_nt_ibs_sib	unknown	blastn	0	3557959	3558100	141	0	0	0	4719735
91064bt	Escherichia_albertii_strain_05_3106_chromosome_complete_genome	genome	-	NZ_CP030778.2	t_nt_ibs_sib	unknown	blastn	0	3558058	3557999	59	0	0	0	4719735
82070bt	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	+	NZ_CP030781.1	t_nt_ibs_sib	unknown	blastn	0	3169041	3169100	59	0	0	0	4940006
11324bat	Escherichia_albertii_strain_07_3866_chromosome_complete_genome	genome	-	NZ_CP030781.1	at_nt_ibs_sib	unknown	blastn	0	3169140	3168999	141	0	0	0	4940006
17325bat	Escherichia_albertii_strain_NCTC_9362_chromosome_complete_genome	genome	+	NZ_CP034213.1	at_nt_ibs_sib	unknown	blastn	0	3674826	3674967	141	0	0	0	4551125
91569bt	Escherichia_albertii_strain_NCTC_9362_chromosome_complete_genome	genome	-	NZ_CP034213.1	t_nt_ibs_sib	unknown	blastn	0	3674925	3674866	59	0	0	0	4551125
11934bat	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	+	NC_012947.1	at_nt_ibs_sib	unknown	blastn	0	712465	712606	141	0	0	0	4570938
85199bt	Escherichia_coli_'BL21_Gold(DE3)pLysS_AG'_complete_genome	genome	-	NC_012947.1	t_nt_ibs_sib	unknown	blastn	0	712564	712505	59	0	0	0	4570938
33511bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_nt_ibs_sib	unknown	blastn	0	3565835	3565894	59	0	0	0	5241977
11733bat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_ibs_sib	unknown	blastn	0	3565935	3565793	142	0	0	0	5241977
29971bt	Escherichia_coli_042_complete_genome	genome	+	NC_017626.1	t_nt_ibs_sib	unknown	blastn	0	3566212	3566271	59	0	0	0	5241977
12712bat	Escherichia_coli_042_complete_genome	genome	-	NC_017626.1	at_nt_ibs_sib	unknown	blastn	0	3566311	3566170	141	0	0	0	5241977
31096bt	Escherichia_coli_ACN001_complete_genome	genome	+	NZ_CP007442.1	t_nt_ibs_sib	unknown	blastn	0	3316657	3316716	59	0	0	0	4936576
11586bat	Escherichia_coli_ACN001_complete_genome	genome	-	NZ_CP007442.1	at_nt_ibs_sib	unknown	blastn	0	3316756	3316615	141	0	0	0	4936576
33033bt	Escherichia_coli_BW25113_complete_genome	genome	+	NZ_CP009273.1	t_nt_ibs_sib	unknown	blastn	0	3188500	3188559	59	0	0	0	4631469
1012bat	Escherichia_coli_BW25113_complete_genome	genome	-	NZ_CP009273.1	at_nt_ibs_sib	unknown	blastn	0	3188599	3188458	141	0	0	0	4631469
30519bt	Escherichia_coli_PCN033_complete_genome	genome	+	NZ_CP006632.1	t_nt_ibs_sib	unknown	blastn	0	3414591	3414650	59	0	0	0	4987957
11749bat	Escherichia_coli_PCN033_complete_genome	genome	-	NZ_CP006632.1	at_nt_ibs_sib	unknown	blastn	0	3414691	3414549	142	0	0	0	4987957
32546bt	Escherichia_coli_SMS_3_5_complete_genome	genome	+	NC_010498.1	t_nt_ibs_sib	unknown	blastn	0	3420382	3420441	59	0	0	0	5068389
18221bat	Escherichia_coli_SMS_3_5_complete_genome	genome	-	NC_010498.1	at_nt_ibs_sib	unknown	blastn	0	3420481	3420340	141	0	0	0	5068389
82045bt	Escherichia_coli_strain_06_00048_chromosome_complete_genome	genome	+	NZ_CP015229.1	t_nt_ibs_sib	unknown	blastn	0	3938118	3938177	59	0	0	0	5498453
10019bat	Escherichia_coli_strain_06_00048_chromosome_complete_genome	genome	-	NZ_CP015229.1	at_nt_ibs_sib	unknown	blastn	0	3938217	3938076	141	0	0	0	5498453
10549bat	Escherichia_coli_strain_13E0725_chromosome_complete_genome	genome	+	NZ_CP020092.1	at_nt_ibs_sib	unknown	blastn	0	879972	880113	141	0	0	0	5112484
34088bt	Escherichia_coli_strain_13E0725_chromosome_complete_genome	genome	-	NZ_CP020092.1	t_nt_ibs_sib	unknown	blastn	0	880071	880012	59	0	0	0	5112484
