95it	Campylobacter_helveticus_strain_2013D_9613_chromosome_complete_genome	genome	+	NZ_CP037747.1	t_pro_cjpt_cjra	not defined	infernal	1.3e-05	575271	575491	220	0	0	0	0
7iat	Campylobacter_helveticus_strain_2013D_9613_chromosome_complete_genome	genome	-	NZ_CP037747.1	at_nt_cjpt_cjra	not defined	infernal	6.7e-16	575571	575494	77	0	0	0	0
8iat	Campylobacter_helveticus_strain_ATCC_51209_chromosome_complete_genome	genome	+	NZ_CP020478.1	at_nt_cjpt_cjra	not defined	infernal	6.7e-16	700654	700731	77	0	0	0	0
94it	Campylobacter_helveticus_strain_ATCC_51209_chromosome_complete_genome	genome	-	NZ_CP020478.1	t_pro_cjpt_cjra	not defined	infernal	1.2e-05	700955	700734	221	0	0	0	0
2iat	Campylobacter_jejuni_subsp_jejuni_1336_chromosome_whole_genome_shotgun_sequence	chromosome	+	NZ_CM000854.1	at_nt_cjpt_cjra	not defined	infernal	0.0022	849842	849908	66	0	0	0	0
1it	Campylobacter_jejuni_subsp_jejuni_1336_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000854.1	t_nt_cjpt_cjra	not defined	infernal	9.9e-15	850294	849905	389	0	0	0	0
1it	Campylobacter_jejuni_subsp_jejuni_1336_chromosome_whole_genome_shotgun_sequence	chromosome	-	NZ_CM000854.1	t_pro_cjpt_cjra	not defined	infernal	6.4e-68	850300	849907	393	0	0	0	0
3it	Campylobacter_jejuni_subsp_jejuni_81_176_plasmid_pVir_complete_sequence	genome	+	NC_008770.1	t_nt_cjpt_cjra	not defined	infernal	4.9e-114	30634	31038	404	0	0	0	0
79it	Campylobacter_jejuni_subsp_jejuni_81_176_plasmid_pVir_complete_sequence	genome	+	NC_008770.1	t_pro_cjpt_cjra	not defined	infernal	4.9e-55	30644	31031	387	0	0	0	0
3iat	Campylobacter_jejuni_subsp_jejuni_81_176_plasmid_pVir_complete_sequence	genome	-	NC_008770.1	at_nt_cjpt_cjra	not defined	infernal	6.6e-29	31117	31040	77	0	0	0	0
4it	Campylobacter_jejuni_subsp_jejuni_strain_00_0949_plasmid_pVir_complete_sequence	genome	+	NZ_CP010303.1	t_nt_cjpt_cjra	not defined	infernal	4.9e-114	35356	35760	404	0	0	0	0
75it	Campylobacter_jejuni_subsp_jejuni_strain_00_0949_plasmid_pVir_complete_sequence	genome	+	NZ_CP010303.1	t_pro_cjpt_cjra	not defined	infernal	3.8e-55	35366	35753	387	0	0	0	0
