4895it	Citrobacter_sp_86_genome_assembly_chromosome_CITRO86	genome	+	NZ_LT556084.1	t_nt_ibs_sib	not defined	infernal	0.00075	2478094	2478153	59	0	0	0	0
908iat	Citrobacter_sp_86_genome_assembly_chromosome_CITRO86	genome	-	NZ_LT556084.1	at_nt_ibs_sib	not defined	infernal	4.8e-34	2478187	2478053	134	0	0	0	0
15059bat	Citrobacter_sp_86_genome_assembly_chromosome_CITRO86	genome	-	NZ_LT556084.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	2478187	2478053	135	1	123	123	5048670
15566bat	Citrobacter_sp_92_genome_assembly_chromosome_CITRO92	genome	+	NZ_LT556085.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	4412137	4412271	135	1	135	135	5109913
909iat	Citrobacter_sp_92_genome_assembly_chromosome_CITRO92	genome	+	NZ_LT556085.1	at_nt_ibs_sib	not defined	infernal	4.8e-34	4412137	4412271	134	0	0	0	0
4896it	Citrobacter_sp_92_genome_assembly_chromosome_CITRO92	genome	-	NZ_LT556085.1	t_nt_ibs_sib	not defined	infernal	0.00075	4412230	4412171	59	0	0	0	0
910iat	Citrobacter_sp_CFNIH10_chromosome_complete_genome	genome	+	NZ_CP026216.1	at_nt_ibs_sib	not defined	infernal	4.8e-34	4575084	4575218	134	0	0	0	0
15565bat	Citrobacter_sp_CFNIH10_chromosome_complete_genome	genome	+	NZ_CP026216.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	4575084	4575218	135	1	135	135	5246201
4897it	Citrobacter_sp_CFNIH10_chromosome_complete_genome	genome	-	NZ_CP026216.1	t_nt_ibs_sib	not defined	infernal	0.00075	4575177	4575118	59	0	0	0	0
4867it	Citrobacter_sp_CRE_46_strain_AR_0157_chromosome_complete_genome	genome	+	NZ_CP029727.1	t_nt_ibs_sib	not defined	infernal	0.00025	2786822	2786881	59	0	0	0	0
3631iat	Citrobacter_sp_CRE_46_strain_AR_0157_chromosome_complete_genome	genome	-	NZ_CP029727.1	at_nt_ibs_sib	not defined	infernal	1.4e-32	2786915	2786781	134	0	0	0	0
15056bat	Citrobacter_sp_CRE_46_strain_AR_0157_chromosome_complete_genome	genome	-	NZ_CP029727.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	2786915	2786781	135	1	123	123	5262516
4032it	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	+	NZ_CP014030.2	t_nt_ibs_sib	not defined	infernal	5.4e-05	2095319	2095378	59	0	0	0	0
1639iat	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	-	NZ_CP014030.2	at_nt_ibs_sib	not defined	infernal	1.3e-33	2095412	2095278	134	0	0	0	0
15050bat	Citrobacter_sp_FDAARGOS_156_strain_FDAARGOS_155_chromosome_complete_genome	genome	-	NZ_CP014030.2	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	2095412	2095278	135	1	123	123	4727498
5345iat	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	+	NZ_CP037864.1	at_nt_ibs_sib	not defined	infernal	5.9e-30	3299734	3299865	131	0	0	0	0
15582bat	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	+	NZ_CP037864.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	3299737	3299865	129	7	135	135	5211009
5216it	Citrobacter_sp_LY_1_chromosome_complete_genome	genome	-	NZ_CP037864.1	t_nt_ibs_sib	not defined	infernal	0.0041	3299824	3299765	59	0	0	0	0
4650it	Citrobacter_sp_SNU_WT2_chromosome_complete_genome	genome	+	NZ_CP038469.1	t_nt_ibs_sib	not defined	infernal	8.4e-05	390562	390621	59	0	0	0	0
147394bat	Citrobacter_sp_SNU_WT2_chromosome_complete_genome	genome	-	NZ_CP038469.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	390655	390521	135	1	139	139	4840504
1017iat	Citrobacter_sp_SNU_WT2_chromosome_complete_genome	genome	-	NZ_CP038469.1	at_nt_ibs_sib	not defined	infernal	7.6e-34	390655	390521	134	0	0	0	0
