14388bat	Enterococcus_thailandicus_strain_a523_chromosome_complete_genome	genome	-	NZ_CP023074.1	at_nt_sprg_sprf_sr75	14778bat_bac:Staphylococcus_xylosus_genome_assembly_Staphylococcus_xylosus_C2a_chromosome__Chr1_tasy	blastn	3.58e-11	540712	540627	86	45	125	125	2646250
16023bt	Kitasatospora_albolonga_strain_YIM_101047_chromosome_complete_genome	genome	-	NZ_CP020563.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	tblastn	NaN - rows are merged	3033398	3032199	1200	1	400	400	8027788
4164bt	MULTISPECIES_S1_family_peptidase_[Streptomyces]	genome	+	WP_028417511.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	402	402	1	400	400	402
4172bt	MULTISPECIES_S1_family_peptidase_[Streptomyces]	genome	+	WP_030115583.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	410	410	1	400	400	410
4168bt	MULTISPECIES_S1_family_peptidase_[Streptomyces]	genome	+	WP_030803498.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	406	406	1	400	400	406
4163bt	MULTISPECIES_S1_family_peptidase_[Streptomyces]	genome	+	WP_053560854.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	402	402	1	400	400	402
4285bt	MULTISPECIES_putative_holin_like_toxin_[Bacilli]	genome	+	WP_072291914.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	8	46	39	6	44	44	46
4677bt	MULTISPECIES_putative_holin_like_toxin_[Staphylococcus]	chromosome	+	WP_011447039.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	15	58	44	1	44	44	58
4174bt	MULTISPECIES_putative_holin_like_toxin_[Staphylococcus]	genome	+	WP_011447039.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	15	58	44	1	44	44	58
4185bt	MULTISPECIES_putative_holin_like_toxin_[Staphylococcus]	genome	+	WP_072353918.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	15	58	44	1	44	44	58
4183bt	MULTISPECIES_putative_holin_like_toxin_[Staphylococcus]	genome	+	WP_072490424.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	15	58	44	1	44	44	58
4324bt	MULTISPECIES_putative_holin_like_toxin_[Staphylococcus]	genome	+	WP_080286852.1	t_pro_sprg_sprf_sr75	2264bt_bac:Staphylococcus_pasteuri_strain_JS7_plasmid_pSNJS701_complete_sequence_tasys:t_pro_sprg_sp	blastp	1.10e-11	6	43	38	1	38	39	49
4160bt	S1_family_peptidase_[Kitasatospora_albolonga]	genome	+	WP_084746894.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	400	400	1	400	400	400
4676bt	S1_family_peptidase_[Streptomyces_anulatus]	chromosome	+	WP_057663526.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	407	407	1	400	400	407
4166bt	S1_family_peptidase_[Streptomyces_bacillaris]	genome	+	WP_112491249.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	402	402	1	400	400	402
4165bt	S1_family_peptidase_[Streptomyces_cavourensis]	genome	+	WP_114931547.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	402	402	1	400	400	402
4161bt	S1_family_peptidase_[Streptomyces_fulvissimus]	genome	+	WP_015609132.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	401	401	1	400	400	401
4169bt	S1_family_peptidase_[Streptomyces_globisporus]	genome	+	WP_010059647.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	406	406	1	400	400	406
4171bt	S1_family_peptidase_[Streptomyces_griseus]	genome	+	WP_012380508.1	t_pro_sprg_sprf_sr75	NaN - rows are merged	blastp	NaN - rows are merged	1	406	406	1	400	400	406
