4239iat	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	at_nt_hok_sok_tadb_r2	not defined	infernal	4.8e-10	865188	864989	199	0	0	0	0
5108it	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	t_pro_hok_sok_tadb_r2	not defined	infernal	8.3e-19	865206	865058	148	0	0	0	0
215261bt	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	865207	865055	153	1	50	50	5238612
5355iat	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	at_nt_hok_sok_tadb_r2	not defined	infernal	6e-07	4348456	4348256	200	0	0	0	0
213945bt	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	4348476	4348327	150	1	50	50	5238612
5024it	Serratia_liquefaciens_ATCC_27592_complete_genome	genome	-	NC_021741.1	t_pro_hok_sok_tadb_r2	not defined	infernal	4.6e-19	4348478	4348330	148	0	0	0	0
191386bt	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	1679011	1679163	153	1	48	49	5284740
5399it	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	t_pro_hok_sok_tadb_r2	not defined	infernal	1.3e-18	1679012	1679160	148	0	0	0	0
3787iat	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	at_nt_hok_sok_tadb_r2	not defined	infernal	6.7e-11	1679030	1679229	199	0	0	0	0
5025it	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	t_pro_hok_sok_tadb_r2	not defined	infernal	4.6e-19	3527183	3527331	148	0	0	0	0
191385bt	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	3527185	3527334	150	2	49	49	5284740
5356iat	Serratia_liquefaciens_strain_FDAARGOS_125_chromosome_complete_genome	genome	+	NZ_CP014017.2	at_nt_hok_sok_tadb_r2	not defined	infernal	6e-07	3527205	3527405	200	0	0	0	0
5026it	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	t_pro_hok_sok_tadb_r2	not defined	infernal	4.6e-19	609141	609289	148	0	0	0	0
191387bt	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	609143	609292	150	2	49	49	5326657
4988iat	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.5e-07	609163	609358	195	0	0	0	0
191388bt	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	4116454	4116606	153	1	48	49	5326657
5419it	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.7e-18	4116455	4116603	148	0	0	0	0
4563iat	Serratia_liquefaciens_strain_HUMV_21_complete_genome	genome	+	NZ_CP011303.1	at_nt_hok_sok_tadb_r2	not defined	infernal	2.1e-08	4116473	4116672	199	0	0	0	0
