1bt	Bacillus_velezensis_strain_Lzh_a42_chromosome_complete_genome	genome	+	NZ_CP025308.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	4.78e-11	1895815	1895913	33	1	33	33	4246605
2bt	Bacillus_amyloliquefaciens_subsp_plantarum_YAU_B9601_Y2_complete_genome	genome	+	NC_017061.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	4.78e-11	1920158	1920256	33	1	33	33	4242774
3bt	Bacillus_amyloliquefaciens_Y2_complete_genome	genome	+	NC_017912.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	4.78e-11	1916284	1916382	33	1	33	33	4238624
4bt	Bacillus_velezensis_strain_W1_chromosome_complete_genome	genome	+	NZ_CP028375.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	4.78e-11	1913941	1914039	33	1	33	33	4237431
5bt	Bacillus_velezensis_strain_1B_23_chromosome_complete_genome	genome	+	NZ_CP033967.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	9.86e-11	2515307	2515405	33	1	33	33	4141063
6bt	Bacillus_velezensis_strain_CGMCC_11640_chromosome_complete_genome	genome	-	NZ_CP026610.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2370350	2370252	33	1	33	33	4322979
7bt	Bacillus_velezensis_strain_DSYZ_chromosome_complete_genome	genome	-	NZ_CP030150.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2370076	2369978	33	1	33	33	4258978
8bt	Bacillus_amyloliquefaciens_strain_FS1092_chromosome_complete_genome	genome	+	NZ_CP038028.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	3832453	3832551	33	1	33	33	4240930
9bt	Bacillus_velezensis_strain_QST713_chromosome_complete_genome	genome	-	NZ_CP025079.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2270680	2270582	33	1	33	33	4233757
10bt	Bacillus_velezensis_strain_CC09_complete_genome	genome	+	NZ_CP015443.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	3886581	3886679	33	1	33	33	4167153
11bt	Bacillus_velezensis_strain_DKU_NT_04_chromosome_complete_genome	genome	+	NZ_CP026533.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	3744167	3744265	33	1	33	33	4166265
12bt	Bacillus_velezensis_strain_SCDB_291_chromosome_complete_genome	genome	+	NZ_CP022654.2	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	56828	56926	33	1	33	33	4162569
13bt	Bacillus_subtilis_strain_J_5_complete_genome	genome	-	NZ_CP018295.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2280330	2280232	33	1	33	33	4117900
14bt	Bacillus_velezensis_SQR9_complete_genome	genome	-	NZ_CP006890.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2208243	2208145	33	1	33	33	4117023
15bt	Bacillus_velezensis_strain_JJ_D34_chromosome_complete_genome	genome	-	NZ_CP011346.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	2246410	2246312	33	1	33	33	4105955
16bt	Bacillus_velezensis_strain_SCGB_1_chromosome_complete_genome	genome	-	NZ_CP023320.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	51822	51724	33	1	33	33	4085488
17bt	Bacillus_velezensis_strain_GH1_13_chromosome_complete_genome	genome	+	NZ_CP019040.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.41e-10	1865106	1865204	33	1	33	33	4071980
18bt	Bacillus_velezensis_strain_10075_chromosome_complete_genome	genome	-	NZ_CP025939.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.56e-10	1490093	1489995	33	1	33	33	4326822
19bt	Bacillus_velezensis_strain_Bac57_chromosome_complete_genome	genome	+	NZ_CP033054.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.56e-10	2166310	2166408	33	1	33	33	4226250
20bt	Bacillus_amyloliquefaciens_subsp_plantarum_NAU_B3_complete_genome	genome	+	NC_022530.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.56e-10	1705385	1705483	33	1	33	33	4196170
21bt	Bacillus_amyloliquefaciens_strain_YP6_chromosome_complete_genome	genome	-	NZ_CP032146.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.56e-10	2199342	2199244	33	1	33	33	4009619
22bt	Bacillus_amyloliquefaciens_LL3_complete_genome	genome	-	NC_017190.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	1.56e-10	2219198	2219100	33	1	33	33	3995227
23bt	Bacillus_sp_SDLI1_complete_genome	genome	+	NZ_CP013950.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	2.40e-10	4087902	4088000	33	1	33	33	4134042
24bt	Bacillus_amyloliquefaciens_subsp_plantarum_UCMB5033_complete_genome	genome	-	NC_022075.1	t_pro_yont_sr6	1016bt_bac:Bacillus_amyloliquefaciens_Y2_complete_genome_tasys:t_pro_yont_sr6_genome:NC_017912.1_genomeType:genome_blastType:tblastn_position:1916284to1916382_genomeLength:4238624_1	tblastn	6.69e-10	2230997	2230899	33	1	33	33	4071167
