215882bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1258815	1258711	105	1	35	35	4615997
4707it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_nt_ldr_rdl	not defined	infernal	0.00041	1258815	1258708	107	0	0	0	0
1969it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	not defined	infernal	1.2e-23	1258815	1258711	104	0	0	0	0
4493iat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_ldr_rdl	not defined	infernal	2.1e-08	1258865	1258932	67	0	0	0	0
215883bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1259350	1259246	105	1	35	35	4615997
4885it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_nt_ldr_rdl	not defined	infernal	0.00043	1259350	1259243	107	0	0	0	0
2506it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	not defined	infernal	3.8e-23	1259350	1259246	104	0	0	0	0
3906iat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_ldr_rdl	not defined	infernal	2.5e-09	1259401	1259468	67	0	0	0	0
1268it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	not defined	infernal	9e-24	1259886	1259782	104	0	0	0	0
215884bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1259886	1259782	105	1	35	35	4615997
3835it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_nt_ldr_rdl	not defined	infernal	4.2e-05	1259886	1259779	107	0	0	0	0
3032iat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_ldr_rdl	not defined	infernal	6.5e-10	1259936	1260003	67	0	0	0	0
153943bat	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3725848	3725784	65	6	70	70	4615997
949iat	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	at_nt_ldr_rdl	not defined	infernal	1.1e-18	3725851	3725784	67	0	0	0	0
1425it	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	t_nt_ldr_rdl	not defined	infernal	2.5e-27	3725902	3726009	107	0	0	0	0
121942bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	3725902	3726006	105	1	35	35	4615997
3253it	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	t_pro_ldr_rdl	not defined	infernal	7.1e-23	3725902	3726006	104	0	0	0	0
101943bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3725902	3726009	108	1	108	108	4615997
3033iat	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	at_nt_ldr_rdl	not defined	infernal	6.5e-10	1832797	1832730	67	0	0	0	0
113809bt	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1832847	1832951	105	1	35	35	4519823
3836it	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_nt_ldr_rdl	not defined	infernal	4.2e-05	1832847	1832954	107	0	0	0	0
1269it	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_pro_ldr_rdl	not defined	infernal	9e-24	1832847	1832951	104	0	0	0	0
4220iat	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	at_nt_ldr_rdl	not defined	infernal	9.7e-09	1833332	1833265	67	0	0	0	0
4708it	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_nt_ldr_rdl	not defined	infernal	0.00041	1833383	1833490	107	0	0	0	0
113808bt	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	1833383	1833487	105	1	35	35	4519823
1970it	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	t_pro_ldr_rdl	not defined	infernal	1.2e-23	1833383	1833487	104	0	0	0	0
101942bt	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3545698	3545591	108	1	108	108	4519823
3254it	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_pro_ldr_rdl	not defined	infernal	7.1e-23	3545698	3545594	104	0	0	0	0
1426it	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_nt_ldr_rdl	not defined	infernal	2.5e-27	3545698	3545591	107	0	0	0	0
121981bt	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	3545698	3545594	105	1	35	35	4519823
950iat	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	at_nt_ldr_rdl	not defined	infernal	1.1e-18	3545749	3545816	67	0	0	0	0
144697bat	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3545752	3545816	65	1	63	63	4519823
1498iat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_ldr_rdl	not defined	infernal	2.3e-18	4338447	4338380	67	0	0	0	0
149097bat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4338449	4338380	70	1	70	70	4531304
3017it	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_pro_ldr_rdl	not defined	infernal	5.4e-23	4338498	4338602	104	0	0	0	0
101939bt	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4338498	4338604	107	1	107	108	4531304
102414bt	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4338498	4338602	105	1	35	35	4531304
1882it	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_nt_ldr_rdl	not defined	infernal	6.9e-27	4338498	4338605	107	0	0	0	0
148323bat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4338927	4338863	65	10	70	70	4531304
2497iat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_ldr_rdl	not defined	infernal	3.3e-16	4338929	4338863	66	0	0	0	0
102416bt	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	4338980	4339084	105	1	35	35	4531304
101941bt	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	4338980	4339087	108	1	108	108	4531304
4881it	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_pro_ldr_rdl	not defined	infernal	1.5e-21	4338980	4339084	104	0	0	0	0
