6588iat	Enterobacter_asburiae_L1_complete_genome	genome	+	NZ_CP007546.1	at_nt_hok_sok_tadb_r2	not defined	infernal	6.7e-05	3562474	3562597	123	0	0	0	0
210679bt	Enterobacter_asburiae_L1_complete_genome	genome	+	NZ_CP007546.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	3562464	3562607	144	1	48	48	4561905
9007it	Enterobacter_asburiae_L1_complete_genome	genome	+	NZ_CP007546.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.8e-13	3562460	3562604	144	0	0	0	0
1389it	Enterobacter_asburiae_L1_complete_genome	genome	-	NZ_CP007546.1	t_nt_hok_sok_tadb_r2	not defined	infernal	2.4e-06	3562430	3562312	118	0	0	0	0
1437it	Enterobacter_asburiae_strain_ATCC_35953_complete_sequence	genome	-	NZ_CP011863.1	t_nt_hok_sok_tadb_r2	not defined	infernal	6.9e-06	3183103	3182984	119	0	0	0	0
9481it	Enterobacter_asburiae_strain_ATCC_35953_complete_sequence	genome	+	NZ_CP011863.1	t_pro_hok_sok_tadb_r2	not defined	infernal	3.7e-13	3183133	3183277	144	0	0	0	0
210674bt	Enterobacter_asburiae_strain_ATCC_35953_complete_sequence	genome	+	NZ_CP011863.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	3183137	3183280	144	1	48	48	4713742
8269iat	Enterobacter_asburiae_strain_ATCC_35953_complete_sequence	genome	+	NZ_CP011863.1	at_nt_hok_sok_tadb_r2	not defined	infernal	0.002	3183147	3183270	123	0	0	0	0
1390it	Enterobacter_asburiae_strain_CAV1043_chromosome_complete_genome	genome	-	NZ_CP034336.1	t_nt_hok_sok_tadb_r2	not defined	infernal	2.4e-06	2364013	2363895	118	0	0	0	0
9106it	Enterobacter_asburiae_strain_CAV1043_chromosome_complete_genome	genome	+	NZ_CP034336.1	t_pro_hok_sok_tadb_r2	not defined	infernal	2.3e-13	2364043	2364187	144	0	0	0	0
210680bt	Enterobacter_asburiae_strain_CAV1043_chromosome_complete_genome	genome	+	NZ_CP034336.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	2364047	2364190	144	1	48	48	5046183
7522iat	Enterobacter_asburiae_strain_CAV1043_chromosome_complete_genome	genome	+	NZ_CP034336.1	at_nt_hok_sok_tadb_r2	not defined	infernal	0.0007	2364057	2364180	123	0	0	0	0
7523iat	Enterobacter_asburiae_strain_ENIPBJ_CG1_chromosome_complete_genome	genome	+	NZ_CP014993.1	at_nt_hok_sok_tadb_r2	not defined	infernal	0.00071	2749084	2749207	123	0	0	0	0
210682bt	Enterobacter_asburiae_strain_ENIPBJ_CG1_chromosome_complete_genome	genome	+	NZ_CP014993.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	2749074	2749217	144	1	48	48	4648696
1391it	Enterobacter_asburiae_strain_ENIPBJ_CG1_chromosome_complete_genome	genome	-	NZ_CP014993.1	t_nt_hok_sok_tadb_r2	not defined	infernal	2.4e-06	2749040	2748922	118	0	0	0	0
8525it	Enterobacter_asburiae_strain_ENIPBJ_CG1_chromosome_complete_genome	genome	+	NZ_CP014993.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.1e-13	2749070	2749214	144	0	0	0	0
2856iat	Enterobacter_asburiae_LF7a_complete_genome	genome	+	NC_015968.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.8e-12	722242	722453	211	0	0	0	0
5029it	Enterobacter_asburiae_LF7a_complete_genome	genome	+	NC_015968.1	t_pro_hok_sok_tadb_r2	not defined	infernal	4.8e-19	722228	722374	146	0	0	0	0
190081bt	Enterobacter_asburiae_LF7a_complete_genome	genome	+	NC_015968.1	t_pro_hok_sok_tadb_r2	NaN - rows are merged	tblastn	NaN - rows are merged	722229	722378	150	1	47	47	4812833
33306bat	Enterobacter_asburiae_LF7a_plasmid_pENTAS01_complete_sequence	genome	+	NC_015963.1	at_nt_hok_sok_tadb_r2	NaN - rows are merged	blastn	NaN - rows are merged	164340	164553	214	6	219	219	166725
1611iat	Enterobacter_asburiae_LF7a_plasmid_pENTAS01_complete_sequence	genome	+	NC_015963.1	at_nt_hok_sok_tadb_r2	not defined	infernal	1.4e-61	164335	164556	221	0	0	0	0
3132it	Enterobacter_asburiae_LF7a_plasmid_pENTAS01_complete_sequence	genome	+	NC_015963.1	t_pro_hok_sok_tadb_r2	not defined	infernal	1.8e-22	164320	164470	150	0	0	0	0
