717it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_nt_tisb_istr_smax	not defined	infernal	4.5e-22	3968862	3968780	82	0	0	0	0
10290bt	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3968862	3968773	90	1	90	90	4615997
710it	Shigella_boydii_CDC_3083_94_complete_genome	genome	-	NC_010658.1	t_pro_tisb_istr_smax	not defined	infernal	1.9e-18	3968862	3968776	86	0	0	0	0
11521bat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3969158	3969297	140	1	139	139	4615997
791iat	Shigella_boydii_CDC_3083_94_complete_genome	genome	+	NC_010658.1	at_nt_tisb_istr_smax	not defined	infernal	1.3e-38	3969158	3969297	139	0	0	0	0
792iat	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	at_nt_tisb_istr_smax	not defined	infernal	1.3e-38	3712804	3712943	139	0	0	0	0
718it	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_nt_tisb_istr_smax	not defined	infernal	4.5e-22	3712508	3712426	82	0	0	0	0
711it	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_pro_tisb_istr_smax	not defined	infernal	1.9e-18	3712508	3712422	86	0	0	0	0
10289bt	Shigella_boydii_Sb227_complete_genome	genome	-	NC_007613.1	t_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3712508	3712419	90	1	90	90	4519823
11520bat	Shigella_boydii_Sb227_complete_genome	genome	+	NC_007613.1	at_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3712804	3712943	140	1	139	139	4519823
720it	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_nt_tisb_istr_smax	not defined	infernal	4.5e-22	4526582	4526664	82	0	0	0	0
915iat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_tisb_istr_smax	not defined	infernal	6.8e-38	4526288	4526149	139	0	0	0	0
11324bat	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	-	NZ_CP026810.1	at_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	4526288	4526150	139	1	140	140	4531304
712it	Shigella_boydii_strain_54_1621_chromosome_complete_genome	genome	+	NZ_CP026810.1	t_pro_tisb_istr_smax	not defined	infernal	1.9e-18	34327	34413	86	0	0	0	0
