5565iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	at_nt_ldr_rdl	not defined	infernal	0.00012	396789	396723	66	0	0	0	0
5653it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_pro_ldr_rdl	not defined	infernal	2.4e-14	396840	396944	104	0	0	0	0
115482bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	396840	396944	105	1	35	35	4654874
4031it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_nt_ibs_sib	not defined	infernal	5.4e-05	1072714	1072773	59	0	0	0	0
1638iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	at_nt_ibs_sib	not defined	infernal	1.3e-33	1072807	1072673	134	0	0	0	0
15051bat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	at_nt_ibs_sib	NaN - rows are merged	blastn	NaN - rows are merged	1072807	1072673	135	1	123	123	4654874
111398bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_ldr_rdl	NaN - rows are merged	tblastn	NaN - rows are merged	3693601	3693497	105	1	35	35	4654874
4585it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_ldr_rdl	not defined	infernal	8.1e-22	3693601	3693497	104	0	0	0	0
238722bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_ldr_rdl	NaN - rows are merged	blastn	NaN - rows are merged	3693601	3693509	93	1	93	93	4654874
2545it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_ldr_rdl	not defined	infernal	4.2e-21	3693601	3693494	107	0	0	0	0
5335iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_ldr_rdl	not defined	infernal	8.5e-07	3693652	3693719	67	0	0	0	0
1668iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	at_nt_tisb_istr_smax	not defined	infernal	7.7e-16	3863633	3863493	140	0	0	0	0
1631it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_pro_tisb_istr_smax	not defined	infernal	1.6e-13	3863883	3863969	86	0	0	0	0
1632it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_nt_tisb_istr_smax	not defined	infernal	3.5e-21	3863883	3863965	82	0	0	0	0
16141bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	t_nt_tisb_istr_smax	NaN - rows are merged	blastn	NaN - rows are merged	3863883	3863972	90	1	81	83	4654874
1149iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_syme_symr	not defined	infernal	1.5e-13	4555900	4555975	75	0	0	0	0
1078it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_syme_symr	not defined	infernal	3.3e-74	4555905	4555562	343	0	0	0	0
3898it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	not defined	infernal	3.3e-11	4555921	4555641	280	0	0	0	0
515158bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4555923	4555510	414	7	141	141	4654874
12320bat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4589220	4589283	64	1	64	64	4654874
1175iat	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	+	NZ_CP024676.1	at_nt_syme_symr	not defined	infernal	6.8e-13	4589220	4589296	76	0	0	0	0
734994bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_syme_symr	NaN - rows are merged	blastn	NaN - rows are merged	4589225	4588904	322	1	322	322	4654874
882it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_nt_syme_symr	not defined	infernal	9.6e-108	4589225	4588903	322	0	0	0	0
3203it	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	not defined	infernal	4.4e-15	4589248	4589009	239	0	0	0	0
805143bt	Citrobacter_pasteurii_strain_UMH17_chromosome_complete_genome	genome	-	NZ_CP024676.1	t_pro_syme_symr	NaN - rows are merged	tblastn	NaN - rows are merged	4589294	4588857	438	1	130	130	4654874
